 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.46 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0148

 DETECTORS		DIRECTIONS
 D1         191		R          173
 D2         158		RL       65736
 D3         200		FL          97
 D4         163		F          115
 D5         114		FR         126
 D6          93		RR         194

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.076	uSv h^-1	(12.6%)
 H*(10)_i	:	0.116	uSv     	(12.6%)
 h*(10)		:	46.5	pSv cm^2	(7.0%)
 phi		:	0.454	cm^-2 s^-1 	(10.5%)
 thermal   	:	0.6541
 epithermal	:	0.2376
 fast      	:	0.1083
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.31%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.515068E-03
2.580E-09	2.464084E-03
3.340E-09	4.007403E-03
4.310E-09	6.422052E-03
5.570E-09	1.020471E-02
7.190E-09	1.594922E-02
9.280E-09	2.446252E-02
1.200E-08	3.673473E-02
1.550E-08	5.337003E-02
2.000E-08	7.437860E-02
2.580E-08	1.007861E-01
3.340E-08	1.258423E-01
4.310E-08	1.442111E-01
5.570E-08	1.488149E-01
7.190E-08	1.346040E-01
9.280E-08	1.038132E-01
1.200E-07	6.675901E-02
1.550E-07	3.721682E-02
2.000E-07	2.148138E-02
2.580E-07	1.607168E-02
3.340E-07	1.476275E-02
4.310E-07	1.432071E-02
5.570E-07	1.396615E-02
7.190E-07	1.362689E-02
9.280E-07	1.329816E-02
1.200E-06	1.297710E-02
1.550E-06	1.266713E-02
2.000E-06	1.236771E-02
2.580E-06	1.207754E-02
3.340E-06	1.179215E-02
4.310E-06	1.151874E-02
5.570E-06	1.125188E-02
7.190E-06	1.099407E-02
9.280E-06	1.074395E-02
1.200E-05	1.049936E-02
1.550E-05	1.026295E-02
2.000E-05	1.003430E-02
2.580E-05	9.812435E-03
3.340E-05	9.593947E-03
4.310E-05	9.384344E-03
5.570E-05	9.179481E-03
7.190E-05	8.981279E-03
9.280E-05	8.788686E-03
1.200E-04	8.600046E-03
1.550E-04	8.417372E-03
2.000E-04	8.240350E-03
2.580E-04	8.068192E-03
3.340E-04	7.898218E-03
4.310E-04	7.734668E-03
5.570E-04	7.574253E-03
7.190E-04	7.418400E-03
9.280E-04	7.266185E-03
1.200E-03	7.117805E-03
1.550E-03	6.972484E-03
2.000E-03	6.831029E-03
2.580E-03	6.692992E-03
3.340E-03	6.556602E-03
4.310E-03	6.426002E-03
5.570E-03	6.299890E-03
7.190E-03	6.181638E-03
9.280E-03	6.074165E-03
1.200E-02	5.982306E-03
1.550E-02	5.915599E-03
2.000E-02	5.885550E-03
2.580E-02	5.907238E-03
3.340E-02	6.000518E-03
4.310E-02	6.180699E-03
5.570E-02	6.460588E-03
7.190E-02	6.831285E-03
9.280E-02	7.262896E-03
1.200E-01	7.703778E-03
1.550E-01	8.080293E-03
2.000E-01	8.330964E-03
2.580E-01	8.397007E-03
3.340E-01	8.184083E-03
4.310E-01	7.568548E-03
5.570E-01	6.455664E-03
7.190E-01	4.939009E-03
9.280E-01	3.302749E-03
1.200E+00	1.892249E-03
1.550E+00	9.419962E-04
2.000E+00	4.433681E-04
2.580E+00	2.671929E-04
3.340E+00	2.869291E-04
4.310E+00	4.276986E-04
5.570E+00	6.777940E-04
7.190E+00	1.066486E-03
9.280E+00	1.652757E-03
1.200E+01	2.520077E-03
1.550E+01	3.744263E-03
2.000E+01	5.393075E-03
2.580E+01	7.491249E-03
3.340E+01	9.995590E-03
4.310E+01	1.258831E-02
5.570E+01	1.484455E-02
7.190E+01	1.609159E-02
9.280E+01	1.570734E-02
1.200E+02	1.341432E-02
1.550E+02	9.712167E-03
2.000E+02	5.762046E-03
2.580E+02	2.700599E-03
3.340E+02	9.495342E-04
4.310E+02	2.475625E-04
5.570E+02	4.407131E-05
7.190E+02	4.886686E-06
9.280E+02	2.836621E-07
1.200E+03	6.671752E-09
1.550E+03	4.975349E-11
2.000E+03	8.377414E-14
2.580E+03	2.019759E-17
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

