[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.65	0.357	82.1%	0.002	82.1%	78.4	16.0%	1.264	80.5%	81.90%	23.9%	55.2%	20.9%	[1-0.43 0]
1	H	(3)	39.35	0.350	96.6%	0.004	96.6%	103.2	16.5%	0.942	95.2%	70.53%	26.5%	45.5%	28.0%	[1-0.43 0]
2	H	(3)	58.99	0.337	99.8%	0.006	99.8%	120.2	15.1%	0.779	98.7%	56.44%	25.0%	42.1%	33.0%	[1-0.43 0]
3	H	(3)	79.87	0.330	90.4%	0.007	90.4%	119.0	14.3%	0.770	89.3%	49.02%	27.7%	39.9%	32.4%	[1-0.43 0]
4	H	(3)	99.55	0.329	78.8%	0.009	78.8%	112.9	13.6%	0.810	77.6%	43.54%	30.6%	38.9%	30.4%	[1-0.43 0]
5	H	(3)	119.26	0.318	63.9%	0.011	63.9%	111.9	12.6%	0.789	62.7%	41.47%	35.6%	34.4%	30.0%	[1-0.43 0]
6	H	(3)	140.13	0.311	48.9%	0.012	48.9%	100.6	11.0%	0.859	47.6%	37.00%	40.8%	32.6%	26.6%	[1-0.43 0]
7	H	(3)	159.83	0.260	43.2%	0.012	43.2%	80.9	10.0%	0.893	42.0%	35.10%	49.8%	29.5%	20.7%	[1-0.43 0]
8	H	(3)	179.54	0.221	40.3%	0.011	40.3%	68.2	9.0%	0.899	39.2%	34.10%	57.5%	25.5%	17.0%	[1-0.43 0]
9	H	(3)	199.23	0.212	36.2%	0.012	36.2%	61.7	8.9%	0.952	35.1%	31.87%	62.3%	22.5%	15.3%	[1-0.43 0]
10	H	(3)	220.08	0.210	34.1%	0.013	34.1%	59.8	8.8%	0.974	32.9%	30.02%	64.8%	20.6%	14.6%	[1-0.43 0]
11	H	(3)	239.77	0.212	32.3%	0.014	32.3%	59.1	9.1%	0.994	31.0%	28.91%	67.2%	18.3%	14.5%	[1-0.43 0]
12	H	(3)	259.45	0.224	29.7%	0.016	29.7%	61.0	8.4%	1.020	28.5%	27.18%	65.6%	19.5%	15.0%	[1-0.43 0]
13	H	(3)	280.29	0.227	28.6%	0.018	28.6%	63.6	8.2%	0.990	27.5%	26.16%	61.7%	22.5%	15.8%	[1-0.43 0]
14	H	(3)	299.98	0.228	28.2%	0.019	28.2%	66.0	8.0%	0.959	27.0%	25.69%	60.7%	22.8%	16.5%	[1-0.43 0]
15	H	(3)	319.70	0.217	28.0%	0.019	28.0%	65.1	7.9%	0.926	26.8%	25.37%	60.7%	23.0%	16.3%	[1-0.43 0]
16	H	(3)	339.40	0.206	27.0%	0.019	27.0%	63.6	7.7%	0.900	25.9%	24.56%	58.3%	25.7%	16.0%	[1-0.43 0]
17	H	(3)	360.27	0.193	26.4%	0.019	26.4%	60.0	8.0%	0.893	25.1%	23.81%	59.7%	25.4%	14.9%	[1-0.43 0]
18	H	(3)	379.98	0.188	25.9%	0.020	25.9%	60.1	7.7%	0.870	24.8%	23.55%	59.6%	25.5%	14.9%	[1-0.43 0]
19	H	(3)	399.69	0.187	24.8%	0.021	24.8%	59.1	7.1%	0.881	23.8%	22.83%	60.3%	25.1%	14.6%	[1-0.43 0]
20	H	(3)	419.40	0.187	24.5%	0.022	24.5%	59.8	7.0%	0.870	23.5%	22.54%	60.8%	24.4%	14.7%	[1-0.43 0]
21	H	(3)	440.24	0.195	24.1%	0.024	24.1%	61.3	7.1%	0.884	23.1%	22.22%	63.3%	21.7%	15.0%	[1-0.43 0]
22	H	(3)	459.94	0.209	23.7%	0.027	23.7%	65.7	6.6%	0.883	22.7%	21.86%	63.7%	20.0%	16.3%	[1-0.43 0]
23	H	(3)	479.62	0.205	23.2%	0.027	23.2%	63.9	7.0%	0.892	22.2%	21.31%	65.1%	19.0%	15.9%	[1-0.43 0]
24	H	(3)	500.48	0.198	23.1%	0.028	23.1%	63.3	7.0%	0.870	22.0%	21.08%	64.8%	19.5%	15.7%	[1-0.43 0]
25	H	(3)	520.17	0.195	22.4%	0.028	22.4%	62.1	6.9%	0.875	21.3%	20.63%	64.9%	19.7%	15.4%	[1-0.43 0]
26	H	(3)	539.86	0.183	22.1%	0.027	22.1%	59.5	7.1%	0.852	21.0%	20.32%	63.8%	21.6%	14.7%	[1-0.43 0]
27	H	(3)	559.54	0.186	21.2%	0.029	21.2%	60.0	6.9%	0.862	20.0%	19.62%	62.4%	22.9%	14.8%	[1-0.43 0]
28	H	(3)	580.40	0.189	21.1%	0.030	21.1%	61.0	7.5%	0.861	19.8%	19.35%	62.7%	22.3%	15.0%	[1-0.43 0]
29	H	(3)	600.12	0.190	21.1%	0.032	21.1%	61.9	7.8%	0.852	19.6%	19.09%	62.1%	22.7%	15.2%	[1-0.43 0]
30	H	(3)	619.85	0.196	21.1%	0.034	21.1%	64.5	8.1%	0.844	19.5%	18.90%	61.7%	22.2%	16.0%	[1-0.43 0]
31	H	(3)	639.56	0.199	20.6%	0.035	20.6%	65.8	7.2%	0.841	19.3%	18.64%	61.8%	21.7%	16.5%	[1-0.43 0]
32	H	(3)	660.48	0.200	20.5%	0.037	20.5%	66.3	7.5%	0.836	19.1%	18.46%	62.2%	21.1%	16.7%	[1-0.43 0]
33	H	(3)	680.19	0.204	19.9%	0.039	19.9%	67.3	7.0%	0.844	18.6%	18.18%	62.2%	20.9%	16.9%	[1-0.43 0]
34	H	(3)	699.89	0.202	19.5%	0.039	19.5%	64.9	7.0%	0.864	18.1%	17.94%	63.9%	19.9%	16.3%	[1-1.00 1]
35	H	(3)	720.75	0.193	19.2%	0.039	19.2%	61.9	6.8%	0.864	18.0%	17.71%	64.8%	19.9%	15.3%	[1-1.00 1]
36	H	(3)	740.42	0.192	19.0%	0.039	19.0%	60.6	7.1%	0.878	17.6%	17.41%	65.9%	19.4%	14.8%	[1-1.00 1]
37	H	(3)	760.12	0.175	19.0%	0.037	19.0%	55.2	7.7%	0.879	17.4%	17.08%	66.9%	19.9%	13.2%	[1-1.00 1]
38	H	(3)	779.81	0.168	18.8%	0.036	18.8%	52.7	7.8%	0.886	17.1%	16.64%	67.1%	20.4%	12.6%	[1-1.00 1]
39	H	(3)	800.66	0.178	18.1%	0.040	18.1%	55.5	6.8%	0.890	16.8%	16.32%	65.8%	20.9%	13.3%	[1-1.00 1]
40	H	(3)	820.35	0.182	18.0%	0.041	18.0%	57.4	6.7%	0.881	16.7%	16.20%	64.4%	21.7%	13.9%	[1-1.00 1]
41	H	(3)	840.05	0.191	17.4%	0.045	17.4%	58.9	6.7%	0.901	16.0%	15.69%	62.8%	22.9%	14.4%	[1-1.00 1]
42	H	(3)	860.89	0.200	17.2%	0.048	17.2%	62.2	6.5%	0.895	15.9%	15.48%	61.1%	23.6%	15.3%	[1-1.00 1]
43	H	(3)	880.59	0.204	17.2%	0.050	17.2%	64.8	6.3%	0.874	16.1%	15.46%	59.8%	24.3%	16.0%	[1-1.00 1]
44	H	(3)	900.31	0.198	17.3%	0.049	17.3%	63.0	7.0%	0.872	15.9%	15.28%	59.6%	25.0%	15.4%	[1-1.00 1]
45	H	(3)	920.03	0.198	17.2%	0.051	17.2%	63.3	6.8%	0.867	15.8%	15.17%	59.6%	25.0%	15.5%	[1-1.00 1]
46	H	(3)	940.88	0.197	17.1%	0.052	17.1%	62.7	6.8%	0.874	15.6%	15.04%	60.5%	24.1%	15.4%	[1-1.00 1]
47	H	(3)	960.58	0.208	16.8%	0.055	16.8%	65.5	6.3%	0.881	15.5%	14.93%	61.7%	22.2%	16.1%	[1-1.00 1]
48	H	(3)	980.30	0.211	16.5%	0.057	16.5%	65.0	6.2%	0.902	15.3%	14.76%	63.7%	20.4%	15.9%	[1-1.00 1]
49	H	(3)	999.99	0.218	16.3%	0.060	16.3%	66.5	5.9%	0.909	15.2%	14.67%	65.1%	18.3%	16.6%	[1-1.00 1]
50	H	(3)	1020.85	0.215	16.1%	0.061	16.1%	65.1	5.6%	0.917	15.1%	14.48%	66.3%	17.6%	16.1%	[1-1.00 1]
51	H	(3)	1040.53	0.217	15.9%	0.063	15.9%	65.5	5.4%	0.921	14.9%	14.35%	67.1%	16.7%	16.2%	[1-1.00 1]
52	H	(3)	1060.22	0.205	15.6%	0.060	15.6%	62.4	5.1%	0.913	14.8%	14.22%	66.7%	17.7%	15.5%	[1-1.00 1]
53	H	(3)	1081.07	0.197	15.6%	0.059	15.6%	61.4	5.1%	0.894	14.7%	14.13%	65.1%	19.6%	15.3%	[1-1.00 1]
54	H	(3)	1100.77	0.192	15.5%	0.059	15.5%	60.7	5.5%	0.880	14.5%	13.98%	63.2%	21.8%	15.0%	[1-1.00 1]
55	H	(3)	1120.49	0.201	15.4%	0.063	15.4%	63.1	6.1%	0.885	14.1%	13.72%	61.3%	23.0%	15.7%	[1-1.00 1]
56	H	(3)	1140.19	0.202	15.0%	0.064	15.0%	64.4	5.6%	0.873	13.9%	13.56%	59.1%	25.0%	16.0%	[1-1.00 1]
57	H	(3)	1161.07	0.202	15.2%	0.065	15.2%	65.2	6.2%	0.860	13.9%	13.49%	58.1%	25.6%	16.3%	[1-1.00 1]
58	H	(3)	1180.77	0.204	15.1%	0.067	15.1%	66.2	6.0%	0.857	13.9%	13.41%	58.0%	25.4%	16.6%	[1-1.00 1]
59	H	(3)	1200.49	0.205	14.8%	0.069	14.8%	67.1	5.4%	0.851	13.8%	13.31%	57.3%	26.0%	16.7%	[1-1.00 1]
60	H	(3)	1220.20	0.196	14.6%	0.067	14.6%	64.5	5.2%	0.845	13.7%	13.24%	57.4%	26.6%	16.1%	[1-1.00 1]
61	H	(3)	1241.07	0.194	15.0%	0.067	15.0%	63.1	6.5%	0.852	13.5%	13.11%	57.9%	26.3%	15.7%	[1-1.00 1]
62	H	(3)	1260.77	0.195	14.8%	0.068	14.8%	63.8	6.4%	0.849	13.4%	13.03%	57.5%	26.7%	15.8%	[1-1.00 1]
63	H	(3)	1280.50	0.187	14.9%	0.067	14.9%	62.3	6.6%	0.836	13.3%	12.98%	56.6%	28.0%	15.4%	[1-1.00 1]
64	H	(3)	1301.36	0.196	15.5%	0.071	15.5%	65.1	6.8%	0.836	13.9%	12.84%	55.1%	28.6%	16.4%	[1-1.00 1]
65	H	(3)	1321.06	0.209	15.1%	0.077	15.1%	68.8	6.3%	0.844	13.7%	12.72%	54.5%	28.2%	17.3%	[1-1.00 1]
66	H	(3)	1340.77	0.206	14.6%	0.077	14.6%	68.4	5.4%	0.839	13.6%	12.64%	54.4%	28.4%	17.2%	[1-1.00 1]
