 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.14 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0144

 DETECTORS		DIRECTIONS
 D1         132		R           79
 D2         138		RL         121
 D3         146		FL         101
 D4         127		F          158
 D5          90		FR         121
 D6          63		RR         103

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.066	uSv h^-1	(13.5%)
 H*(10)_i	:	0.101	uSv     	(13.5%)
 h*(10)		:	56.5	pSv cm^2	(8.6%)
 phi		:	0.325	cm^-2 s^-1 	(10.4%)
 thermal   	:	0.5349
 epithermal	:	0.3257
 fast      	:	0.1394
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.58%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	8.342244E-04
2.580E-09	1.356770E-03
3.340E-09	2.206549E-03
4.310E-09	3.536099E-03
5.570E-09	5.618901E-03
7.190E-09	8.781935E-03
9.280E-09	1.346951E-02
1.200E-08	2.022681E-02
1.550E-08	2.938652E-02
2.000E-08	4.095422E-02
2.580E-08	5.609599E-02
3.340E-08	7.025059E-02
4.310E-08	8.088612E-02
5.570E-08	8.413397E-02
7.190E-08	7.715545E-02
9.280E-08	6.101341E-02
1.200E-07	4.115824E-02
1.550E-07	2.508681E-02
2.000E-07	1.643027E-02
2.580E-07	1.342427E-02
3.340E-07	1.267410E-02
4.310E-07	1.240147E-02
5.570E-07	1.217674E-02
7.190E-07	1.196051E-02
9.280E-07	1.175006E-02
1.200E-06	1.154362E-02
1.550E-06	1.134345E-02
2.000E-06	1.114929E-02
2.580E-06	1.096033E-02
3.340E-06	1.077373E-02
4.310E-06	1.059423E-02
5.570E-06	1.041833E-02
7.190E-06	1.024772E-02
9.280E-06	1.008157E-02
1.200E-05	9.918467E-03
1.550E-05	9.760218E-03
2.000E-05	9.606604E-03
2.580E-05	9.457001E-03
3.340E-05	9.309142E-03
4.310E-05	9.166787E-03
5.570E-05	9.027159E-03
7.190E-05	8.891596E-03
9.280E-05	8.759409E-03
1.200E-04	8.629482E-03
1.550E-04	8.503219E-03
2.000E-04	8.380427E-03
2.580E-04	8.260573E-03
3.340E-04	8.141791E-03
4.310E-04	8.027042E-03
5.570E-04	7.914016E-03
7.190E-04	7.803698E-03
9.280E-04	7.695409E-03
1.200E-03	7.588458E-03
1.550E-03	7.483272E-03
2.000E-03	7.379746E-03
2.580E-03	7.277225E-03
3.340E-03	7.173841E-03
4.310E-03	7.071939E-03
5.570E-03	6.969305E-03
7.190E-03	6.866777E-03
9.280E-03	6.763956E-03
1.200E-02	6.660497E-03
1.550E-02	6.558846E-03
2.000E-02	6.461431E-03
2.580E-02	6.372227E-03
3.340E-02	6.297096E-03
4.310E-02	6.248166E-03
5.570E-02	6.237679E-03
7.190E-02	6.280934E-03
9.280E-02	6.390762E-03
1.200E-01	6.572961E-03
1.550E-01	6.810424E-03
2.000E-01	7.060122E-03
2.580E-01	7.250888E-03
3.340E-01	7.290009E-03
4.310E-01	7.080182E-03
5.570E-01	6.540394E-03
7.190E-01	5.638014E-03
9.280E-01	4.419281E-03
1.200E+00	3.045413E-03
1.550E+00	1.797346E-03
2.000E+00	8.995861E-04
2.580E+00	4.152642E-04
3.340E+00	2.579064E-04
4.310E+00	3.007737E-04
5.570E+00	4.640328E-04
7.190E+00	7.403367E-04
9.280E+00	1.171317E-03
1.200E+01	1.831825E-03
1.550E+01	2.804222E-03
2.000E+01	4.180076E-03
2.580E+01	6.032639E-03
3.340E+01	8.390334E-03
4.310E+01	1.101537E-02
5.570E+01	1.351570E-02
7.190E+01	1.516071E-02
9.280E+01	1.517511E-02
1.200E+02	1.310105E-02
1.550E+02	9.364488E-03
2.000E+02	5.267362E-03
2.580E+02	2.179775E-03
3.340E+02	5.962952E-04
4.310E+02	9.977584E-05
5.570E+02	8.617123E-06
7.190E+02	3.288880E-07
9.280E+02	4.392626E-09
1.200E+03	1.471284E-11
1.550E+03	9.122889E-15
2.000E+03	3.422089E-19
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

