 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 19.75 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0144

 DETECTORS		DIRECTIONS
 D1           1		R            0
 D2           0		RL           0
 D3           0		FL           0
 D4           0		F            0
 D5           0		FR           1
 D6           1		RR           1

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.198	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	70.9	pSv cm^2	(28.2%)
 phi		:	0.774	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.2653
 epithermal	:	0.5568
 fast      	:	0.1779
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.541064E-04
2.580E-09	1.063829E-03
3.340E-09	1.730132E-03
4.310E-09	2.772618E-03
5.570E-09	4.405720E-03
7.190E-09	6.885821E-03
9.280E-09	1.056130E-02
1.200E-08	1.585963E-02
1.550E-08	2.304165E-02
2.000E-08	3.211177E-02
2.580E-08	4.800634E-02
3.340E-08	6.152120E-02
4.310E-08	7.339007E-02
5.570E-08	8.078356E-02
7.190E-08	8.109403E-02
9.280E-08	7.402488E-02
1.200E-07	6.227990E-02
1.550E-07	5.111488E-02
2.000E-07	4.448665E-02
2.580E-07	4.204866E-02
3.340E-07	4.136554E-02
4.310E-07	4.105595E-02
5.570E-07	4.078145E-02
7.190E-07	4.051223E-02
9.280E-07	4.024589E-02
1.200E-06	3.998032E-02
1.550E-06	3.971859E-02
2.000E-06	3.946055E-02
2.580E-06	3.920536E-02
3.340E-06	3.894924E-02
4.310E-06	3.869884E-02
5.570E-06	3.844950E-02
7.190E-06	3.820376E-02
9.280E-06	3.796055E-02
1.200E-05	3.771796E-02
1.550E-05	3.747877E-02
2.000E-05	3.724282E-02
2.580E-05	3.700931E-02
3.340E-05	3.677474E-02
4.310E-05	3.654515E-02
5.570E-05	3.631620E-02
7.190E-05	3.609013E-02
9.280E-05	3.586587E-02
1.200E-04	3.564150E-02
1.550E-04	3.541942E-02
2.000E-04	3.519925E-02
2.580E-04	3.497999E-02
3.340E-04	3.475792E-02
4.310E-04	3.453830E-02
5.570E-04	3.431639E-02
7.190E-04	3.409358E-02
9.280E-04	3.386786E-02
1.200E-03	3.368208E-02
1.550E-03	3.345991E-02
2.000E-03	3.323494E-02
2.580E-03	3.300513E-02
3.340E-03	3.276534E-02
4.310E-03	3.251986E-02
5.570E-03	3.226199E-02
7.190E-03	3.199175E-02
9.280E-03	3.170526E-02
1.200E-02	3.139700E-02
1.550E-02	3.106741E-02
2.000E-02	3.071413E-02
2.580E-02	3.033496E-02
3.340E-02	2.992492E-02
4.310E-02	2.950020E-02
5.570E-02	2.906588E-02
7.190E-02	2.865006E-02
9.280E-02	2.829028E-02
1.200E-01	2.804567E-02
1.550E-01	2.800696E-02
2.000E-01	2.828502E-02
2.580E-01	2.901060E-02
3.340E-01	3.033755E-02
4.310E-01	3.232524E-02
5.570E-01	3.499936E-02
7.190E-01	3.816386E-02
9.280E-01	4.142609E-02
1.200E+00	4.412501E-02
1.550E+00	4.528231E-02
2.000E+00	4.389581E-02
2.580E+00	3.926616E-02
3.340E+00	3.138350E-02
4.310E+00	2.176297E-02
5.570E+00	1.246543E-02
7.190E+00	5.610019E-03
9.280E+00	1.845404E-03
1.200E+01	3.996818E-04
1.550E+01	5.140107E-05
2.000E+01	3.390019E-06
2.580E+01	9.395592E-08
3.340E+01	7.873883E-10
4.310E+01	1.621445E-12
5.570E+01	4.838310E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

