 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3982.59 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0123

 DETECTORS		DIRECTIONS
 D1        1399		R          787
 D2        2009		RL        1142
 D3        2613		FL        3299
 D4        2378		F         3096
 D5        2150		FR        2754
 D6        1523		RR         802

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;823-2;1-0.55
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.062	uSv h^-1	(5.7%)
 H*(10)_i	:	1.175	uSv     	(5.7%)
 h*(10)		:	44.8	pSv cm^2	(4.8%)
 phi		:	6.582	cm^-2 s^-1 	(3.0%)
 thermal   	:	0.1756
 epithermal	:	0.6825
 fast      	:	0.1419
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.27%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.360981E-03
2.580E-09	3.839864E-03
3.340E-09	6.244869E-03
4.310E-09	1.000770E-02
5.570E-09	1.590234E-02
7.190E-09	2.485421E-02
9.280E-09	3.812076E-02
1.200E-08	5.724495E-02
1.550E-08	8.316829E-02
2.000E-08	1.159066E-01
2.580E-08	1.969624E-01
3.340E-08	2.600613E-01
4.310E-08	3.238777E-01
5.570E-08	3.794668E-01
7.190E-08	4.152139E-01
9.280E-08	4.233669E-01
1.200E-07	4.043013E-01
1.550E-07	3.731638E-01
2.000E-07	3.507879E-01
2.580E-07	3.421131E-01
3.340E-07	3.397154E-01
4.310E-07	3.386700E-01
5.570E-07	3.377569E-01
7.190E-07	3.368677E-01
9.280E-07	3.359942E-01
1.200E-06	3.351294E-01
1.550E-06	3.342835E-01
2.000E-06	3.334560E-01
2.580E-06	3.326440E-01
3.340E-06	3.318357E-01
4.310E-06	3.310522E-01
5.570E-06	3.302789E-01
7.190E-06	3.295235E-01
9.280E-06	3.287828E-01
1.200E-05	3.280511E-01
1.550E-05	3.273367E-01
2.000E-05	3.266390E-01
2.580E-05	3.259556E-01
3.340E-05	3.252762E-01
4.310E-05	3.246183E-01
5.570E-05	3.239692E-01
7.190E-05	3.233350E-01
9.280E-05	3.227123E-01
1.200E-04	3.220955E-01
1.550E-04	3.214906E-01
2.000E-04	3.208959E-01
2.580E-04	3.203075E-01
3.340E-04	3.197143E-01
4.310E-04	3.191288E-01
5.570E-04	3.185359E-01
7.190E-04	3.179368E-01
9.280E-04	3.173223E-01
1.200E-03	3.171767E-01
1.550E-03	3.168277E-01
2.000E-03	3.166418E-01
2.580E-03	3.167320E-01
3.340E-03	3.173004E-01
4.310E-03	3.186478E-01
5.570E-03	3.212960E-01
7.190E-03	3.260018E-01
9.280E-03	3.339467E-01
1.200E-02	3.469568E-01
1.550E-02	3.672714E-01
2.000E-02	3.977528E-01
2.580E-02	4.415781E-01
3.340E-02	5.021002E-01
4.310E-02	5.774049E-01
5.570E-02	6.625560E-01
7.190E-02	7.417349E-01
9.280E-02	7.911030E-01
1.200E-01	7.830154E-01
1.550E-01	7.011794E-01
2.000E-01	5.584293E-01
2.580E-01	3.957805E-01
3.340E-01	2.574044E-01
4.310E-01	1.670526E-01
5.570E-01	1.123900E-01
7.190E-01	7.631466E-02
9.280E-01	4.912428E-02
1.200E+00	2.842519E-02
1.550E+00	1.435079E-02
2.000E+00	6.301770E-03
2.580E+00	2.790017E-03
3.340E+00	2.015179E-03
4.310E+00	2.624888E-03
5.570E+00	4.014324E-03
7.190E+00	6.132873E-03
9.280E+00	9.166857E-03
1.200E+01	1.336062E-02
1.550E+01	1.879265E-02
2.000E+01	2.536966E-02
2.580E+01	3.272547E-02
3.340E+01	4.026587E-02
4.310E+01	4.685753E-02
5.570E+01	5.164768E-02
7.190E+01	5.368948E-02
9.280E+01	5.222134E-02
1.200E+02	4.663238E-02
1.550E+02	3.714208E-02
2.000E+02	2.534683E-02
2.580E+02	1.407425E-02
3.340E+02	5.904319E-03
4.310E+02	1.783746E-03
5.570E+02	3.491430E-04
7.190E+02	4.010863E-05
9.280E+02	2.304313E-06
1.200E+03	5.227665E-08
1.550E+03	3.747733E-10
2.000E+03	6.177144E-13
2.580E+03	1.448622E-16
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

