[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.56	0.431	100.0%	0.002	100.0%	155.1	24.7%	0.773	100.0%	100.00%	21.6%	35.8%	42.6%	[1-0.43 0]
1	H	(3)	39.31	0.252	100.0%	0.003	100.0%	163.4	29.6%	0.428	100.0%	95.12%	19.8%	35.2%	45.0%	[1-1.00 1]
2	H	(3)	59.07	0.178	100.0%	0.003	100.0%	161.0	33.9%	0.307	100.0%	90.24%	20.8%	35.0%	44.3%	[1-1.00 1]
3	H	(3)	79.77	0.143	100.0%	0.003	100.0%	164.1	38.7%	0.242	100.0%	88.07%	20.8%	34.0%	45.2%	[1-1.00 1]
4	H	(3)	99.47	0.198	100.0%	0.005	100.0%	162.1	38.4%	0.340	100.0%	76.15%	21.1%	34.3%	44.6%	[1-1.00 1]
5	H	(3)	119.18	0.169	100.0%	0.006	100.0%	162.2	39.9%	0.290	100.0%	69.10%	21.1%	34.3%	44.7%	[1-1.00 1]
6	H	(3)	140.04	0.158	100.0%	0.006	100.0%	147.7	39.5%	0.297	100.0%	64.12%	27.1%	32.6%	40.3%	[1-1.00 1]
7	H	(3)	159.62	0.182	100.0%	0.008	100.0%	157.5	32.7%	0.320	100.0%	55.29%	31.2%	25.7%	43.0%	[1-1.00 1]
8	H	(3)	179.35	0.224	100.0%	0.011	100.0%	169.6	23.9%	0.367	100.0%	51.42%	34.3%	19.5%	46.2%	[1-1.00 1]
9	H	(3)	200.22	0.245	94.9%	0.014	94.9%	181.6	19.5%	0.374	92.9%	50.54%	38.2%	12.5%	49.3%	[1-1.00 1]
10	H	(3)	219.92	0.254	79.7%	0.015	79.7%	185.3	16.3%	0.380	78.0%	49.48%	43.5%	6.5%	50.0%	[1-1.00 1]
11	H	(3)	243.10	0.307	63.7%	0.021	63.7%	201.6	17.9%	0.423	61.2%	45.85%	43.6%	1.4%	55.0%	[1-1.00 1]
12	H	(3)	261.66	0.261	65.0%	0.019	65.0%	186.5	18.1%	0.389	62.4%	44.70%	44.2%	4.3%	51.5%	[1-1.00 1]
13	H	(3)	282.53	0.212	68.5%	0.017	68.5%	171.7	18.6%	0.343	65.9%	44.70%	45.6%	5.9%	48.4%	[1-1.00 1]
14	H	(3)	301.06	0.179	68.6%	0.015	68.6%	152.6	19.2%	0.325	65.9%	42.88%	46.4%	8.8%	44.8%	[1-1.00 1]
15	H	(3)	321.92	0.142	72.9%	0.013	72.9%	130.1	22.2%	0.304	69.4%	41.34%	45.3%	14.2%	40.5%	[1-1.00 1]
16	H	(3)	339.30	0.107	70.0%	0.010	70.0%	106.1	19.2%	0.281	67.3%	40.42%	44.8%	20.3%	34.8%	[1-1.00 1]
17	H	(3)	360.16	0.089	72.0%	0.009	72.0%	96.2	20.9%	0.256	68.9%	40.42%	45.4%	21.9%	32.7%	[1-1.00 1]
18	H	(3)	383.33	0.088	73.7%	0.009	73.7%	95.4	25.3%	0.255	69.2%	38.44%	45.1%	23.4%	31.4%	[1-1.00 1]
19	H	(3)	403.04	0.089	78.6%	0.010	78.6%	100.8	25.8%	0.244	74.3%	38.44%	43.7%	24.3%	31.9%	[1-1.00 1]
20	H	(3)	423.91	0.110	81.6%	0.013	81.6%	123.9	23.6%	0.246	78.1%	38.28%	42.8%	20.6%	36.6%	[1-1.00 1]
21	H	(3)	440.14	0.172	62.2%	0.021	62.2%	140.3	21.9%	0.341	58.2%	34.01%	43.3%	16.1%	40.5%	[1-1.00 1]
22	H	(3)	459.84	0.197	63.1%	0.025	63.1%	157.2	20.8%	0.348	59.6%	33.50%	40.9%	15.2%	43.9%	[1-1.00 1]
23	H	(3)	479.55	0.203	56.9%	0.027	56.9%	155.8	17.3%	0.362	54.2%	32.62%	42.1%	14.0%	43.9%	[1-1.00 1]
24	H	(3)	501.56	0.213	52.6%	0.030	52.6%	157.8	15.9%	0.376	50.1%	31.66%	42.8%	12.7%	44.4%	[1-1.00 1]
25	H	(3)	520.09	0.189	50.0%	0.027	50.0%	147.1	13.7%	0.356	48.1%	31.34%	43.6%	14.3%	42.1%	[1-1.00 1]
26	H	(3)	543.28	0.180	49.4%	0.027	49.4%	146.3	13.7%	0.343	47.5%	30.94%	42.0%	16.2%	41.9%	[1-1.00 1]
27	H	(3)	560.65	0.188	43.2%	0.029	43.2%	142.8	12.1%	0.365	41.5%	29.40%	42.3%	16.6%	41.2%	[1-1.00 1]
28	H	(3)	580.34	0.204	40.2%	0.033	40.2%	146.6	11.3%	0.386	38.5%	28.02%	40.9%	17.1%	42.0%	[1-1.00 1]
29	H	(3)	600.03	0.205	36.4%	0.034	36.4%	142.4	10.7%	0.400	34.7%	27.00%	42.0%	17.6%	40.4%	[1-1.00 1]
30	H	(3)	619.73	0.208	33.1%	0.036	33.1%	142.5	9.7%	0.406	31.7%	26.26%	41.1%	19.2%	39.7%	[1-1.00 1]
31	H	(3)	640.58	0.196	31.6%	0.035	31.6%	138.2	8.7%	0.393	30.4%	26.04%	41.9%	20.2%	38.0%	[1-1.00 1]
32	H	(3)	660.30	0.188	29.2%	0.035	29.2%	131.5	8.0%	0.398	28.0%	25.33%	42.8%	21.6%	35.6%	[1-1.00 1]
33	H	(3)	680.02	0.180	27.6%	0.034	27.6%	126.9	7.4%	0.394	26.5%	24.96%	43.4%	22.6%	34.1%	[1-1.00 1]
34	H	(3)	699.73	0.171	27.3%	0.033	27.3%	123.9	7.1%	0.383	26.3%	24.62%	40.8%	26.0%	33.1%	[1-1.00 1]
35	H	(3)	720.60	0.165	27.4%	0.033	27.4%	122.6	7.1%	0.373	26.5%	24.52%	40.8%	26.5%	32.7%	[1-1.00 1]
36	H	(3)	740.29	0.167	27.1%	0.034	27.1%	124.4	7.1%	0.372	26.2%	24.27%	40.2%	26.3%	33.5%	[1-1.00 1]
37	H	(3)	759.99	0.165	27.7%	0.035	27.7%	127.0	7.3%	0.360	26.7%	24.20%	38.4%	27.0%	34.6%	[1-1.00 1]
38	H	(3)	780.86	0.156	28.3%	0.034	28.3%	126.4	7.4%	0.343	27.3%	24.20%	36.5%	29.2%	34.4%	[1-1.00 1]
39	H	(3)	800.58	0.163	28.2%	0.036	28.2%	131.8	7.6%	0.343	27.1%	24.13%	37.7%	26.2%	36.1%	[1-1.00 1]
40	H	(3)	820.28	0.167	27.6%	0.038	27.6%	133.4	7.8%	0.347	26.5%	23.76%	37.7%	25.4%	36.9%	[1-1.00 1]
41	H	(3)	839.97	0.168	27.7%	0.039	27.7%	135.9	7.9%	0.344	26.5%	23.44%	35.9%	26.7%	37.4%	[1-1.00 1]
42	H	(3)	860.81	0.173	27.4%	0.041	27.4%	140.3	7.7%	0.342	26.3%	23.33%	35.8%	25.8%	38.4%	[1-1.00 1]
43	H	(3)	881.66	0.172	26.0%	0.042	26.0%	135.7	7.6%	0.351	24.9%	22.75%	36.7%	26.1%	37.3%	[1-1.00 1]
44	H	(3)	900.18	0.159	26.2%	0.040	26.2%	128.4	7.6%	0.344	25.1%	22.46%	35.7%	29.0%	35.3%	[1-1.00 1]
45	H	(3)	921.06	0.157	26.6%	0.040	26.6%	127.5	7.7%	0.343	25.4%	22.31%	36.2%	28.9%	34.8%	[1-1.00 1]
46	H	(3)	940.74	0.155	25.1%	0.041	25.1%	120.9	7.2%	0.357	24.0%	21.79%	39.0%	28.2%	32.7%	[1-1.00 1]
47	H	(3)	960.47	0.147	24.7%	0.039	24.7%	112.7	7.6%	0.363	23.5%	21.47%	41.5%	28.2%	30.4%	[1-1.00 1]
