Name,Measurement Reference,x,y,z,,,
11.10.1-1,2ImB-1,-13.568028,-53.7873,-6.498,,,
11.10.1-2,2BB-1,23.512416,7.36484,-7.49802,,,
11.10.1-3,2ChB-1,16.631,-23.5077,-6.498,,,
12.10.1-1,2ZoB-1,22.24,18.5759,-6.49,,,
12.10.1-2,2ChB-2,17.240439,-16.483811,-7.498,,,
12.10.1-3,2ZoB-2,20.3779,21.52465,-7.498,,,
12.10.2-1,2ImB-1-1,-13.568028,-53.7873,-6.498,,,
12.10.2-2,2ZoB-3,22.160389,15.750834,-6.498,,,
12.10.2-3,2ChB-1-1,16.631,-23.5077,-6.498,,,
13.10.1-1,1Hr-1,N/A,N/A,N/A,,,
13.10.1-2,1BwT-1,N/A,N/A,N/A,,,
13.10.1-3,1BwT-2,N/A,N/A,N/A,,,
13.10.2-1,2ImB-2,-3.67767,-40.77,-7.5,,,
13.10.2-3,2WhB-1,-25.67103,20.826,-6.71804,,,
10.11.1-1,2WhB-2,-32.224,23.966928,-7.498,,,
10.11.1-3,2WhB-3,-27.2931,31.195764,-7.498,,,
10.11.2-1,2WhB-4,-7.04977,8.21,-6.154,,,
10.11.1-2,2WhB-5,-16.60146,17.60146,-6.49804,,,
10.11.2-3,2WhT-1,-6.42,7.292,-3.499,,,
14.11.1-1,2WhB-6,-12.603897,9.23004,-7.498027,,,
14.11.1-2,2WhB-7,-34.4,33.56882,-7.49803227,,,
14.11.1-3,2WhT-2,-25.12924,25.5862,-3.49988,,,
14.11.2-1,2WhB-8,-7.719399,5.44202,-7.498032,,,
14.11.2-2,2WhB-9,-27.29312,31.19293,-6.4,,,
14.11.2-3,2WhT-3,-27.338762,23.174008,-3.49988,,,
14.11.3-1,2BB-2,33.3516,-3.926729,-7.498802782,,,
14.11.3-2,2WhB-10,-7.04977,8.21,-6.154,,,
15.11.1-1,2LaB-1,-10.732,11.5832,7.498,,,
15.11.1-2,2WhT-4,-7.6105,8.05,-3.4998,,,
15.11.1-3,2BB-3,-14.5227,3.3044,-7.498,,,
