 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.42 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0153

 DETECTORS		DIRECTIONS
 D1         274		R          178
 D2         275		RL         289
 D3         298		FL          89
 D4         244		F          275
 D5         200		FR         147
 D6         122		RR         402

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.163	uSv h^-1	(38.8%)
 H*(10)_i	:	0.248	uSv     	(38.8%)
 h*(10)		:	65.1	pSv cm^2	(35.9%)
 phi		:	0.694	cm^-2 s^-1 	(14.7%)
 thermal   	:	0.4893
 epithermal	:	0.3461
 fast      	:	0.1646
-------------------------------------------------------------
 Average experimental data uncertainty	:	6.73%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.668089E-03
2.580E-09	2.712954E-03
3.340E-09	4.412146E-03
4.310E-09	7.070672E-03
5.570E-09	1.123538E-02
7.190E-09	1.756008E-02
9.280E-09	2.693321E-02
1.200E-08	4.044489E-02
1.550E-08	5.876035E-02
2.000E-08	8.189076E-02
2.580E-08	1.114001E-01
3.340E-08	1.393237E-01
4.310E-08	1.600824E-01
5.570E-08	1.659477E-01
7.190E-08	1.513383E-01
9.280E-08	1.185551E-01
1.200E-07	7.867676E-02
1.550E-07	4.669841E-02
2.000E-07	2.969345E-02
2.580E-07	2.400272E-02
3.340E-07	2.281778E-02
4.310E-07	2.257385E-02
5.570E-07	2.241780E-02
7.190E-07	2.226809E-02
9.280E-07	2.212080E-02
1.200E-06	2.197474E-02
1.550E-06	2.183158E-02
2.000E-06	2.169122E-02
2.580E-06	2.155316E-02
3.340E-06	2.141536E-02
4.310E-06	2.128140E-02
5.570E-06	2.114873E-02
7.190E-06	2.101871E-02
9.280E-06	2.089076E-02
1.200E-05	2.076385E-02
1.550E-05	2.063943E-02
2.000E-05	2.051741E-02
2.580E-05	2.039735E-02
3.340E-05	2.027745E-02
4.310E-05	2.016081E-02
5.570E-05	2.004521E-02
7.190E-05	1.993179E-02
9.280E-05	1.982000E-02
1.200E-04	1.970891E-02
1.550E-04	1.959973E-02
2.000E-04	1.949229E-02
2.580E-04	1.938612E-02
3.340E-04	1.927950E-02
4.310E-04	1.917501E-02
5.570E-04	1.907047E-02
7.190E-04	1.896662E-02
9.280E-04	1.886265E-02
1.200E-03	1.875872E-02
1.550E-03	1.865339E-02
2.000E-03	1.854697E-02
2.580E-03	1.843850E-02
3.340E-03	1.832564E-02
4.310E-03	1.821067E-02
5.570E-03	1.809100E-02
7.190E-03	1.796773E-02
9.280E-03	1.784086E-02
1.200E-02	1.771091E-02
1.550E-02	1.758234E-02
2.000E-02	1.745975E-02
2.580E-02	1.734871E-02
3.340E-02	1.725396E-02
4.310E-02	1.718100E-02
5.570E-02	1.712354E-02
7.190E-02	1.706605E-02
9.280E-02	1.698401E-02
1.200E-01	1.686272E-02
1.550E-01	1.673204E-02
2.000E-01	1.668869E-02
2.580E-01	1.685828E-02
3.340E-01	1.728544E-02
4.310E-01	1.777167E-02
5.570E-01	1.789126E-02
7.190E-01	1.711490E-02
9.280E-01	1.508287E-02
1.200E+00	1.184433E-02
1.550E+00	8.059325E-03
2.000E+00	4.642103E-03
2.580E+00	2.269819E-03
3.340E+00	1.083464E-03
4.310E+00	8.249645E-04
5.570E+00	1.103713E-03
7.190E+00	1.732939E-03
9.280E+00	2.739382E-03
1.200E+01	4.283931E-03
1.550E+01	6.558029E-03
2.000E+01	9.776382E-03
2.580E+01	1.411216E-02
3.340E+01	1.963683E-02
4.310E+01	2.580455E-02
5.570E+01	3.171787E-02
7.190E+01	3.569287E-02
9.280E+01	3.593277E-02
1.200E+02	3.134146E-02
1.550E+02	2.280857E-02
2.000E+02	1.323672E-02
2.580E+02	5.783480E-03
3.340E+02	1.741248E-03
4.310E+02	3.430285E-04
5.570E+02	3.909336E-05
7.190E+02	2.335282E-06
9.280E+02	6.163949E-08
1.200E+03	5.437988E-10
1.550E+03	1.202403E-12
2.000E+03	4.354283E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

