 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 39.46 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0153

 DETECTORS		DIRECTIONS
 D1           1		R            1
 D2           1		RL           0
 D3           1		FL           0
 D4           0		F            0
 D5           0		FR           0
 D6           0		RR           2

------------------ INTERNAL DATA REF ------------------------
1-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.137	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.002	uSv     	>(100.1%)
 h*(10)		:	107.3	pSv cm^2	(43.3%)
 phi		:	0.355	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.2879
 epithermal	:	0.4341
 fast      	:	0.2780
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.194455E-04
2.580E-09	6.821797E-04
3.340E-09	1.109446E-03
4.310E-09	1.777940E-03
5.570E-09	2.825166E-03
7.190E-09	4.415530E-03
9.280E-09	6.772430E-03
1.200E-08	1.016998E-02
1.550E-08	1.477545E-02
2.000E-08	2.059166E-02
2.580E-08	2.898852E-02
3.340E-08	3.659868E-02
4.310E-08	4.267984E-02
5.570E-08	4.533963E-02
7.190E-08	4.308294E-02
9.280E-08	3.621333E-02
1.200E-07	2.713229E-02
1.550E-07	1.945568E-02
2.000E-07	1.523197E-02
2.580E-07	1.379467E-02
3.340E-07	1.348751E-02
4.310E-07	1.341690E-02
5.570E-07	1.336818E-02
7.190E-07	1.332094E-02
9.280E-07	1.327416E-02
1.200E-06	1.322749E-02
1.550E-06	1.318144E-02
2.000E-06	1.313601E-02
2.580E-06	1.309103E-02
3.340E-06	1.304585E-02
4.310E-06	1.300164E-02
5.570E-06	1.295758E-02
7.190E-06	1.291411E-02
9.280E-06	1.287105E-02
1.200E-05	1.282805E-02
1.550E-05	1.278561E-02
2.000E-05	1.274371E-02
2.580E-05	1.270219E-02
3.340E-05	1.266043E-02
4.310E-05	1.261950E-02
5.570E-05	1.257862E-02
7.190E-05	1.253819E-02
9.280E-05	1.249800E-02
1.200E-04	1.245770E-02
1.550E-04	1.241770E-02
2.000E-04	1.237791E-02
2.580E-04	1.233812E-02
3.340E-04	1.229762E-02
4.310E-04	1.225733E-02
5.570E-04	1.221630E-02
7.190E-04	1.217471E-02
9.280E-04	1.213211E-02
1.200E-03	1.212448E-02
1.550E-03	1.209028E-02
2.000E-03	1.205748E-02
2.580E-03	1.202639E-02
3.340E-03	1.199717E-02
4.310E-03	1.197143E-02
5.570E-03	1.194983E-02
7.190E-03	1.193423E-02
9.280E-03	1.192679E-02
1.200E-02	1.193067E-02
1.550E-02	1.195023E-02
2.000E-02	1.199123E-02
2.580E-02	1.206173E-02
3.340E-02	1.217470E-02
4.310E-02	1.234247E-02
5.570E-02	1.258823E-02
7.190E-02	1.293690E-02
9.280E-02	1.342484E-02
1.200E-01	1.410359E-02
1.550E-01	1.502311E-02
2.000E-01	1.624644E-02
2.580E-01	1.784439E-02
3.340E-01	1.991030E-02
4.310E-01	2.242095E-02
5.570E-01	2.537947E-02
7.190E-01	2.859994E-02
9.280E-01	3.176421E-02
1.200E+00	3.434653E-02
1.550E+00	3.556787E-02
2.000E+00	3.465226E-02
2.580E+00	3.107916E-02
3.340E+00	2.487741E-02
4.310E+00	1.727154E-02
5.570E+00	9.906187E-03
7.190E+00	4.466186E-03
9.280E+00	1.472682E-03
1.200E+01	3.200012E-04
1.550E+01	4.133411E-05
2.000E+01	2.742030E-06
2.580E+01	7.659243E-08
3.340E+01	6.487573E-10
4.310E+01	1.355162E-12
5.570E+01	4.123716E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

