 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3584.01 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0159

 DETECTORS		DIRECTIONS
 D1           7		R           12
 D2          13		RL          19
 D3          21		FL          10
 D4          22		F           24
 D5          17		FR          13
 D6          18		RR          16

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-0.02
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.048	uSv h^-1	(27.4%)
 H*(10)_i	:	0.048	uSv     	(27.4%)
 h*(10)		:	206.8	pSv cm^2	(7.1%)
 phi		:	0.065	cm^-2 s^-1 	(26.4%)
 thermal   	:	0.1548
 epithermal	:	0.2643
 fast      	:	0.5809
-------------------------------------------------------------
 Average experimental data uncertainty	:	26.08%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.084624E-05
2.580E-09	6.643170E-05
3.340E-09	1.080396E-04
4.310E-09	1.731385E-04
5.570E-09	2.751190E-04
7.190E-09	4.299911E-04
9.280E-09	6.595096E-04
1.200E-08	9.903683E-04
1.550E-08	1.438856E-03
2.000E-08	2.005247E-03
2.580E-08	2.822078E-03
3.340E-08	3.563563E-03
4.310E-08	4.156900E-03
5.570E-08	4.418342E-03
7.190E-08	4.202704E-03
9.280E-08	3.539398E-03
1.200E-07	2.661245E-03
1.550E-07	1.919087E-03
2.000E-07	1.512405E-03
2.580E-07	1.376870E-03
3.340E-07	1.351429E-03
4.310E-07	1.348956E-03
5.570E-07	1.348628E-03
7.190E-07	1.348414E-03
9.280E-07	1.348232E-03
1.200E-06	1.348082E-03
1.550E-06	1.347965E-03
2.000E-06	1.347880E-03
2.580E-06	1.347827E-03
3.340E-06	1.347806E-03
4.310E-06	1.347817E-03
5.570E-06	1.347860E-03
7.190E-06	1.347935E-03
9.280E-06	1.348041E-03
1.200E-05	1.348179E-03
1.550E-05	1.348348E-03
2.000E-05	1.348546E-03
2.580E-05	1.348773E-03
3.340E-05	1.349032E-03
4.310E-05	1.349315E-03
5.570E-05	1.349626E-03
7.190E-05	1.349959E-03
9.280E-05	1.350312E-03
1.200E-04	1.350684E-03
1.550E-04	1.351068E-03
2.000E-04	1.351456E-03
2.580E-04	1.351842E-03
3.340E-04	1.352221E-03
4.310E-04	1.352569E-03
5.570E-04	1.352877E-03
7.190E-04	1.353118E-03
9.280E-04	1.353266E-03
1.200E-03	1.353496E-03
1.550E-03	1.353474E-03
2.000E-03	1.353307E-03
2.580E-03	1.352976E-03
3.340E-03	1.352475E-03
4.310E-03	1.351858E-03
5.570E-03	1.351229E-03
7.190E-03	1.350848E-03
9.280E-03	1.351209E-03
1.200E-02	1.353247E-03
1.550E-02	1.358582E-03
2.000E-02	1.369968E-03
2.580E-02	1.392049E-03
3.340E-02	1.433185E-03
4.310E-02	1.504733E-03
5.570E-02	1.627163E-03
7.190E-02	1.828518E-03
9.280E-02	2.151176E-03
1.200E-01	2.657195E-03
1.550E-01	3.413538E-03
2.000E-01	4.493020E-03
2.580E-01	5.950386E-03
3.340E-01	7.798437E-03
4.310E-01	9.832477E-03
5.570E-01	1.172124E-02
7.190E-01	1.287655E-02
9.280E-01	1.270085E-02
1.200E+00	1.087679E-02
1.550E+00	7.789456E-03
2.000E+00	4.467972E-03
2.580E+00	1.958770E-03
3.340E+00	6.456782E-04
4.310E+00	2.388493E-04
5.570E+00	2.221472E-04
7.190E+00	3.368748E-04
9.280E+00	5.311537E-04
1.200E+01	8.288939E-04
1.550E+01	1.265521E-03
2.000E+01	1.880160E-03
2.580E+01	2.702258E-03
3.340E+01	3.739217E-03
4.310E+01	4.879691E-03
5.570E+01	5.946198E-03
7.190E+01	6.621832E-03
9.280E+01	6.585892E-03
1.200E+02	5.669713E-03
1.550E+02	4.079502E-03
2.000E+02	2.358803E-03
2.580E+02	1.047759E-03
3.340E+02	3.352512E-04
4.310E+02	7.576442E-05
5.570E+02	1.103341E-05
7.190E+02	9.375923E-07
9.280E+02	3.825587E-08
1.200E+03	5.598596E-10
1.550E+03	2.222136E-12
2.000E+03	1.622655E-15
2.580E+03	1.289538E-19
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

