 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.79 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0160

 DETECTORS		DIRECTIONS
 D1          19		R           22
 D2          28		RL          23
 D3          28		FL          16
 D4          28		F           23
 D5          23		FR          25
 D6          16		RR          29

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.030	uSv h^-1	(22.1%)
 H*(10)_i	:	0.046	uSv     	(22.1%)
 h*(10)		:	127.3	pSv cm^2	(6.0%)
 phi		:	0.065	cm^-2 s^-1 	(21.3%)
 thermal   	:	0.3184
 epithermal	:	0.3350
 fast      	:	0.3466
-------------------------------------------------------------
 Average experimental data uncertainty	:	20.91%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	9.297945E-05
2.580E-09	1.512203E-04
3.340E-09	2.459335E-04
4.310E-09	3.941201E-04
5.570E-09	6.262612E-04
7.190E-09	9.788008E-04
9.280E-09	1.501260E-03
1.200E-08	2.254403E-03
1.550E-08	3.275308E-03
2.000E-08	4.564600E-03
2.580E-08	6.333982E-03
3.340E-08	7.961863E-03
4.310E-08	9.221416E-03
5.570E-08	9.686368E-03
7.190E-08	9.033034E-03
9.280E-08	7.356446E-03
1.200E-07	5.230427E-03
1.550E-07	3.476051E-03
2.000E-07	2.520868E-03
2.580E-07	2.190330E-03
3.340E-07	2.111059E-03
4.310E-07	2.084971E-03
5.570E-07	2.064260E-03
7.190E-07	2.044492E-03
9.280E-07	2.025384E-03
1.200E-06	2.006776E-03
1.550E-06	1.988870E-03
2.000E-06	1.971637E-03
2.580E-06	1.955007E-03
3.340E-06	1.938726E-03
4.310E-06	1.923210E-03
5.570E-06	1.908151E-03
7.190E-06	1.893693E-03
9.280E-06	1.879761E-03
1.200E-05	1.866238E-03
1.550E-05	1.853271E-03
2.000E-05	1.840837E-03
2.580E-05	1.828883E-03
3.340E-05	1.817227E-03
4.310E-05	1.806162E-03
5.570E-05	1.795469E-03
7.190E-05	1.785245E-03
9.280E-05	1.775433E-03
1.200E-04	1.765947E-03
1.550E-04	1.756882E-03
2.000E-04	1.748216E-03
2.580E-04	1.739901E-03
3.340E-04	1.731799E-03
4.310E-04	1.724098E-03
5.570E-04	1.716623E-03
7.190E-04	1.709419E-03
9.280E-04	1.702412E-03
1.200E-03	1.695598E-03
1.550E-03	1.688858E-03
2.000E-03	1.682186E-03
2.580E-03	1.675490E-03
3.340E-03	1.668587E-03
4.310E-03	1.661575E-03
5.570E-03	1.654253E-03
7.190E-03	1.646654E-03
9.280E-03	1.638778E-03
1.200E-02	1.630736E-03
1.550E-02	1.623063E-03
2.000E-02	1.616656E-03
2.580E-02	1.613159E-03
3.340E-02	1.615588E-03
4.310E-02	1.628876E-03
5.570E-02	1.661202E-03
7.190E-02	1.724535E-03
9.280E-02	1.836692E-03
1.200E-01	2.023555E-03
1.550E-01	2.312802E-03
2.000E-01	2.732737E-03
2.580E-01	3.300805E-03
3.340E-01	4.011307E-03
4.310E-01	4.766067E-03
5.570E-01	5.412819E-03
7.190E-01	5.709983E-03
9.280E-01	5.440123E-03
1.200E+00	4.529764E-03
1.550E+00	3.191542E-03
2.000E+00	1.841805E-03
2.580E+00	8.490025E-04
3.340E+00	3.257618E-04
4.310E+00	1.648405E-04
5.570E+00	1.821653E-04
7.190E+00	2.803191E-04
9.280E+00	4.428743E-04
1.200E+01	6.927657E-04
1.550E+01	1.060823E-03
2.000E+01	1.581828E-03
2.580E+01	2.283680E-03
3.340E+01	3.177250E-03
4.310E+01	4.172189E-03
5.570E+01	5.118882E-03
7.190E+01	5.738242E-03
9.280E+01	5.733899E-03
1.200E+02	4.932249E-03
1.550E+02	3.501378E-03
2.000E+02	1.945726E-03
2.580E+02	7.889144E-04
3.340E+02	2.086838E-04
4.310E+02	3.315910E-05
5.570E+02	2.649720E-06
7.190E+02	9.051359E-08
9.280E+02	1.037729E-09
1.200E+03	2.833521E-12
1.550E+03	1.353863E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

