 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.86 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0138

 DETECTORS		DIRECTIONS
 D1         565		R          865
 D2         887		RL         627
 D3        1137		FL         872
 D4        1108		F         1082
 D5        1122		FR        1152
 D6        1028		RR        1097

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;9435-0;1-0.41
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.467	uSv h^-1	(10.4%)
 H*(10)_i	:	2.236	uSv     	(10.4%)
 h*(10)		:	163.7	pSv cm^2	(9.6%)
 phi		:	2.490	cm^-2 s^-1 	(3.9%)
 thermal   	:	0.1164
 epithermal	:	0.4582
 fast      	:	0.4255
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.27%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.984024E-04
2.580E-09	6.479556E-04
3.340E-09	1.053787E-03
4.310E-09	1.688743E-03
5.570E-09	2.683432E-03
7.190E-09	4.194009E-03
9.280E-09	6.432666E-03
1.200E-08	9.659766E-03
1.550E-08	1.403419E-02
2.000E-08	1.955860E-02
2.580E-08	3.883430E-02
3.340E-08	5.282148E-02
4.310E-08	6.845589E-02
5.570E-08	8.450029E-02
7.190E-08	9.845889E-02
9.280E-08	1.074638E-01
1.200E-07	1.094271E-01
1.550E-07	1.060682E-01
2.000E-07	1.024392E-01
2.580E-07	1.007988E-01
3.340E-07	1.002032E-01
4.310E-07	9.984092E-02
5.570E-07	9.950249E-02
7.190E-07	9.917155E-02
9.280E-07	9.884593E-02
1.200E-06	9.852308E-02
1.550E-06	9.820672E-02
2.000E-06	9.789667E-02
2.580E-06	9.759189E-02
3.340E-06	9.728789E-02
4.310E-06	9.699260E-02
5.570E-06	9.670048E-02
7.190E-06	9.641450E-02
9.280E-06	9.613342E-02
1.200E-05	9.585502E-02
1.550E-05	9.558250E-02
2.000E-05	9.531566E-02
2.580E-05	9.505354E-02
3.340E-05	9.479223E-02
4.310E-05	9.453846E-02
5.570E-05	9.428735E-02
7.190E-05	9.404134E-02
9.280E-05	9.379917E-02
1.200E-04	9.355870E-02
1.550E-04	9.332239E-02
2.000E-04	9.308970E-02
2.580E-04	9.285933E-02
3.340E-04	9.262716E-02
4.310E-04	9.239836E-02
5.570E-04	9.216751E-02
7.190E-04	9.193550E-02
9.280E-04	9.169948E-02
1.200E-03	9.145760E-02
1.550E-03	9.120609E-02
2.000E-03	9.094288E-02
2.580E-03	9.066280E-02
3.340E-03	9.035579E-02
4.310E-03	9.002324E-02
5.570E-03	8.965166E-02
7.190E-03	8.923635E-02
9.280E-03	8.876737E-02
1.200E-02	8.823294E-02
1.550E-02	8.763526E-02
2.000E-02	8.697968E-02
2.580E-02	8.628550E-02
3.340E-02	8.559279E-02
4.310E-02	8.502035E-02
5.570E-02	8.473918E-02
7.190E-02	8.505895E-02
9.280E-02	8.646272E-02
1.200E-01	8.972355E-02
1.550E-01	9.582997E-02
2.000E-01	1.060623E-01
2.580E-01	1.218471E-01
3.340E-01	1.447027E-01
4.310E-01	1.741710E-01
5.570E-01	2.087614E-01
7.190E-01	2.431586E-01
9.280E-01	2.695266E-01
1.200E+00	2.786876E-01
1.550E+00	2.637227E-01
2.000E+00	2.248973E-01
2.580E+00	1.705511E-01
3.340E+00	1.138125E-01
4.310E+00	6.954113E-02
5.570E+00	4.362169E-02
7.190E+00	3.569606E-02
9.280E+00	4.114599E-02
1.200E+01	5.541680E-02
1.550E+01	7.485872E-02
2.000E+01	9.674827E-02
2.580E+01	1.181802E-01
3.340E+01	1.357651E-01
4.310E+01	1.456775E-01
5.570E+01	1.465840E-01
7.190E+01	1.393420E-01
9.280E+01	1.264670E-01
1.200E+02	1.101930E-01
1.550E+02	9.194650E-02
2.000E+02	7.236388E-02
2.580E+02	5.253247E-02
3.340E+02	3.418457E-02
4.310E+02	1.974196E-02
5.570E+02	9.745241E-03
7.190E+02	3.945361E-03
9.280E+02	1.211394E-03
1.200E+03	2.498964E-04
1.550E+03	3.049821E-05
2.000E+03	1.847801E-06
2.580E+03	4.414469E-08
3.340E+03	2.881764E-10
4.310E+03	4.051966E-13
5.570E+03	0.000000E+00

