 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.01 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0143

 DETECTORS		DIRECTIONS
 D1           9		R           10
 D2          10		RL           9
 D3          14		FL          18
 D4          11		F           11
 D5          12		FR           8
 D6          11		RR           9

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.026	uSv h^-1	(33.6%)
 H*(10)_i	:	0.039	uSv     	(33.6%)
 h*(10)		:	210.4	pSv cm^2	(7.5%)
 phi		:	0.034	cm^-2 s^-1 	(32.7%)
 thermal   	:	0.2954
 epithermal	:	0.1293
 fast      	:	0.5753
-------------------------------------------------------------
 Average experimental data uncertainty	:	30.14%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.389647E-05
2.580E-09	8.765639E-05
3.340E-09	1.425578E-04
4.310E-09	2.284556E-04
5.570E-09	3.630186E-04
7.190E-09	5.673717E-04
9.280E-09	8.702205E-04
1.200E-08	1.306787E-03
1.550E-08	1.898565E-03
2.000E-08	2.645916E-03
2.580E-08	3.545520E-03
3.340E-08	4.416265E-03
4.310E-08	5.041526E-03
5.570E-08	5.169370E-03
7.190E-08	4.624839E-03
9.280E-08	3.496986E-03
1.200E-07	2.163492E-03
1.550E-07	1.115919E-03
2.000E-07	5.682080E-04
2.580E-07	3.889777E-04
3.340E-07	3.554682E-04
4.310E-07	3.522471E-04
5.570E-07	3.518369E-04
7.190E-07	3.515556E-04
9.280E-07	3.512976E-04
1.200E-06	3.510596E-04
1.550E-06	3.508445E-04
2.000E-06	3.506518E-04
2.580E-06	3.504808E-04
3.340E-06	3.503291E-04
4.310E-06	3.502008E-04
5.570E-06	3.500932E-04
7.190E-06	3.500073E-04
9.280E-06	3.499425E-04
1.200E-05	3.498985E-04
1.550E-05	3.498756E-04
2.000E-05	3.498734E-04
2.580E-05	3.498916E-04
3.340E-05	3.499305E-04
4.310E-05	3.499888E-04
5.570E-05	3.500669E-04
7.190E-05	3.501635E-04
9.280E-05	3.502781E-04
1.200E-04	3.504108E-04
1.550E-04	3.505589E-04
2.000E-04	3.507206E-04
2.580E-04	3.508943E-04
3.340E-04	3.510802E-04
4.310E-04	3.512698E-04
5.570E-04	3.514621E-04
7.190E-04	3.516493E-04
9.280E-04	3.518247E-04
1.200E-03	3.520240E-04
1.550E-03	3.521737E-04
2.000E-03	3.522923E-04
2.580E-03	3.523724E-04
3.340E-03	3.524092E-04
4.310E-03	3.524028E-04
5.570E-03	3.523685E-04
7.190E-03	3.523483E-04
9.280E-03	3.524317E-04
1.200E-02	3.527982E-04
1.550E-02	3.537715E-04
2.000E-02	3.559189E-04
2.580E-02	3.602225E-04
3.340E-02	3.684889E-04
4.310E-02	3.832859E-04
5.570E-02	4.093391E-04
7.190E-02	4.535007E-04
9.280E-02	5.267031E-04
1.200E-01	6.462363E-04
1.550E-01	8.339696E-04
2.000E-01	1.119340E-03
2.580E-01	1.537803E-03
3.340E-01	2.132191E-03
4.310E-01	2.902068E-03
5.570E-01	3.826972E-03
7.190E-01	4.781744E-03
9.280E-01	5.548568E-03
1.200E+00	5.831214E-03
1.550E+00	5.374948E-03
2.000E+00	4.188767E-03
2.580E+00	2.635155E-03
3.340E+00	1.255832E-03
4.310E+00	4.571310E-04
5.570E+00	1.743949E-04
7.190E+00	1.589677E-04
9.280E+00	2.398278E-04
1.200E+01	3.792732E-04
1.550E+01	5.905022E-04
2.000E+01	8.995552E-04
2.580E+01	1.334999E-03
3.340E+01	1.925740E-03
4.310E+01	2.648259E-03
5.570E+01	3.450143E-03
7.190E+01	4.178234E-03
9.280E+01	4.613444E-03
1.200E+02	4.520663E-03
1.550E+02	3.797591E-03
2.000E+02	2.624120E-03
2.580E+02	1.413383E-03
3.340E+02	5.462712E-04
4.310E+02	1.431059E-04
5.570E+02	2.270499E-05
7.190E+02	2.023682E-06
9.280E+02	9.158785E-08
1.200E+03	1.756610E-09
1.550E+03	1.120862E-11
2.000E+03	1.589482E-14
2.580E+03	2.999691E-18
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

