 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.78 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0144

 DETECTORS		DIRECTIONS
 D1        1593		R          968
 D2        1722		RL        1444
 D3        1901		FL         968
 D4        1478		F         1896
 D5        1136		FR        1304
 D6         791		RR        1924

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;835-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.321	uSv h^-1	(11.0%)
 H*(10)_i	:	0.489	uSv     	(11.0%)
 h*(10)		:	24.7	pSv cm^2	(9.8%)
 phi		:	3.613	cm^-2 s^-1 	(5.1%)
 thermal   	:	0.4304
 epithermal	:	0.5240
 fast      	:	0.0456
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.72%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.294767E-03
2.580E-09	6.984943E-03
3.340E-09	1.135979E-02
4.310E-09	1.820460E-02
5.570E-09	2.892732E-02
7.190E-09	4.521130E-02
9.280E-09	6.934396E-02
1.200E-08	1.041320E-01
1.550E-08	1.512881E-01
2.000E-08	2.108412E-01
2.580E-08	3.381784E-01
3.340E-08	4.378418E-01
4.310E-08	5.301256E-01
5.570E-08	5.960467E-01
7.190E-08	6.155906E-01
9.280E-08	5.818048E-01
1.200E-07	5.076378E-01
1.550E-07	4.279661E-01
2.000E-07	3.742181E-01
2.580E-07	3.477274E-01
3.340E-07	3.330176E-01
4.310E-07	3.212983E-01
5.570E-07	3.101487E-01
7.190E-07	2.994553E-01
9.280E-07	2.891490E-01
1.200E-06	2.791383E-01
1.550E-06	2.695277E-01
2.000E-06	2.602968E-01
2.580E-06	2.514020E-01
3.340E-06	2.427049E-01
4.310E-06	2.344220E-01
5.570E-06	2.263859E-01
7.190E-06	2.186696E-01
9.280E-06	2.112293E-01
1.200E-05	2.039992E-01
1.550E-05	1.970549E-01
2.000E-05	1.903819E-01
2.580E-05	1.839488E-01
3.340E-05	1.776557E-01
4.310E-05	1.716591E-01
5.570E-05	1.658381E-01
7.190E-05	1.602454E-01
9.280E-05	1.548494E-01
1.200E-04	1.496022E-01
1.550E-04	1.445585E-01
2.000E-04	1.397076E-01
2.580E-04	1.350264E-01
3.340E-04	1.304415E-01
4.310E-04	1.260665E-01
5.570E-04	1.218123E-01
7.190E-04	1.177165E-01
9.280E-04	1.137545E-01
1.200E-03	1.098972E-01
1.550E-03	1.061722E-01
2.000E-03	1.025751E-01
2.580E-03	9.908750E-02
3.340E-03	9.565372E-02
4.310E-03	9.235894E-02
5.570E-03	8.913855E-02
7.190E-03	8.602655E-02
9.280E-03	8.301552E-02
1.200E-02	8.009705E-02
1.550E-02	7.733094E-02
2.000E-02	7.475347E-02
2.580E-02	7.240680E-02
3.340E-02	7.031858E-02
4.310E-02	6.858545E-02
5.570E-02	6.715648E-02
7.190E-02	6.591544E-02
9.280E-02	6.455197E-02
1.200E-01	6.256405E-02
1.550E-01	5.940105E-02
2.000E-01	5.465216E-02
2.580E-01	4.825929E-02
3.340E-01	4.047257E-02
4.310E-01	3.213226E-02
5.570E-01	2.379904E-02
7.190E-01	1.623668E-02
9.280E-01	9.997746E-03
1.200E+00	5.423037E-03
1.550E+00	2.602123E-03
2.000E+00	1.201005E-03
2.580E+00	7.217186E-04
3.340E+00	7.318535E-04
4.310E+00	9.763885E-04
5.570E+00	1.378997E-03
7.190E+00	1.976163E-03
9.280E+00	2.890381E-03
1.200E+01	4.326216E-03
1.550E+01	6.514285E-03
2.000E+01	9.695501E-03
2.580E+01	1.406062E-02
3.340E+01	1.971595E-02
4.310E+01	2.617248E-02
5.570E+01	3.260455E-02
7.190E+01	3.734311E-02
9.280E+01	3.848224E-02
1.200E+02	3.463597E-02
1.550E+02	2.629150E-02
2.000E+02	1.616071E-02
2.580E+02	7.657218E-03
3.340E+02	2.607709E-03
4.310E+02	6.263465E-04
5.570E+02	1.007870E-04
7.190E+02	1.067991E-05
9.280E+02	6.516714E-07
1.200E+03	1.717298E-08
1.550E+03	1.461996E-10
2.000E+03	2.805359E-13
2.580E+03	7.650275E-17
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

