[#]	rt(s)	Dt(s)	Det1	Det2	Det3	Det4	Det5	Det6	REAR	RearL	FrontL	FRONT	FrontR	RearR	Det1_cps	Det2_cps	Det3_cps	Det4_cps	Det5_cps	Det6_cps	REAR_cps	RearL_cps	FrontL_cps	FRONT_cps	FrontR_cps	RearR_cps
1145	1328.08	1.16	0000000000	0000000002	0000000001	0000000002	0000000001	0000000000	0000000000	0000000000	0000000000	0000000001	0000000003	0000000003	0.0000E+00	1.7291E+00	8.6455E-01	1.7291E+00	8.6455E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6455E-01	2.5936E+00	2.5936E+00	
1146	1329.24	1.16	0000000002	0000000001	0000000001	0000000001	0000000001	0000000000	0000000000	0000000001	0000000001	0000000001	0000000001	0000000000	1.7242E+00	8.6208E-01	8.6208E-01	8.6208E-01	8.6208E-01	0.0000E+00	0.0000E+00	8.6208E-01	8.6208E-01	8.6208E-01	8.6208E-01	0.0000E+00	
1147	1330.40	1.16	0000000002	0000000001	0000000000	0000000001	0000000001	0000000001	0000000000	0000000001	0000000001	0000000003	0000000000	0000000001	1.7241E+00	8.6207E-01	0.0000E+00	8.6207E-01	8.6207E-01	8.6207E-01	0.0000E+00	8.6207E-01	8.6207E-01	2.5862E+00	0.0000E+00	8.6207E-01	
1148	1331.56	1.16	0000000000	0000000001	0000000003	0000000000	0000000001	0000000002	0000000001	0000000000	0000000000	0000000001	0000000000	0000000004	0.0000E+00	8.6208E-01	2.5862E+00	0.0000E+00	8.6208E-01	1.7242E+00	8.6208E-01	0.0000E+00	0.0000E+00	8.6208E-01	0.0000E+00	3.4483E+00	
1149	1332.71	1.15	0000000002	0000000000	0000000000	0000000001	0000000001	0000000000	0000000000	0000000000	0000000000	0000000002	0000000000	0000000001	1.7393E+00	0.0000E+00	0.0000E+00	8.6963E-01	8.6963E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7393E+00	0.0000E+00	8.6963E-01	
1150	1333.87	1.16	0000000000	0000000000	0000000001	0000000000	0000000002	0000000000	0000000000	0000000000	0000000000	0000000001	0000000001	0000000001	0.0000E+00	0.0000E+00	8.6212E-01	0.0000E+00	1.7242E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6212E-01	8.6212E-01	8.6212E-01	
1151	1335.03	1.16	0000000000	0000000002	0000000001	0000000000	0000000000	0000000000	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0.0000E+00	1.7232E+00	8.6158E-01	0.0000E+00	0.0000E+00	0.0000E+00	8.6158E-01	0.0000E+00	8.6158E-01	0.0000E+00	0.0000E+00	0.0000E+00	
1152	1336.19	1.16	0000000000	0000000002	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000001	0000000001	0000000002	0.0000E+00	1.7224E+00	8.6121E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6121E-01	8.6121E-01	1.7224E+00	
1153	1337.35	1.16	0000000004	0000000001	0000000001	0000000000	0000000000	0000000003	0000000000	0000000001	0000000002	0000000004	0000000000	0000000000	3.4450E+00	8.6125E-01	8.6125E-01	0.0000E+00	0.0000E+00	2.5837E+00	0.0000E+00	8.6125E-01	1.7225E+00	3.4450E+00	0.0000E+00	0.0000E+00	
1154	1338.51	1.16	0000000000	0000000001	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000004	0.0000E+00	8.6149E-01	8.6149E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.4460E+00	
