 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 1723.56 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0148

 DETECTORS		DIRECTIONS
 D1         130		R           76
 D2         172		RL         154
 D3         131		FL         133
 D4         112		F          138
 D5          63		FR          62
 D6          65		RR         100

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;9123-0;1-0.81
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.173	uSv h^-1	(19.6%)
 H*(10)_i	:	0.083	uSv     	(19.6%)
 h*(10)		:	43.3	pSv cm^2	(12.6%)
 phi		:	1.113	cm^-2 s^-1 	(15.0%)
 thermal   	:	0.6779
 epithermal	:	0.2252
 fast      	:	0.0969
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.93%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.228750E-03
2.580E-09	5.251189E-03
3.340E-09	8.540144E-03
4.310E-09	1.368598E-02
5.570E-09	2.174718E-02
7.190E-09	3.398926E-02
9.280E-09	5.213188E-02
1.200E-08	7.828508E-02
1.550E-08	1.137364E-01
2.000E-08	1.585076E-01
2.580E-08	2.277540E-01
3.340E-08	2.871573E-01
4.310E-08	3.341920E-01
5.570E-08	3.536034E-01
7.190E-08	3.331347E-01
9.280E-08	2.748982E-01
1.200E-07	1.982609E-01
1.550E-07	1.326865E-01
2.000E-07	9.453137E-02
2.580E-07	7.837913E-02
3.340E-07	7.126126E-02
4.310E-07	6.638659E-02
5.570E-07	6.199093E-02
7.190E-07	5.793380E-02
9.280E-07	5.416656E-02
1.200E-06	5.064064E-02
1.550E-06	4.737804E-02
2.000E-06	4.435631E-02
2.580E-06	4.154751E-02
3.340E-06	3.889801E-02
4.310E-06	3.646301E-02
5.570E-06	3.418231E-02
7.190E-06	3.206752E-02
9.280E-06	3.009758E-02
1.200E-05	2.824796E-02
1.550E-05	2.653100E-02
2.000E-05	2.493575E-02
2.580E-05	2.344819E-02
3.340E-05	2.204050E-02
4.310E-05	2.074261E-02
5.570E-05	1.952305E-02
7.190E-05	1.838855E-02
9.280E-05	1.732831E-02
1.200E-04	1.632953E-02
1.550E-04	1.539929E-02
2.000E-04	1.453206E-02
2.580E-04	1.372058E-02
3.340E-04	1.294992E-02
4.310E-04	1.223673E-02
5.570E-04	1.156399E-02
7.190E-04	1.093560E-02
9.280E-04	1.034577E-02
1.200E-03	9.788995E-03
1.550E-03	9.267270E-03
2.000E-03	8.778727E-03
2.580E-03	8.319693E-03
3.340E-03	7.882314E-03
4.310E-03	7.477030E-03
5.570E-03	7.095815E-03
7.190E-03	6.743575E-03
9.280E-03	6.421418E-03
1.200E-02	6.132765E-03
1.550E-02	5.891083E-03
2.000E-02	5.711906E-03
2.580E-02	5.619078E-03
3.340E-02	5.650194E-03
4.310E-02	5.855268E-03
5.570E-02	6.300149E-03
7.190E-02	7.049674E-03
9.280E-02	8.160398E-03
1.200E-01	9.654163E-03
1.550E-01	1.142673E-02
2.000E-01	1.324426E-02
2.580E-01	1.472211E-02
3.340E-01	1.537054E-02
4.310E-01	1.472836E-02
5.570E-01	1.265243E-02
7.190E-01	9.521820E-03
9.280E-01	6.159000E-03
1.200E+00	3.449575E-03
1.550E+00	1.886043E-03
2.000E+00	1.281637E-03
2.580E+00	1.162671E-03
3.340E+00	1.186371E-03
4.310E+00	1.263201E-03
5.570E+00	1.486659E-03
7.190E+00	2.021359E-03
9.280E+00	3.034882E-03
1.200E+01	4.702910E-03
1.550E+01	7.205651E-03
2.000E+01	1.077008E-02
2.580E+01	1.560130E-02
3.340E+01	2.181038E-02
4.310E+01	2.883345E-02
5.570E+01	3.571938E-02
7.190E+01	4.059899E-02
9.280E+01	4.138551E-02
1.200E+02	3.664864E-02
1.550E+02	2.712551E-02
2.000E+02	1.599988E-02
2.580E+02	7.062391E-03
3.340E+02	2.111783E-03
4.310E+02	3.985690E-04
5.570E+02	4.073614E-05
7.190E+02	1.971305E-06
9.280E+02	3.690834E-08
1.200E+03	1.990109E-10
1.550E+03	2.329187E-13
2.000E+03	3.588688E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

