 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.72 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0151

 DETECTORS		DIRECTIONS
 D1        1197		R          549
 D2        1360		RL         896
 D3        1456		FL        1139
 D4        1167		F         1765
 D5         918		FR        1309
 D6         640		RR         994

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.375	uSv h^-1	(8.2%)
 H*(10)_i	:	0.572	uSv     	(8.2%)
 h*(10)		:	32.5	pSv cm^2	(7.4%)
 phi		:	3.211	cm^-2 s^-1 	(3.7%)
 thermal   	:	0.5264
 epithermal	:	0.4019
 fast      	:	0.0716
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.07%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.414302E-03
2.580E-09	1.205851E-02
3.340E-09	1.961106E-02
4.310E-09	3.142765E-02
5.570E-09	4.993888E-02
7.190E-09	7.805085E-02
9.280E-09	1.197124E-01
1.200E-08	1.797690E-01
1.550E-08	2.611774E-01
2.000E-08	3.639872E-01
2.580E-08	5.092566E-01
3.340E-08	6.409217E-01
4.310E-08	7.436975E-01
5.570E-08	7.834354E-01
7.190E-08	7.337500E-01
9.280E-08	6.013646E-01
1.200E-07	4.313599E-01
1.550E-07	2.894793E-01
2.000E-07	2.107728E-01
2.580E-07	1.818640E-01
3.340E-07	1.730311E-01
4.310E-07	1.685446E-01
5.570E-07	1.645445E-01
7.190E-07	1.606988E-01
9.280E-07	1.569725E-01
1.200E-06	1.533335E-01
1.550E-06	1.498209E-01
2.000E-06	1.464287E-01
2.580E-06	1.431420E-01
3.340E-06	1.399106E-01
4.310E-06	1.368158E-01
5.570E-06	1.337964E-01
7.190E-06	1.308808E-01
9.280E-06	1.280536E-01
1.200E-05	1.252904E-01
1.550E-05	1.226211E-01
2.000E-05	1.200412E-01
2.580E-05	1.175396E-01
3.340E-05	1.150778E-01
4.310E-05	1.127180E-01
5.570E-05	1.104134E-01
7.190E-05	1.081857E-01
9.280E-05	1.060230E-01
1.200E-04	1.039067E-01
1.550E-04	1.018593E-01
2.000E-04	9.987723E-02
2.580E-04	9.795157E-02
3.340E-04	9.605229E-02
4.310E-04	9.422664E-02
5.570E-04	9.243776E-02
7.190E-04	9.070138E-02
9.280E-04	8.900699E-02
1.200E-03	8.734896E-02
1.550E-03	8.572841E-02
2.000E-03	8.414813E-02
2.580E-03	8.260054E-02
3.340E-03	8.106162E-02
4.310E-03	7.957175E-02
5.570E-03	7.810631E-02
7.190E-03	7.668878E-02
9.280E-03	7.532962E-02
1.200E-02	7.404816E-02
1.550E-02	7.290691E-02
2.000E-02	7.197338E-02
2.580E-02	7.133661E-02
3.340E-02	7.110639E-02
4.310E-02	7.139392E-02
5.570E-02	7.224128E-02
7.190E-02	7.353096E-02
9.280E-02	7.489836E-02
1.200E-01	7.565634E-02
1.550E-01	7.482793E-02
2.000E-01	7.147093E-02
2.580E-01	6.501890E-02
3.340E-01	5.544852E-02
4.310E-01	4.393314E-02
5.570E-01	3.182879E-02
7.190E-01	2.094613E-02
9.280E-01	1.243062E-02
1.200E+00	6.576699E-03
1.550E+00	3.109718E-03
2.000E+00	1.383471E-03
2.580E+00	7.689375E-04
3.340E+00	7.890121E-04
4.310E+00	1.178522E-03
5.570E+00	1.891482E-03
7.190E+00	3.023884E-03
9.280E+00	4.777776E-03
1.200E+01	7.457678E-03
1.550E+01	1.138835E-02
2.000E+01	1.692219E-02
2.580E+01	2.432248E-02
3.340E+01	3.364825E-02
4.310E+01	4.387679E-02
5.570E+01	5.336645E-02
7.190E+01	5.919776E-02
9.280E+01	5.842232E-02
1.200E+02	4.954628E-02
1.550E+02	3.465589E-02
2.000E+02	1.901093E-02
2.580E+02	7.665063E-03
3.340E+02	2.056048E-03
4.310E+02	3.465036E-04
5.570E+02	3.242836E-05
7.190E+02	1.578110E-06
9.280E+02	3.566760E-08
1.200E+03	2.900294E-10
1.550E+03	6.067120E-13
2.000E+03	2.003715E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

