 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.63 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0150

 DETECTORS		DIRECTIONS
 D1        1303		R          718
 D2        1624		RL         939
 D3        1830		FL        1194
 D4        1580		F         2209
 D5        1341		FR        1787
 D6         900		RR        1610

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.506	uSv h^-1	(11.0%)
 H*(10)_i	:	0.771	uSv     	(11.0%)
 h*(10)		:	36.9	pSv cm^2	(10.4%)
 phi		:	3.813	cm^-2 s^-1 	(3.4%)
 thermal   	:	0.4022
 epithermal	:	0.5028
 fast      	:	0.0950
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.69%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.234393E-03
2.580E-09	1.013952E-02
3.340E-09	1.649016E-02
4.310E-09	2.642626E-02
5.570E-09	4.199162E-02
7.190E-09	6.562986E-02
9.280E-09	1.006614E-01
1.200E-08	1.511607E-01
1.550E-08	2.196137E-01
2.000E-08	3.060624E-01
2.580E-08	4.337482E-01
3.340E-08	5.480563E-01
4.310E-08	6.398799E-01
5.570E-08	6.809323E-01
7.190E-08	6.485676E-01
9.280E-08	5.467469E-01
1.200E-07	4.108259E-01
1.550E-07	2.948618E-01
2.000E-07	2.299383E-01
2.580E-07	2.064521E-01
3.340E-07	1.997960E-01
4.310E-07	1.967429E-01
5.570E-07	1.940629E-01
7.190E-07	1.914714E-01
9.280E-07	1.889438E-01
1.200E-06	1.864591E-01
1.550E-06	1.840451E-01
2.000E-06	1.816988E-01
2.580E-06	1.794110E-01
3.340E-06	1.771475E-01
4.310E-06	1.749661E-01
5.570E-06	1.728247E-01
7.190E-06	1.707443E-01
9.280E-06	1.687148E-01
1.200E-05	1.667194E-01
1.550E-05	1.647804E-01
2.000E-05	1.628953E-01
2.580E-05	1.610569E-01
3.340E-05	1.592374E-01
4.310E-05	1.574832E-01
5.570E-05	1.557604E-01
7.190E-05	1.540857E-01
9.280E-05	1.524505E-01
1.200E-04	1.508413E-01
1.550E-04	1.492754E-01
2.000E-04	1.477504E-01
2.580E-04	1.462597E-01
3.340E-04	1.447799E-01
4.310E-04	1.433476E-01
5.570E-04	1.419336E-01
7.190E-04	1.405496E-01
9.280E-04	1.391865E-01
1.200E-03	1.378977E-01
1.550E-03	1.366024E-01
2.000E-03	1.353458E-01
2.580E-03	1.341344E-01
3.340E-03	1.329713E-01
4.310E-03	1.319224E-01
5.570E-03	1.310277E-01
7.190E-03	1.303935E-01
9.280E-03	1.301663E-01
1.200E-02	1.305766E-01
1.550E-02	1.319441E-01
2.000E-02	1.346724E-01
2.580E-02	1.392316E-01
3.340E-02	1.461500E-01
4.310E-02	1.553664E-01
5.570E-02	1.664409E-01
7.190E-02	1.775387E-01
9.280E-02	1.856640E-01
1.200E-01	1.870283E-01
1.550E-01	1.787185E-01
2.000E-01	1.610486E-01
2.580E-01	1.377565E-01
3.340E-01	1.132570E-01
4.310E-01	9.059246E-02
5.570E-01	6.904810E-02
7.190E-01	4.865540E-02
9.280E-01	3.067419E-02
1.200E+00	1.678407E-02
1.550E+00	7.888326E-03
2.000E+00	3.237336E-03
2.580E+00	1.392936E-03
3.340E+00	1.060052E-03
4.310E+00	1.447418E-03
5.570E+00	2.269163E-03
7.190E+00	3.555001E-03
9.280E+00	5.482638E-03
1.200E+01	8.311553E-03
1.550E+01	1.226537E-02
2.000E+01	1.752469E-02
2.580E+01	2.410424E-02
3.340E+01	3.175296E-02
4.310E+01	3.931228E-02
5.570E+01	4.526839E-02
7.190E+01	4.750447E-02
9.280E+01	4.444013E-02
1.200E+02	3.598715E-02
1.550E+02	2.445331E-02
2.000E+02	1.343095E-02
2.580E+02	5.683380E-03
3.340E+02	1.718111E-03
4.310E+02	3.596321E-04
5.570E+02	4.769216E-05
7.190E+02	3.769607E-06
9.280E+02	1.520148E-07
1.200E+03	2.342074E-09
1.550E+03	1.020842E-11
2.000E+03	8.423632E-15
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

