[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.72	0.627	100.0%	0.003	100.0%	197.9	24.4%	0.880	100.0%	100.00%	32.5%	13.7%	53.8%	[1-1.00 0]
1	H	(3)	39.26	0.617	94.0%	0.007	94.0%	173.1	20.9%	0.991	91.7%	70.53%	40.0%	13.1%	46.9%	[1-1.00 0]
2	H	(3)	60.05	0.427	98.4%	0.007	98.4%	138.4	19.9%	0.858	96.4%	56.97%	50.9%	12.1%	37.0%	[1-1.00 0]
3	H	(3)	79.69	0.419	83.4%	0.009	83.4%	120.6	19.0%	0.966	81.2%	49.40%	58.7%	9.3%	32.0%	[1-1.00 0]
4	H	(3)	99.36	0.362	82.8%	0.010	82.8%	111.0	18.2%	0.907	80.8%	46.58%	62.5%	8.3%	29.2%	[1-1.00 0]
5	H	(3)	120.21	0.327	63.0%	0.011	63.0%	87.0	14.3%	1.043	61.3%	41.34%	71.9%	5.7%	22.4%	[1-1.00 0]
6	H	(3)	139.91	0.243	59.5%	0.009	59.5%	69.9	13.4%	0.966	57.9%	40.43%	79.3%	3.4%	17.4%	[1-1.00 0]
7	H	(3)	159.61	0.242	52.2%	0.011	52.2%	66.7	12.9%	1.007	50.6%	38.60%	82.1%	1.4%	16.5%	[1-1.00 0]
8	H	(3)	179.31	0.219	47.4%	0.011	47.4%	61.3	12.2%	0.995	45.8%	37.09%	83.8%	1.4%	14.8%	[1-1.00 0]
9	H	(3)	200.18	0.223	40.1%	0.012	40.1%	58.4	11.6%	1.060	38.4%	32.57%	80.0%	5.8%	14.1%	[1-1.00 0]
10	H	(3)	219.86	0.205	38.9%	0.013	38.9%	57.2	10.9%	0.998	37.3%	31.71%	79.4%	6.8%	13.7%	[1-1.00 0]
11	H	(3)	239.54	0.193	36.8%	0.013	36.8%	55.6	9.8%	0.966	35.5%	30.96%	78.2%	8.3%	13.5%	[1-1.00 0]
12	H	(3)	260.39	0.198	34.7%	0.014	34.7%	58.3	9.2%	0.944	33.5%	29.71%	75.4%	10.4%	14.2%	[1-1.00 0]
13	H	(3)	280.07	0.203	33.9%	0.016	33.9%	62.5	9.3%	0.902	32.6%	28.91%	73.1%	11.5%	15.4%	[1-1.00 0]
14	H	(3)	299.76	0.211	33.0%	0.018	33.0%	62.8	9.5%	0.934	31.6%	28.33%	78.6%	6.3%	15.1%	[1-1.00 0]
15	H	(3)	319.46	0.208	32.2%	0.018	32.2%	61.4	9.8%	0.939	30.7%	27.35%	79.9%	5.2%	14.9%	[1-1.00 0]
16	H	(3)	340.33	0.217	31.8%	0.020	31.8%	63.6	9.8%	0.947	30.2%	26.51%	80.8%	3.6%	15.6%	[1-1.00 0]
17	H	(3)	360.04	0.223	32.1%	0.022	32.1%	64.6	11.0%	0.960	30.2%	26.06%	82.7%	1.4%	15.8%	[1-1.00 0]
18	H	(3)	379.75	0.227	30.9%	0.024	30.9%	63.4	11.3%	0.997	28.7%	25.10%	84.1%	0.4%	15.5%	[1-1.00 0]
19	H	(3)	400.61	0.238	28.1%	0.026	28.1%	61.8	11.0%	1.071	25.9%	23.72%	83.4%	1.4%	15.2%	[1-1.00 0]
20	H	(3)	420.32	0.217	27.6%	0.025	27.6%	57.9	10.6%	1.040	25.5%	23.35%	83.3%	2.8%	13.9%	[1-1.00 0]
21	H	(3)	440.04	0.211	26.7%	0.026	26.7%	55.6	12.1%	1.056	23.8%	22.27%	82.2%	4.8%	13.0%	[1-1.00 0]
22	H	(3)	459.73	0.178	25.9%	0.023	25.9%	49.3	10.9%	1.005	23.5%	22.10%	81.9%	6.8%	11.2%	[1-1.00 0]
23	H	(3)	480.58	0.178	24.4%	0.024	24.4%	48.7	10.1%	1.018	22.2%	21.37%	80.8%	8.2%	10.9%	[1-1.00 0]
24	H	(3)	500.27	0.168	23.4%	0.023	23.4%	45.1	10.0%	1.031	21.2%	20.59%	79.7%	10.3%	10.0%	[1-1.00 0]
25	H	(3)	519.95	0.162	22.9%	0.023	22.9%	43.6	9.7%	1.033	20.7%	20.13%	79.0%	11.4%	9.5%	[1-1.00 0]
26	H	(3)	540.79	0.153	21.5%	0.023	21.5%	39.7	7.6%	1.072	20.1%	19.41%	80.3%	11.2%	8.5%	[1-1.00 1]
27	H	(3)	560.48	0.151	22.1%	0.023	22.1%	39.5	7.7%	1.058	20.8%	19.21%	81.1%	10.4%	8.5%	[1-1.00 1]
28	H	(3)	580.16	0.126	22.3%	0.020	22.3%	33.2	7.7%	1.055	20.9%	18.75%	82.3%	11.1%	6.7%	[1-1.00 1]
