 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.99 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0120

 DETECTORS		DIRECTIONS
 D1         132		R           73
 D2         129		RL         131
 D3         122		FL          77
 D4          68		F           87
 D5          66		FR          70
 D6          60		RR         135

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;815-2;1-0.18
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.059	uSv h^-1	(21.2%)
 H*(10)_i	:	0.090	uSv     	(21.2%)
 h*(10)		:	61.2	pSv cm^2	(18.0%)
 phi		:	0.268	cm^-2 s^-1 	(11.2%)
 thermal   	:	0.6145
 epithermal	:	0.2632
 fast      	:	0.1223
-------------------------------------------------------------
 Average experimental data uncertainty	:	10.65%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.510175E-04
2.580E-09	4.082510E-04
3.340E-09	6.639492E-04
4.310E-09	1.064010E-03
5.570E-09	1.690723E-03
7.190E-09	2.642478E-03
9.280E-09	4.052967E-03
1.200E-08	6.086234E-03
1.550E-08	8.842382E-03
2.000E-08	1.232310E-02
2.580E-08	3.094422E-02
3.340E-08	4.114753E-02
4.310E-08	5.190270E-02
5.570E-08	6.173127E-02
7.190E-08	6.822679E-02
9.280E-08	6.921225E-02
1.200E-07	6.410609E-02
1.550E-07	5.564484E-02
2.000E-07	4.783383E-02
2.580E-07	4.197137E-02
3.340E-07	3.725930E-02
4.310E-07	3.323507E-02
5.570E-07	2.963806E-02
7.190E-07	2.644629E-02
9.280E-07	2.360122E-02
1.200E-06	2.104610E-02
1.550E-06	1.877823E-02
2.000E-06	1.676368E-02
2.580E-06	1.496796E-02
3.340E-06	1.334452E-02
4.310E-06	1.191502E-02
5.570E-06	1.063235E-02
7.190E-06	9.493322E-03
9.280E-06	8.477381E-03
1.200E-05	7.564402E-03
1.550E-05	6.753546E-03
2.000E-05	6.032805E-03
2.580E-05	5.389946E-03
3.340E-05	4.808385E-03
4.310E-05	4.295963E-03
5.570E-05	3.835875E-03
7.190E-05	3.427038E-03
9.280E-05	3.062135E-03
1.200E-04	2.733987E-03
1.550E-04	2.442338E-03
2.000E-04	2.182914E-03
2.580E-04	1.951348E-03
3.340E-04	1.741697E-03
4.310E-04	1.556815E-03
5.570E-04	1.390667E-03
7.190E-04	1.242883E-03
9.280E-04	1.110840E-03
1.200E-03	9.919576E-04
1.550E-03	8.861547E-04
2.000E-03	7.918965E-04
2.580E-03	7.076092E-04
3.340E-03	6.311357E-04
4.310E-03	5.635254E-04
5.570E-03	5.025807E-04
7.190E-03	4.481731E-04
9.280E-03	3.993464E-04
1.200E-02	3.551535E-04
1.550E-02	3.155790E-04
2.000E-02	2.800752E-04
2.580E-02	2.480886E-04
3.340E-02	2.188584E-04
4.310E-02	1.928875E-04
5.570E-02	1.695010E-04
7.190E-02	1.489187E-04
9.280E-02	1.312044E-04
1.200E-01	1.187364E-04
1.550E-01	1.098496E-04
2.000E-01	1.074978E-04
2.580E-01	1.144357E-04
3.340E-01	1.352684E-04
4.310E-01	1.755951E-04
5.570E-01	2.443302E-04
7.190E-01	3.514711E-04
9.280E-01	5.098547E-04
1.200E+00	7.354484E-04
1.550E+00	1.040458E-03
2.000E+00	1.437987E-03
2.580E+00	1.941771E-03
3.340E+00	2.572969E-03
4.310E+00	3.321019E-03
5.570E+00	4.193258E-03
7.190E+00	5.164186E-03
9.280E+00	6.212392E-03
1.200E+01	7.303864E-03
1.550E+01	8.320316E-03
2.000E+01	9.039895E-03
2.580E+01	9.155746E-03
3.340E+01	8.438717E-03
4.310E+01	7.018913E-03
5.570E+01	5.351511E-03
7.190E+01	4.034427E-03
9.280E+01	3.411035E-03
1.200E+02	3.443190E-03
1.550E+02	3.822673E-03
2.000E+02	4.222645E-03
2.580E+02	4.469672E-03
3.340E+02	4.528941E-03
4.310E+02	4.400161E-03
5.570E+02	4.035906E-03
7.190E+02	3.372817E-03
9.280E+02	2.445610E-03
1.200E+03	1.447569E-03
1.550E+03	6.568761E-04
2.000E+03	2.103264E-04
2.580E+03	4.249170E-05
3.340E+03	4.534178E-06
4.310E+03	2.257739E-07
5.570E+03	0.000000E+00

