 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.00 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0121

 DETECTORS		DIRECTIONS
 D1        2421		R         1472
 D2        2097		RL        2073
 D3        1910		FL        1341
 D4        1506		F         1687
 D5        1082		FR        1152
 D6         714		RR        1860

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;9135-0;1-0.80
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.392	uSv h^-1	(36.3%)
 H*(10)_i	:	0.597	uSv     	(36.3%)
 h*(10)		:	20.9	pSv cm^2	(35.3%)
 phi		:	5.209	cm^-2 s^-1 	(8.4%)
 thermal   	:	0.8041
 epithermal	:	0.1642
 fast      	:	0.0317
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.64%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.264109E-02
2.580E-09	3.682312E-02
3.340E-09	5.988639E-02
4.310E-09	9.597076E-02
5.570E-09	1.524986E-01
7.190E-09	2.383443E-01
9.280E-09	3.655665E-01
1.200E-08	5.489616E-01
1.550E-08	7.975586E-01
2.000E-08	1.111509E+00
2.580E-08	1.489741E+00
3.340E-08	1.854740E+00
4.310E-08	2.115719E+00
5.570E-08	2.166345E+00
7.190E-08	1.932873E+00
9.280E-08	1.453125E+00
1.200E-07	8.870341E-01
1.550E-07	4.423417E-01
2.000E-07	2.086941E-01
2.580E-07	1.302054E-01
3.340E-07	1.130555E-01
4.310E-07	1.088142E-01
5.570E-07	1.058751E-01
7.190E-07	1.031323E-01
9.280E-07	1.005220E-01
1.200E-06	9.801716E-02
1.550E-06	9.564062E-02
2.000E-06	9.338382E-02
2.580E-06	9.123291E-02
3.340E-06	8.915215E-02
4.310E-06	8.719077E-02
5.570E-06	8.530656E-02
7.190E-06	8.351443E-02
9.280E-06	8.180202E-02
1.200E-05	8.015247E-02
1.550E-05	7.858128E-02
2.000E-05	7.708338E-02
2.580E-05	7.565012E-02
3.340E-05	7.425798E-02
4.310E-05	7.294033E-02
5.570E-05	7.166924E-02
7.190E-05	7.045510E-02
9.280E-05	6.928988E-02
1.200E-04	6.816229E-02
1.550E-04	6.708310E-02
2.000E-04	6.604904E-02
2.580E-04	6.505419E-02
3.340E-04	6.408211E-02
4.310E-04	6.315589E-02
5.570E-04	6.225565E-02
7.190E-04	6.138824E-02
9.280E-04	6.054726E-02
1.200E-03	5.972829E-02
1.550E-03	5.893127E-02
2.000E-03	5.815579E-02
2.580E-03	5.739645E-02
3.340E-03	5.663941E-02
4.310E-03	5.590207E-02
5.570E-03	5.516915E-02
7.190E-03	5.444835E-02
9.280E-03	5.373965E-02
1.200E-02	5.304526E-02
1.550E-02	5.238767E-02
2.000E-02	5.178904E-02
2.580E-02	5.127868E-02
3.340E-02	5.088880E-02
4.310E-02	5.066159E-02
5.570E-02	5.059299E-02
7.190E-02	5.061703E-02
9.280E-02	5.055245E-02
1.200E-01	5.007144E-02
1.550E-01	4.873245E-02
2.000E-01	4.609471E-02
2.580E-01	4.186386E-02
3.340E-01	3.596188E-02
4.310E-01	2.896847E-02
5.570E-01	2.158731E-02
7.190E-01	1.485608E-02
9.280E-01	9.464824E-03
1.200E+00	5.673239E-03
1.550E+00	3.472318E-03
2.000E+00	2.566185E-03
2.580E+00	2.535494E-03
3.340E+00	2.963240E-03
4.310E+00	3.503330E-03
5.570E+00	3.973050E-03
7.190E+00	4.359489E-03
9.280E+00	4.885891E-03
1.200E+01	5.999243E-03
1.550E+01	8.190695E-03
2.000E+01	1.179800E-02
2.580E+01	1.694101E-02
3.340E+01	2.360210E-02
4.310E+01	3.108506E-02
5.570E+01	3.830442E-02
7.190E+01	4.320963E-02
9.280E+01	4.357647E-02
1.200E+02	3.800393E-02
1.550E+02	2.753919E-02
2.000E+02	1.578443E-02
2.580E+02	6.708695E-03
3.340E+02	1.910513E-03
4.310E+02	3.401209E-04
5.570E+02	3.250760E-05
7.190E+02	1.466351E-06
9.280E+02	2.574594E-08
1.200E+03	1.337147E-10
1.550E+03	1.621294E-13
2.000E+03	2.390153E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

