 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4445.00 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0099

 DETECTORS		DIRECTIONS
 D1        1329		R         1892
 D2        1680		RL         714
 D3        1915		FL         836
 D4        1669		F         1010
 D5        1415		FR        3133
 D6        1056		RR        1319

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;84-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.105	uSv h^-1	(8.9%)
 H*(10)_i	:	1.365	uSv     	(8.9%)
 h*(10)		:	63.0	pSv cm^2	(8.3%)
 phi		:	4.875	cm^-2 s^-1 	(3.3%)
 thermal   	:	0.3674
 epithermal	:	0.4630
 fast      	:	0.1696
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.61%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.438001E-03
2.580E-09	1.047067E-02
3.340E-09	1.702871E-02
4.310E-09	2.728931E-02
5.570E-09	4.336303E-02
7.190E-09	6.777326E-02
9.280E-09	1.039489E-01
1.200E-08	1.560974E-01
1.550E-08	2.267860E-01
2.000E-08	3.160580E-01
2.580E-08	4.636368E-01
3.340E-08	5.901779E-01
4.310E-08	6.968801E-01
5.570E-08	7.548026E-01
7.190E-08	7.388194E-01
9.280E-08	6.490724E-01
1.200E-07	5.173131E-01
1.550E-07	3.982447E-01
2.000E-07	3.280174E-01
2.580E-07	2.999990E-01
3.340E-07	2.894030E-01
4.310E-07	2.826939E-01
5.570E-07	2.764657E-01
7.190E-07	2.704571E-01
9.280E-07	2.646246E-01
1.200E-06	2.589191E-01
1.550E-06	2.534028E-01
2.000E-06	2.480672E-01
2.580E-06	2.428902E-01
3.340E-06	2.377931E-01
4.310E-06	2.329051E-01
5.570E-06	2.281304E-01
7.190E-06	2.235146E-01
9.280E-06	2.190338E-01
1.200E-05	2.146505E-01
1.550E-05	2.104123E-01
2.000E-05	2.063128E-01
2.580E-05	2.023348E-01
3.340E-05	1.984179E-01
4.310E-05	1.946612E-01
5.570E-05	1.909910E-01
7.190E-05	1.874419E-01
9.280E-05	1.839956E-01
1.200E-04	1.806226E-01
1.550E-04	1.773592E-01
2.000E-04	1.742000E-01
2.580E-04	1.711309E-01
3.340E-04	1.681043E-01
4.310E-04	1.651956E-01
5.570E-04	1.623461E-01
7.190E-04	1.595809E-01
9.280E-04	1.568831E-01
1.200E-03	1.542475E-01
1.550E-03	1.516702E-01
2.000E-03	1.491584E-01
2.580E-03	1.467003E-01
3.340E-03	1.442589E-01
4.310E-03	1.419006E-01
5.570E-03	1.395907E-01
7.190E-03	1.373745E-01
9.280E-03	1.352836E-01
1.200E-02	1.333772E-01
1.550E-02	1.318026E-01
2.000E-02	1.307520E-01
2.580E-02	1.305149E-01
3.340E-02	1.315415E-01
4.310E-02	1.343893E-01
5.570E-02	1.398093E-01
7.190E-02	1.485045E-01
9.280E-02	1.610758E-01
1.200E-01	1.777442E-01
1.550E-01	1.973922E-01
2.000E-01	2.175140E-01
2.580E-01	2.338344E-01
3.340E-01	2.405065E-01
4.310E-01	2.314246E-01
5.570E-01	2.035969E-01
7.190E-01	1.601196E-01
9.280E-01	1.098974E-01
1.200E+00	6.404831E-02
1.550E+00	3.130922E-02
2.000E+00	1.292149E-02
2.580E+00	5.151347E-03
3.340E+00	3.359666E-03
4.310E+00	4.378798E-03
5.570E+00	6.914245E-03
7.190E+00	1.098406E-02
9.280E+00	1.722505E-02
1.200E+01	2.663097E-02
1.550E+01	4.018405E-02
2.000E+01	5.883268E-02
2.580E+01	8.303652E-02
3.340E+01	1.123309E-01
4.310E+01	1.426688E-01
5.570E+01	1.682623E-01
7.190E+01	1.803180E-01
9.280E+01	1.714635E-01
1.200E+02	1.399938E-01
1.550E+02	9.456021E-02
2.000E+02	5.049677E-02
2.580E+02	2.012097E-02
3.340E+02	5.470150E-03
4.310E+02	9.686332E-04
5.570E+02	9.909044E-05
7.190E+02	5.331893E-06
9.280E+02	1.265621E-07
1.200E+03	9.897671E-10
1.550E+03	1.903432E-12
2.000E+03	5.922111E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

