 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.85 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0104

 DETECTORS		DIRECTIONS
 D1         110		R           58
 D2         168		RL          28
 D3         148		FL          80
 D4         116		F          130
 D5          95		FR         256
 D6          82		RR         153

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;84-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.081	uSv h^-1	(16.4%)
 H*(10)_i	:	0.123	uSv     	(16.4%)
 h*(10)		:	68.7	pSv cm^2	(13.2%)
 phi		:	0.326	cm^-2 s^-1 	(9.7%)
 thermal   	:	0.4655
 epithermal	:	0.3675
 fast      	:	0.1669
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.34%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.984653E-05
2.580E-09	4.854194E-05
3.340E-09	7.894501E-05
4.310E-09	1.265131E-04
5.570E-09	2.010307E-04
7.190E-09	3.141964E-04
9.280E-09	4.819066E-04
1.200E-08	7.236665E-04
1.550E-08	1.051379E-03
2.000E-08	1.465243E-03
2.580E-08	1.726655E-02
3.340E-08	2.483640E-02
4.310E-08	3.451561E-02
5.570E-08	4.599184E-02
7.190E-08	5.743781E-02
9.280E-08	6.579109E-02
1.200E-07	6.813904E-02
1.550E-07	6.481384E-02
2.000E-07	5.938827E-02
2.580E-07	5.417060E-02
3.340E-07	4.939727E-02
4.310E-07	4.510995E-02
5.570E-07	4.117435E-02
7.190E-07	3.759786E-02
9.280E-07	3.433372E-02
1.200E-06	3.133218E-02
1.550E-06	2.860448E-02
2.000E-06	2.612404E-02
2.580E-06	2.386092E-02
3.340E-06	2.176650E-02
4.310E-06	1.987874E-02
5.570E-06	1.814514E-02
7.190E-06	1.656963E-02
9.280E-06	1.513165E-02
1.200E-05	1.380930E-02
1.550E-05	1.260753E-02
2.000E-05	1.151463E-02
2.580E-05	1.051743E-02
3.340E-05	9.594516E-03
4.310E-05	8.762602E-03
5.570E-05	7.998570E-03
7.190E-05	7.304152E-03
9.280E-05	6.670287E-03
1.200E-04	6.087321E-03
1.550E-04	5.557440E-03
2.000E-04	5.075484E-03
2.580E-04	4.635636E-03
3.340E-04	4.228449E-03
4.310E-04	3.861294E-03
5.570E-04	3.523964E-03
7.190E-04	3.217214E-03
9.280E-04	2.937034E-03
1.200E-03	2.679160E-03
1.550E-03	2.444520E-03
2.000E-03	2.230829E-03
2.580E-03	2.035495E-03
3.340E-03	1.854298E-03
4.310E-03	1.690503E-03
5.570E-03	1.539549E-03
7.190E-03	1.401772E-03
9.280E-03	1.275392E-03
1.200E-02	1.158521E-03
1.550E-02	1.051699E-03
2.000E-02	9.540944E-04
2.580E-02	8.648927E-04
3.340E-02	7.828125E-04
4.310E-02	7.103911E-04
5.570E-02	6.473103E-04
7.190E-02	5.964051E-04
9.280E-02	5.610693E-04
1.200E-01	5.535985E-04
1.550E-01	5.742327E-04
2.000E-01	6.397838E-04
2.580E-01	7.679460E-04
3.340E-01	9.852015E-04
4.310E-01	1.313848E-03
5.570E-01	1.790270E-03
7.190E-01	2.442004E-03
9.280E-01	3.298576E-03
1.200E+00	4.384126E-03
1.550E+00	5.671330E-03
2.000E+00	7.080476E-03
2.580E+00	8.435650E-03
3.340E+00	9.451320E-03
4.310E+00	9.753444E-03
5.570E+00	9.141412E-03
7.190E+00	7.720997E-03
9.280E+00	5.916120E-03
1.200E+01	4.247644E-03
1.550E+01	3.086271E-03
2.000E+01	2.460089E-03
2.580E+01	2.218877E-03
3.340E+01	2.266163E-03
4.310E+01	2.643537E-03
5.570E+01	3.460711E-03
7.190E+01	4.771725E-03
9.280E+01	6.559096E-03
1.200E+02	8.727305E-03
1.550E+02	1.100994E-02
2.000E+02	1.301291E-02
2.580E+02	1.424537E-02
3.340E+02	1.425068E-02
4.310E+02	1.286594E-02
5.570E+02	1.037565E-02
7.190E+02	7.431792E-03
9.280E+02	4.656662E-03
1.200E+03	2.450806E-03
1.550E+03	1.025140E-03
2.000E+03	3.144073E-04
2.580E+03	6.381351E-05
3.340E+03	7.305582E-06
4.310E+03	4.236975E-07
5.570E+03	0.000000E+00

