 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 259.48 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0075

 DETECTORS		DIRECTIONS
 D1          20		R           15
 D2          15		RL          19
 D3          18		FL          10
 D4          13		F           24
 D5          13		FR          16
 D6           7		RR           6

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.053	uSv h^-1	(31.9%)
 H*(10)_i	:	0.004	uSv     	(31.9%)
 h*(10)		:	18.7	pSv cm^2	(7.3%)
 phi		:	0.795	cm^-2 s^-1 	(31.0%)
 thermal   	:	0.5592
 epithermal	:	0.4180
 fast      	:	0.0228
-------------------------------------------------------------
 Average experimental data uncertainty	:	27.50%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.025878E-03
2.580E-09	3.294856E-03
3.340E-09	5.358509E-03
4.310E-09	8.587263E-03
5.570E-09	1.364526E-02
7.190E-09	2.132655E-02
9.280E-09	3.271013E-02
1.200E-08	4.911994E-02
1.550E-08	7.136388E-02
2.000E-08	9.945554E-02
2.580E-08	1.375259E-01
3.340E-08	1.726877E-01
4.310E-08	1.996715E-01
5.570E-08	2.091535E-01
7.190E-08	1.941197E-01
9.280E-08	1.567834E-01
1.200E-07	1.098622E-01
1.550E-07	7.134881E-02
2.000E-07	5.042154E-02
2.580E-07	4.313746E-02
3.340E-07	4.132837E-02
4.310E-07	4.067897E-02
5.570E-07	4.014621E-02
7.190E-07	3.963430E-02
9.280E-07	3.913679E-02
1.200E-06	3.864950E-02
1.550E-06	3.817782E-02
2.000E-06	3.772108E-02
2.580E-06	3.727742E-02
3.340E-06	3.684009E-02
4.310E-06	3.642018E-02
5.570E-06	3.600940E-02
7.190E-06	3.561155E-02
9.280E-06	3.522445E-02
1.200E-05	3.484459E-02
1.550E-05	3.447576E-02
2.000E-05	3.411698E-02
2.580E-05	3.376613E-02
3.340E-05	3.341699E-02
4.310E-05	3.307730E-02
5.570E-05	3.273899E-02
7.190E-05	3.240339E-02
9.280E-05	3.206640E-02
1.200E-04	3.172189E-02
1.550E-04	3.136945E-02
2.000E-04	3.100363E-02
2.580E-04	3.061659E-02
3.340E-04	3.019340E-02
4.310E-04	2.973441E-02
5.570E-04	2.921844E-02
7.190E-04	2.863505E-02
9.280E-04	2.796411E-02
1.200E-03	2.720023E-02
1.550E-03	2.629293E-02
2.000E-03	2.523852E-02
2.580E-03	2.401666E-02
3.340E-03	2.259493E-02
4.310E-03	2.101228E-02
5.570E-03	1.926192E-02
7.190E-03	1.740400E-02
9.280E-03	1.549520E-02
1.200E-02	1.359880E-02
1.550E-02	1.181821E-02
2.000E-02	1.022049E-02
2.580E-02	8.843403E-03
3.340E-02	7.681804E-03
4.310E-02	6.743630E-03
5.570E-02	5.966763E-03
7.190E-02	5.323371E-03
9.280E-02	4.800976E-03
1.200E-01	4.418579E-03
1.550E-01	4.220165E-03
2.000E-01	4.236806E-03
2.580E-01	4.472738E-03
3.340E-01	4.898422E-03
4.310E-01	5.422635E-03
5.570E-01	5.942868E-03
7.190E-01	6.331763E-03
9.280E-01	6.472773E-03
1.200E+00	6.261864E-03
1.550E+00	5.645208E-03
2.000E+00	4.661913E-03
2.580E+00	3.455472E-03
3.340E+00	2.229407E-03
4.310E+00	1.229451E-03
5.570E+00	5.518166E-04
7.190E+00	1.924466E-04
9.280E+00	4.840431E-05
1.200E+01	7.872379E-06
1.550E+01	7.449873E-07
2.000E+01	3.497788E-08
2.580E+01	6.525385E-10
3.340E+01	3.354273E-12
4.310E+01	3.773683E-15
5.570E+01	5.186976E-19
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

