 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5384.12 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0075

 DETECTORS		DIRECTIONS
 D1         267		R          135
 D2         228		RL         190
 D3         244		FL         190
 D4         182		F          301
 D5         127		FR         143
 D6          88		RR         163

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.039	uSv h^-1	(10.3%)
 H*(10)_i	:	0.058	uSv     	(10.3%)
 h*(10)		:	17.6	pSv cm^2	(5.3%)
 phi		:	0.615	cm^-2 s^-1 	(8.9%)
 thermal   	:	0.7874
 epithermal	:	0.1918
 fast      	:	0.0208
-------------------------------------------------------------
 Average experimental data uncertainty	:	7.68%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.483381E-03
2.580E-09	4.038932E-03
3.340E-09	6.568619E-03
4.310E-09	1.052652E-02
5.570E-09	1.672676E-02
7.190E-09	2.614271E-02
9.280E-09	4.009704E-02
1.200E-08	6.021267E-02
1.550E-08	8.747995E-02
2.000E-08	1.219155E-01
2.580E-08	1.654767E-01
3.340E-08	2.065877E-01
4.310E-08	2.366919E-01
5.570E-08	2.441412E-01
7.190E-08	2.206106E-01
9.280E-08	1.697538E-01
1.200E-07	1.085475E-01
1.550E-07	5.968337E-02
2.000E-07	3.351248E-02
2.580E-07	2.430463E-02
3.340E-07	2.184088E-02
4.310E-07	2.082674E-02
5.570E-07	1.997755E-02
7.190E-07	1.917637E-02
9.280E-07	1.841289E-02
1.200E-06	1.767959E-02
1.550E-06	1.698339E-02
2.000E-06	1.632201E-02
2.580E-06	1.569159E-02
3.340E-06	1.508182E-02
4.310E-06	1.450728E-02
5.570E-06	1.395573E-02
7.190E-06	1.343164E-02
9.280E-06	1.293148E-02
1.200E-05	1.245041E-02
1.550E-05	1.199302E-02
2.000E-05	1.155787E-02
2.580E-05	1.114246E-02
3.340E-05	1.074005E-02
4.310E-05	1.036028E-02
5.570E-05	9.995117E-03
7.190E-05	9.647550E-03
9.280E-05	9.315277E-03
1.200E-04	8.995098E-03
1.550E-04	8.690087E-03
2.000E-04	8.399304E-03
2.580E-04	8.121099E-03
3.340E-04	7.850931E-03
4.310E-04	7.595273E-03
5.570E-04	7.348691E-03
7.190E-04	7.113164E-03
9.280E-04	6.887077E-03
1.200E-03	6.669346E-03
1.550E-03	6.460360E-03
2.000E-03	6.260245E-03
2.580E-03	6.067993E-03
3.340E-03	5.880716E-03
4.310E-03	5.703402E-03
5.570E-03	5.533180E-03
7.190E-03	5.372924E-03
9.280E-03	5.223923E-03
1.200E-02	5.088451E-03
1.550E-02	4.973102E-03
2.000E-02	4.884236E-03
2.580E-02	4.829123E-03
3.340E-02	4.814683E-03
4.310E-02	4.843217E-03
5.570E-02	4.904203E-03
7.190E-02	4.965289E-03
9.280E-02	4.968429E-03
1.200E-01	4.834636E-03
1.550E-01	4.495951E-03
2.000E-01	3.939825E-03
2.580E-01	3.231151E-03
3.340E-01	2.479308E-03
4.310E-01	1.813387E-03
5.570E-01	1.269706E-03
7.190E-01	8.508164E-04
9.280E-01	5.338888E-04
1.200E+00	3.031331E-04
1.550E+00	1.536506E-04
2.000E+00	7.340971E-05
2.580E+00	4.417119E-05
3.340E+00	4.751463E-05
4.310E+00	7.160035E-05
5.570E+00	1.149664E-04
7.190E+00	1.837061E-04
9.280E+00	2.900625E-04
1.200E+01	4.523692E-04
1.550E+01	6.900394E-04
2.000E+01	1.023930E-03
2.580E+01	1.469163E-03
3.340E+01	2.028035E-03
4.310E+01	2.637491E-03
5.570E+01	3.197481E-03
7.190E+01	3.533084E-03
9.280E+01	3.470818E-03
1.200E+02	2.927603E-03
1.550E+02	2.034702E-03
2.000E+02	1.107138E-03
2.580E+02	4.409630E-04
3.340E+02	1.155152E-04
4.310E+02	1.846110E-05
5.570E+02	1.519848E-06
7.190E+02	5.522681E-08
9.280E+02	6.986306E-10
1.200E+03	2.177402E-12
1.550E+03	1.204407E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

