[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.77	1.141	100.0%	0.006	100.0%	235.4	25.7%	1.346	100.0%	72.04%	12.4%	21.1%	66.5%	[1-0.43 0]
1	H	(3)	39.53	0.453	100.0%	0.005	100.0%	139.1	24.0%	0.904	100.0%	58.13%	11.4%	48.9%	39.7%	[1-0.43 0]
2	H	(3)	60.42	0.485	70.9%	0.008	70.9%	106.8	22.1%	1.260	67.3%	42.17%	11.5%	57.2%	31.3%	[1-0.43 0]
3	H	(3)	78.95	0.397	64.9%	0.009	64.9%	91.1	20.4%	1.212	61.6%	37.83%	11.5%	61.6%	26.9%	[1-0.43 0]
4	H	(3)	99.81	0.416	53.5%	0.012	53.5%	84.8	19.0%	1.361	50.0%	31.89%	10.8%	63.5%	25.7%	[1-0.43 0]
5	H	(3)	119.51	0.332	33.8%	0.011	33.8%	62.5	9.2%	1.475	32.5%	27.57%	11.7%	68.6%	19.7%	[1-0.43 0]
6	H	(3)	139.21	0.484	29.8%	0.019	29.8%	87.2	7.9%	1.542	28.7%	25.24%	14.0%	59.7%	26.2%	[1-0.43 0]
7	H	(3)	160.08	0.652	26.3%	0.029	26.3%	108.3	7.3%	1.671	25.3%	22.79%	16.4%	52.0%	31.5%	[1-0.43 0]
8	H	(3)	179.79	0.787	25.2%	0.039	25.2%	129.3	7.3%	1.691	24.2%	21.56%	17.4%	44.3%	38.3%	[1-0.43 0]
9	H	(3)	199.49	0.806	25.2%	0.045	25.2%	138.5	7.0%	1.617	24.2%	21.01%	18.4%	40.3%	41.4%	[1-0.43 0]
10	H	(3)	219.18	0.715	25.3%	0.044	25.3%	131.0	7.4%	1.516	24.2%	20.68%	17.2%	42.5%	40.3%	[1-0.43 0]
11	H	(3)	240.05	0.659	24.0%	0.044	24.0%	122.1	7.4%	1.500	22.8%	19.80%	15.5%	44.6%	39.9%	[1-0.43 0]
12	H	(3)	259.76	0.674	22.6%	0.049	22.6%	123.5	8.2%	1.516	21.1%	18.90%	14.5%	44.2%	41.3%	[1-1.00 1]
13	H	(3)	279.45	0.737	22.1%	0.057	22.1%	134.5	7.8%	1.523	20.7%	18.28%	15.9%	41.3%	42.8%	[1-0.99 2]
14	H	(3)	300.31	0.879	20.8%	0.073	20.8%	153.7	7.2%	1.589	19.5%	17.49%	17.4%	35.8%	46.8%	[1-1.00 1]
15	H	(3)	319.99	1.033	20.5%	0.092	20.5%	177.8	6.8%	1.614	19.4%	17.00%	19.1%	28.9%	52.0%	[1-1.00 1]
16	H	(3)	339.68	1.129	20.0%	0.107	20.0%	192.6	6.6%	1.628	18.9%	16.54%	20.6%	24.8%	54.6%	[1-1.00 1]
17	H	(3)	359.36	1.115	19.2%	0.111	19.2%	188.5	6.1%	1.643	18.2%	15.94%	20.8%	25.6%	53.5%	[1-1.00 1]
18	H	(3)	380.21	1.058	17.9%	0.112	17.9%	176.1	5.7%	1.669	16.9%	15.24%	21.1%	28.1%	50.8%	[1-1.00 1]
19	H	(3)	399.91	0.970	17.4%	0.108	17.4%	163.7	5.7%	1.646	16.4%	14.96%	21.3%	30.9%	47.7%	[1-1.00 1]
