 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6486.75 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0112

 DETECTORS		DIRECTIONS
 D1        1192		R          595
 D2        1524		RL         768
 D3        1917		FL        1464
 D4        1950		F         3065
 D5        1659		FR        1919
 D6        1276		RR        1545

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.835	uSv h^-1	(6.5%)
 H*(10)_i	:	1.504	uSv     	(6.5%)
 h*(10)		:	69.0	pSv cm^2	(5.6%)
 phi		:	3.362	cm^-2 s^-1 	(3.2%)
 thermal   	:	0.2765
 epithermal	:	0.4880
 fast      	:	0.2354
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.54%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.711212E-03
2.580E-09	6.035858E-03
3.340E-09	9.816271E-03
4.310E-09	1.573104E-02
5.570E-09	2.499679E-02
7.190E-09	3.906817E-02
9.280E-09	5.992179E-02
1.200E-08	8.998297E-02
1.550E-08	1.307317E-01
2.000E-08	1.821929E-01
2.580E-08	2.580483E-01
3.340E-08	3.262812E-01
4.310E-08	3.813778E-01
5.570E-08	4.066523E-01
7.190E-08	3.887182E-01
9.280E-08	3.298422E-01
1.200E-07	2.507201E-01
1.550E-07	1.831569E-01
2.000E-07	1.456958E-01
2.580E-07	1.328113E-01
3.340E-07	1.299260E-01
4.310E-07	1.291416E-01
5.570E-07	1.285557E-01
7.190E-07	1.279895E-01
9.280E-07	1.274334E-01
1.200E-06	1.268828E-01
1.550E-06	1.263443E-01
2.000E-06	1.258175E-01
2.580E-06	1.253006E-01
3.340E-06	1.247862E-01
4.310E-06	1.242875E-01
5.570E-06	1.237953E-01
7.190E-06	1.233146E-01
9.280E-06	1.228434E-01
1.200E-05	1.223779E-01
1.550E-05	1.219235E-01
2.000E-05	1.214800E-01
2.580E-05	1.210457E-01
3.340E-05	1.206143E-01
4.310E-05	1.201969E-01
5.570E-05	1.197856E-01
7.190E-05	1.193844E-01
9.280E-05	1.189913E-01
1.200E-04	1.186030E-01
1.550E-04	1.182237E-01
2.000E-04	1.178525E-01
2.580E-04	1.174877E-01
3.340E-04	1.171229E-01
4.310E-04	1.167666E-01
5.570E-04	1.164106E-01
7.190E-04	1.160569E-01
9.280E-04	1.157016E-01
1.200E-03	1.154472E-01
1.550E-03	1.151488E-01
2.000E-03	1.148845E-01
2.580E-03	1.146769E-01
3.340E-03	1.145659E-01
4.310E-03	1.146248E-01
5.570E-03	1.149701E-01
7.190E-03	1.157885E-01
9.280E-03	1.173818E-01
1.200E-02	1.202478E-01
1.550E-02	1.250811E-01
2.000E-02	1.329022E-01
2.580E-02	1.451454E-01
3.340E-02	1.639490E-01
4.310E-02	1.908918E-01
5.570E-02	2.281164E-01
7.190E-02	2.755398E-01
9.280E-02	3.304384E-01
1.200E-01	3.854031E-01
1.550E-01	4.261218E-01
2.000E-01	4.360568E-01
2.580E-01	4.029137E-01
3.340E-01	3.265646E-01
4.310E-01	2.283854E-01
5.570E-01	1.358547E-01
7.190E-01	7.027744E-02
9.280E-01	3.311228E-02
1.200E+00	1.477932E-02
1.550E+00	6.339635E-03
2.000E+00	2.688597E-03
2.580E+00	1.444638E-03
3.340E+00	1.435524E-03
4.310E+00	2.117119E-03
5.570E+00	3.377901E-03
7.190E+00	5.366825E-03
9.280E+00	8.413201E-03
1.200E+01	1.299954E-02
1.550E+01	1.959591E-02
2.000E+01	2.864368E-02
2.580E+01	4.032172E-02
3.340E+01	5.431251E-02
4.310E+01	6.851412E-02
5.570E+01	7.994122E-02
7.190E+01	8.426275E-02
9.280E+01	7.814176E-02
1.200E+02	6.145100E-02
1.550E+02	3.930820E-02
2.000E+02	1.941639E-02
2.580E+02	6.915054E-03
3.340E+02	1.589246E-03
4.310E+02	2.185863E-04
5.570E+02	1.507390E-05
7.190E+02	4.449544E-07
9.280E+02	4.419430E-09
1.200E+03	1.044055E-11
1.550E+03	4.245161E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

