 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.24 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0091

 DETECTORS		DIRECTIONS
 D1        4871		R         3187
 D2        5157		RL        3371
 D3        5432		FL        1941
 D4        4550		F         5119
 D5        3666		FR        4677
 D6        2601		RR        7647

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.197	uSv h^-1	(6.8%)
 H*(10)_i	:	1.824	uSv     	(6.8%)
 h*(10)		:	27.3	pSv cm^2	(6.4%)
 phi		:	12.168	cm^-2 s^-1 	(2.5%)
 thermal   	:	0.5405
 epithermal	:	0.4029
 fast      	:	0.0565
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.55%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.078464E-02
2.580E-09	5.006766E-02
3.340E-09	8.142632E-02
4.310E-09	1.304895E-01
5.570E-09	2.073493E-01
7.190E-09	3.240719E-01
9.280E-09	4.970534E-01
1.200E-08	7.464120E-01
1.550E-08	1.084424E+00
2.000E-08	1.511297E+00
2.580E-08	2.078841E+00
3.340E-08	2.606753E+00
4.310E-08	3.007535E+00
5.570E-08	3.139027E+00
7.190E-08	2.895705E+00
9.280E-08	2.314163E+00
1.200E-07	1.591675E+00
1.550E-07	1.003140E+00
2.000E-07	6.850767E-01
2.580E-07	5.748767E-01
3.340E-07	5.478395E-01
4.310E-07	5.383541E-01
5.570E-07	5.305800E-01
7.190E-07	5.230597E-01
9.280E-07	5.156984E-01
1.200E-06	5.084354E-01
1.550E-06	5.013525E-01
2.000E-06	4.944422E-01
2.580E-06	4.876787E-01
3.340E-06	4.809609E-01
4.310E-06	4.744614E-01
5.570E-06	4.680558E-01
7.190E-06	4.618076E-01
9.280E-06	4.556874E-01
1.200E-05	4.496455E-01
1.550E-05	4.437497E-01
2.000E-05	4.379940E-01
2.580E-05	4.323569E-01
3.340E-05	4.267536E-01
4.310E-05	4.213282E-01
5.570E-05	4.159764E-01
7.190E-05	4.107508E-01
9.280E-05	4.056263E-01
1.200E-04	4.005605E-01
1.550E-04	3.956092E-01
2.000E-04	3.907661E-01
2.580E-04	3.860115E-01
3.340E-04	3.812714E-01
4.310E-04	3.766647E-01
5.570E-04	3.720995E-01
7.190E-04	3.676158E-01
9.280E-04	3.631862E-01
1.200E-03	3.588198E-01
1.550E-03	3.544829E-01
2.000E-03	3.501992E-01
2.580E-03	3.459501E-01
3.340E-03	3.416718E-01
4.310E-03	3.374834E-01
5.570E-03	3.333282E-01
7.190E-03	3.292933E-01
9.280E-03	3.254405E-01
1.200E-02	3.218714E-01
1.550E-02	3.188219E-01
2.000E-02	3.165408E-01
2.580E-02	3.153039E-01
3.340E-02	3.153492E-01
4.310E-02	3.166546E-01
5.570E-02	3.186277E-01
7.190E-02	3.196967E-01
9.280E-02	3.171815E-01
1.200E-01	3.075598E-01
1.550E-01	2.880512E-01
2.000E-01	2.583947E-01
2.580E-01	2.214808E-01
3.340E-01	1.813974E-01
4.310E-01	1.428853E-01
5.570E-01	1.069065E-01
7.190E-01	7.483979E-02
9.280E-01	4.787727E-02
1.200E+00	2.717841E-02
1.550E+00	1.352267E-02
2.000E+00	6.110252E-03
2.580E+00	3.176793E-03
3.340E+00	2.856341E-03
4.310E+00	3.880310E-03
5.570E+00	5.769310E-03
7.190E+00	8.583817E-03
9.280E+00	1.272216E-02
1.200E+01	1.888021E-02
1.550E+01	2.787761E-02
2.000E+01	4.063815E-02
2.580E+01	5.781293E-02
3.340E+01	7.942783E-02
4.310E+01	1.028745E-01
5.570E+01	1.241054E-01
7.190E+01	1.362804E-01
9.280E+01	1.328120E-01
1.200E+02	1.108584E-01
1.550E+02	7.599414E-02
2.000E+02	4.059668E-02
2.580E+02	1.576897E-02
3.340E+02	3.988894E-03
4.310E+02	6.082970E-04
5.570E+02	4.710287E-05
7.190E+02	1.590287E-06
9.280E+02	1.858770E-08
1.200E+03	5.384995E-11
1.550E+03	2.830839E-14
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

