 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4984.84 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0117

 DETECTORS		DIRECTIONS
 D1         295		R          175
 D2         262		RL         249
 D3         216		FL         115
 D4         157		F          186
 D5         136		FR         146
 D6          90		RR         275

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;815-2;1-0.76
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.077	uSv h^-1	(11.1%)
 H*(10)_i	:	0.106	uSv     	(11.1%)
 h*(10)		:	30.4	pSv cm^2	(7.8%)
 phi		:	0.700	cm^-2 s^-1 	(7.9%)
 thermal   	:	0.8071
 epithermal	:	0.1337
 fast      	:	0.0592
-------------------------------------------------------------
 Average experimental data uncertainty	:	7.65%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.932234E-03
2.580E-09	4.768941E-03
3.340E-09	7.755850E-03
4.310E-09	1.242912E-02
5.570E-09	1.975000E-02
7.190E-09	3.086782E-02
9.280E-09	4.734430E-02
1.200E-08	7.109569E-02
1.550E-08	1.032913E-01
2.000E-08	1.439509E-01
2.580E-08	1.956319E-01
3.340E-08	2.440879E-01
4.310E-08	2.794096E-01
5.570E-08	2.877689E-01
7.190E-08	2.593034E-01
9.280E-08	1.983993E-01
1.200E-07	1.253021E-01
1.550E-07	6.699543E-02
2.000E-07	3.567382E-02
2.580E-07	2.447301E-02
3.340E-07	2.129097E-02
4.310E-07	1.987541E-02
5.570E-07	1.869881E-02
7.190E-07	1.761955E-02
9.280E-07	1.661980E-02
1.200E-06	1.568592E-02
1.550E-06	1.482313E-02
2.000E-06	1.402497E-02
2.580E-06	1.328363E-02
3.340E-06	1.258463E-02
4.310E-06	1.194223E-02
5.570E-06	1.134035E-02
7.190E-06	1.078186E-02
9.280E-06	1.026109E-02
1.200E-05	9.771452E-03
1.550E-05	9.316149E-03
2.000E-05	8.892257E-03
2.580E-05	8.496051E-03
3.340E-05	8.120115E-03
4.310E-05	7.772467E-03
5.570E-05	7.444732E-03
7.190E-05	7.138768E-03
9.280E-05	6.851734E-03
1.200E-04	6.580223E-03
1.550E-04	6.326224E-03
2.000E-04	6.088317E-03
2.580E-04	5.864596E-03
3.340E-04	5.651000E-03
4.310E-04	5.452213E-03
5.570E-04	5.263572E-03
7.190E-04	5.086231E-03
9.280E-04	4.918617E-03
1.200E-03	4.759621E-03
1.550E-03	4.609267E-03
2.000E-03	4.467359E-03
2.580E-03	4.332933E-03
3.340E-03	4.203796E-03
4.310E-03	4.083222E-03
5.570E-03	3.969140E-03
7.190E-03	3.863490E-03
9.280E-03	3.767341E-03
1.200E-02	3.682830E-03
1.550E-02	3.615525E-03
2.000E-02	3.571981E-03
2.580E-02	3.561347E-03
3.340E-02	3.596507E-03
4.310E-02	3.690309E-03
5.570E-02	3.855715E-03
7.190E-02	4.094952E-03
9.280E-02	4.396222E-03
1.200E-01	4.726871E-03
1.550E-01	5.022670E-03
2.000E-01	5.209535E-03
2.580E-01	5.216282E-03
3.340E-01	4.982539E-03
4.310E-01	4.487673E-03
5.570E-01	3.751267E-03
7.190E-01	2.884923E-03
9.280E-01	2.055947E-03
1.200E+00	1.418559E-03
1.550E+00	1.046830E-03
2.000E+00	8.980378E-04
2.580E+00	8.727874E-04
3.340E+00	8.717517E-04
4.310E+00	8.443301E-04
5.570E+00	8.127064E-04
7.190E+00	8.573997E-04
9.280E+00	1.077151E-03
1.200E+01	1.559367E-03
1.550E+01	2.365096E-03
2.000E+01	3.560111E-03
2.580E+01	5.220264E-03
3.340E+01	7.416695E-03
4.310E+01	1.000838E-02
5.570E+01	1.273277E-02
7.190E+01	1.497570E-02
9.280E+01	1.595856E-02
1.200E+02	1.498584E-02
1.550E+02	1.198942E-02
2.000E+02	7.856605E-03
2.580E+02	4.013369E-03
3.340E+02	1.482785E-03
4.310E+02	3.795672E-04
5.570E+02	6.092807E-05
7.190E+02	5.685544E-06
9.280E+02	2.696847E-07
1.200E+03	5.177594E-09
1.550E+03	3.155852E-11
2.000E+03	4.254735E-14
2.580E+03	7.807329E-18
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

