 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.96 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0170

 DETECTORS		DIRECTIONS
 D1         252		R          134
 D2         265		RL         235
 D3         250		FL         172
 D4         229		F          305
 D5         176		FR         186
 D6         109		RR         229

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.111	uSv h^-1	(12.5%)
 H*(10)_i	:	0.169	uSv     	(12.5%)
 h*(10)		:	49.5	pSv cm^2	(8.3%)
 phi		:	0.621	cm^-2 s^-1 	(9.4%)
 thermal   	:	0.6176
 epithermal	:	0.2651
 fast      	:	0.1173
-------------------------------------------------------------
 Average experimental data uncertainty	:	7.08%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.866101E-03
2.580E-09	3.034999E-03
3.340E-09	4.935897E-03
4.310E-09	7.910006E-03
5.570E-09	1.256909E-02
7.190E-09	1.964457E-02
9.280E-09	3.013036E-02
1.200E-08	4.524597E-02
1.550E-08	6.573558E-02
2.000E-08	9.161172E-02
2.580E-08	1.255524E-01
3.340E-08	1.571585E-01
4.310E-08	1.808142E-01
5.570E-08	1.878188E-01
7.190E-08	1.717960E-01
9.280E-08	1.351557E-01
1.200E-07	9.020272E-02
1.550E-07	5.382290E-02
2.000E-07	3.412556E-02
2.580E-07	2.710500E-02
3.340E-07	2.514610E-02
4.310E-07	2.427647E-02
5.570E-07	2.352906E-02
7.190E-07	2.281740E-02
9.280E-07	2.213351E-02
1.200E-06	2.147109E-02
1.550E-06	2.083683E-02
2.000E-06	2.022916E-02
2.580E-06	1.964500E-02
3.340E-06	1.907511E-02
4.310E-06	1.853350E-02
5.570E-06	1.800906E-02
7.190E-06	1.750641E-02
9.280E-06	1.702255E-02
1.200E-05	1.655309E-02
1.550E-05	1.610281E-02
2.000E-05	1.567066E-02
2.580E-05	1.525451E-02
3.340E-05	1.484780E-02
4.310E-05	1.446056E-02
5.570E-05	1.408491E-02
7.190E-05	1.372416E-02
9.280E-05	1.337620E-02
1.200E-04	1.303788E-02
1.550E-04	1.271266E-02
2.000E-04	1.239979E-02
2.580E-04	1.209770E-02
3.340E-04	1.180162E-02
4.310E-04	1.151878E-02
5.570E-04	1.124338E-02
7.190E-04	1.097776E-02
9.280E-04	1.072023E-02
1.200E-03	1.046935E-02
1.550E-03	1.022603E-02
2.000E-03	9.990267E-03
2.580E-03	9.760818E-03
3.340E-03	9.534004E-03
4.310E-03	9.315560E-03
5.570E-03	9.101504E-03
7.190E-03	8.894712E-03
9.280E-03	8.695860E-03
1.200E-02	8.506526E-03
1.550E-02	8.334256E-03
2.000E-02	8.187267E-03
2.580E-02	8.077632E-03
3.340E-02	8.022817E-03
4.310E-02	8.047956E-03
5.570E-02	8.180234E-03
7.190E-02	8.445047E-03
9.280E-02	8.860091E-03
1.200E-01	9.428219E-03
1.550E-01	1.010825E-02
2.000E-01	1.082081E-02
2.580E-01	1.143438E-02
3.340E-01	1.175545E-02
4.310E-01	1.153666E-02
5.570E-01	1.058631E-02
7.190E-01	8.900343E-03
9.280E-01	6.733257E-03
1.200E+00	4.538599E-03
1.550E+00	2.803913E-03
2.000E+00	1.714497E-03
2.580E+00	1.150758E-03
3.340E+00	8.938688E-04
4.310E+00	8.196331E-04
5.570E+00	9.193425E-04
7.190E+00	1.253854E-03
9.280E+00	1.896524E-03
1.200E+01	2.942605E-03
1.550E+01	4.502229E-03
2.000E+01	6.713856E-03
2.580E+01	9.695285E-03
3.340E+01	1.349612E-02
4.310E+01	1.774007E-02
5.570E+01	2.180509E-02
7.190E+01	2.452185E-02
9.280E+01	2.463965E-02
1.200E+02	2.139901E-02
1.550E+02	1.544008E-02
2.000E+02	8.818941E-03
2.580E+02	3.746416E-03
3.340E+02	1.075369E-03
4.310E+02	1.970444E-04
5.570E+02	2.041004E-05
7.190E+02	1.116097E-06
9.280E+02	2.884210E-08
1.200E+03	2.778967E-10
1.550E+03	7.327300E-13
2.000E+03	3.327743E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

