 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 59.14 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0172

 DETECTORS		DIRECTIONS
 D1           0		R            0
 D2           0		RL           0
 D3           0		FL           1
 D4           0		F            0
 D5           1		FR           0
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.089	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	116.7	pSv cm^2	>(100.1%)
 phi		:	0.211	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.3611
 epithermal	:	0.3428
 fast      	:	0.2961
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.661665E-04
2.580E-09	5.955276E-04
3.340E-09	9.685219E-04
4.310E-09	1.552102E-03
5.570E-09	2.466307E-03
7.190E-09	3.854659E-03
9.280E-09	5.912180E-03
1.200E-08	8.878166E-03
1.550E-08	1.289864E-02
2.000E-08	1.797606E-02
2.580E-08	2.452378E-02
3.340E-08	3.070371E-02
4.310E-08	3.533904E-02
5.570E-08	3.674183E-02
7.190E-08	3.368300E-02
9.280E-08	2.664417E-02
1.200E-07	1.801764E-02
1.550E-07	1.107180E-02
2.000E-07	7.380956E-03
2.580E-07	6.166952E-03
3.340E-07	5.941673E-03
4.310E-07	5.921984E-03
5.570E-07	5.921252E-03
7.190E-07	5.921238E-03
9.280E-07	5.921230E-03
1.200E-06	5.921219E-03
1.550E-06	5.921205E-03
2.000E-06	5.921188E-03
2.580E-06	5.921165E-03
3.340E-06	5.921136E-03
4.310E-06	5.921098E-03
5.570E-06	5.921049E-03
7.190E-06	5.920986E-03
9.280E-06	5.920905E-03
1.200E-05	5.920799E-03
1.550E-05	5.920663E-03
2.000E-05	5.920488E-03
2.580E-05	5.920263E-03
3.340E-05	5.919968E-03
4.310E-05	5.919591E-03
5.570E-05	5.919101E-03
7.190E-05	5.918472E-03
9.280E-05	5.917660E-03
1.200E-04	5.916604E-03
1.550E-04	5.915245E-03
2.000E-04	5.913498E-03
2.580E-04	5.911247E-03
3.340E-04	5.908300E-03
4.310E-04	5.904539E-03
5.570E-04	5.899658E-03
7.190E-04	5.893389E-03
9.280E-04	5.885310E-03
1.200E-03	5.900389E-03
1.550E-03	5.895215E-03
2.000E-03	5.888878E-03
2.580E-03	5.881140E-03
3.340E-03	5.871603E-03
4.310E-03	5.860256E-03
5.570E-03	5.846670E-03
7.190E-03	5.830819E-03
9.280E-03	5.812658E-03
1.200E-02	5.792336E-03
1.550E-02	5.770958E-03
2.000E-02	5.750348E-03
2.580E-02	5.733780E-03
3.340E-02	5.727025E-03
4.310E-02	5.739986E-03
5.570E-02	5.788245E-03
7.190E-02	5.895046E-03
9.280E-02	6.095166E-03
1.200E-01	6.440604E-03
1.550E-01	6.993243E-03
2.000E-01	7.829178E-03
2.580E-01	9.032280E-03
3.340E-01	1.070002E-02
4.310E-01	1.281930E-02
5.570E-01	1.537540E-02
7.190E-01	1.818036E-02
9.280E-01	2.094421E-02
1.200E+00	2.324222E-02
1.550E+00	2.449094E-02
2.000E+00	2.414766E-02
2.580E+00	2.186399E-02
3.340E+00	1.766883E-02
4.310E+00	1.240583E-02
5.570E+00	7.221447E-03
7.190E+00	3.320864E-03
9.280E+00	1.124884E-03
1.200E+01	2.537121E-04
1.550E+01	3.451075E-05
2.000E+01	2.461891E-06
2.580E+01	7.629163E-08
3.340E+01	7.531221E-10
4.310E+01	1.964075E-12
5.570E+01	8.291307E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

