 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 99.73 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0175

 DETECTORS		DIRECTIONS
 D1           1		R            0
 D2           1		RL           2
 D3           1		FL           0
 D4           0		F            0
 D5           0		FR           1
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.051	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	107.3	pSv cm^2	>(100.1%)
 phi		:	0.131	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.2792
 epithermal	:	0.4426
 fast      	:	0.2783
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.509250E-04
2.580E-09	2.454620E-04
3.340E-09	3.992012E-04
4.310E-09	6.397387E-04
5.570E-09	1.016552E-03
7.190E-09	1.588797E-03
9.280E-09	2.436857E-03
1.200E-08	3.659364E-03
1.550E-08	5.316506E-03
2.000E-08	7.409294E-03
2.580E-08	1.041762E-02
3.340E-08	1.314917E-02
4.310E-08	1.532820E-02
5.570E-08	1.627396E-02
7.190E-08	1.545028E-02
9.280E-08	1.296972E-02
1.200E-07	9.699744E-03
1.550E-07	6.941504E-03
2.000E-07	5.428685E-03
2.580E-07	4.919161E-03
3.340E-07	4.816642E-03
4.310E-07	4.799370E-03
5.570E-07	4.790244E-03
7.190E-07	4.781833E-03
9.280E-07	4.773799E-03
1.200E-06	4.766073E-03
1.550E-06	4.758741E-03
2.000E-06	4.751789E-03
2.580E-06	4.745188E-03
3.340E-06	4.738839E-03
4.310E-06	4.732903E-03
5.570E-06	4.727262E-03
7.190E-06	4.721966E-03
9.280E-06	4.716988E-03
1.200E-05	4.712283E-03
1.550E-05	4.707900E-03
2.000E-05	4.703827E-03
2.580E-05	4.700039E-03
3.340E-05	4.696477E-03
4.310E-05	4.693222E-03
5.570E-05	4.690198E-03
7.190E-05	4.687421E-03
9.280E-05	4.684858E-03
1.200E-04	4.682466E-03
1.550E-04	4.680244E-03
2.000E-04	4.678153E-03
2.580E-04	4.676136E-03
3.340E-04	4.674105E-03
4.310E-04	4.672035E-03
5.570E-04	4.669791E-03
7.190E-04	4.667268E-03
9.280E-04	4.664300E-03
1.200E-03	4.674274E-03
1.550E-03	4.674155E-03
2.000E-03	4.674216E-03
2.580E-03	4.674491E-03
3.340E-03	4.675052E-03
4.310E-03	4.675996E-03
5.570E-03	4.677517E-03
7.190E-03	4.679890E-03
9.280E-03	4.683560E-03
1.200E-02	4.689256E-03
1.550E-02	4.697954E-03
2.000E-02	4.711148E-03
2.580E-02	4.731100E-03
3.340E-02	4.761629E-03
4.310E-02	4.806840E-03
5.570E-02	4.874479E-03
7.190E-02	4.973826E-03
9.280E-02	5.118762E-03
1.200E-01	5.329530E-03
1.550E-01	5.627828E-03
2.000E-01	6.040991E-03
2.580E-01	6.599791E-03
3.340E-01	7.342840E-03
4.310E-01	8.264358E-03
5.570E-01	9.363783E-03
7.190E-01	1.056687E-02
9.280E-01	1.174817E-02
1.200E+00	1.270630E-02
1.550E+00	1.315034E-02
2.000E+00	1.279696E-02
2.580E+00	1.146275E-02
3.340E+00	9.168777E-03
4.310E+00	6.371797E-03
5.570E+00	3.671497E-03
7.190E+00	1.674629E-03
9.280E+00	5.659468E-04
1.200E+01	1.291104E-04
1.550E+01	1.827339E-05
2.000E+01	1.432327E-06
2.580E+01	5.381956E-08
3.340E+01	7.601941E-10
4.310E+01	3.515930E-12
5.570E+01	3.385141E-15
7.190E+01	4.389684E-19
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

