[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.77	0.573	100.0%	0.003	100.0%	200.7	26.5%	0.793	100.0%	100.00%	32.2%	13.1%	54.7%	[1-0.43 0]
1	H	(3)	39.43	0.287	100.0%	0.003	100.0%	201.8	37.2%	0.395	100.0%	100.00%	31.5%	13.9%	54.6%	[1-0.43 0]
2	H	(3)	59.12	0.228	100.0%	0.004	100.0%	202.2	44.8%	0.313	100.0%	95.12%	31.6%	13.6%	54.8%	[1-0.43 0]
3	H	(3)	79.96	0.170	100.0%	0.004	100.0%	202.7	53.1%	0.233	100.0%	95.12%	32.1%	12.8%	55.1%	[1-0.43 0]
4	H	(3)	99.65	0.113	100.0%	0.003	100.0%	187.8	56.9%	0.166	100.0%	95.12%	31.6%	17.2%	51.2%	[1-0.43 0]
5	H	(3)	119.36	0.085	100.0%	0.003	100.0%	173.0	68.4%	0.136	100.0%	95.12%	31.1%	21.7%	47.2%	[1-0.43 0]
6	H	(3)	139.07	0.068	100.0%	0.003	100.0%	158.5	79.1%	0.119	100.0%	95.12%	30.8%	25.8%	43.4%	[1-0.43 0]
7	H	(3)	159.95	0.056	100.0%	0.002	100.0%	148.5	83.2%	0.105	100.0%	95.12%	34.1%	25.2%	40.7%	[1-0.43 0]
8	H	(3)	179.66	0.057	100.0%	0.003	100.0%	139.2	81.9%	0.113	100.0%	88.07%	36.3%	25.7%	38.0%	[1-0.43 0]
9	H	(3)	199.34	0.063	100.0%	0.004	100.0%	151.5	76.2%	0.116	100.0%	85.91%	39.1%	18.8%	42.2%	[1-0.43 0]
10	H	(3)	221.42	0.065	100.0%	0.004	100.0%	147.2	71.9%	0.122	100.0%	83.09%	47.4%	11.7%	40.9%	[1-0.43 0]
11	H	(3)	243.45	0.050	100.0%	0.003	100.0%	137.3	62.9%	0.101	100.0%	82.59%	51.8%	10.4%	37.8%	[1-0.43 0]
12	H	(3)	259.68	0.042	100.0%	0.003	100.0%	127.5	55.8%	0.092	100.0%	82.59%	51.9%	13.3%	34.8%	[1-0.43 0]
14	H	(3)	302.56	0.058	100.0%	0.005	100.0%	137.4	48.5%	0.116	100.0%	68.69%	50.7%	10.9%	38.3%	[1-0.43 0]
