 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 7188.58 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0132

 DETECTORS		DIRECTIONS
 D1         132		R          184
 D2         168		RL         144
 D3         181		FL         104
 D4         203		F          138
 D5         144		FR         166
 D6         136		RR         203

------------------ INTERNAL DATA REF ------------------------
1-1
0.82;9504-0;1-0.76
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.124	uSv h^-1	(14.9%)
 H*(10)_i	:	0.248	uSv     	(14.9%)
 h*(10)		:	116.4	pSv cm^2	(9.5%)
 phi		:	0.296	cm^-2 s^-1 	(11.5%)
 thermal   	:	0.3626
 epithermal	:	0.3410
 fast      	:	0.2964
-------------------------------------------------------------
 Average experimental data uncertainty	:	7.96%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.103183E-04
2.580E-09	8.299738E-04
3.340E-09	1.349808E-03
4.310E-09	2.163130E-03
5.570E-09	3.437238E-03
7.190E-09	5.372154E-03
9.280E-09	8.239676E-03
1.200E-08	1.237330E-02
1.550E-08	1.797655E-02
2.000E-08	2.505284E-02
2.580E-08	3.425941E-02
3.340E-08	4.291547E-02
4.310E-08	4.943552E-02
5.570E-08	5.146798E-02
7.190E-08	4.729051E-02
9.280E-08	3.755416E-02
1.200E-07	2.556952E-02
1.550E-07	1.588715E-02
2.000E-07	1.072193E-02
2.580E-07	9.005686E-03
3.340E-07	8.667422E-03
4.310E-07	8.616474E-03
5.570E-07	8.592291E-03
7.190E-07	8.569685E-03
9.280E-07	8.547563E-03
1.200E-06	8.525738E-03
1.550E-06	8.504457E-03
2.000E-06	8.483701E-03
2.580E-06	8.463393E-03
3.340E-06	8.443232E-03
4.310E-06	8.423736E-03
5.570E-06	8.404532E-03
7.190E-06	8.385810E-03
9.280E-06	8.367479E-03
1.200E-05	8.349386E-03
1.550E-05	8.331729E-03
2.000E-05	8.314482E-03
2.580E-05	8.297568E-03
3.340E-05	8.280717E-03
4.310E-05	8.264341E-03
5.570E-05	8.248098E-03
7.190E-05	8.232111E-03
9.280E-05	8.216256E-03
1.200E-04	8.200338E-03
1.550E-04	8.184450E-03
2.000E-04	8.168469E-03
2.580E-04	8.152201E-03
3.340E-04	8.135203E-03
4.310E-04	8.117673E-03
5.570E-04	8.098978E-03
7.190E-04	8.078907E-03
9.280E-04	8.056872E-03
1.200E-03	8.068512E-03
1.550E-03	8.052120E-03
2.000E-03	8.035058E-03
2.580E-03	8.017137E-03
3.340E-03	7.997950E-03
4.310E-03	7.977931E-03
5.570E-03	7.956770E-03
7.190E-03	7.934934E-03
9.280E-03	7.912941E-03
1.200E-02	7.891812E-03
1.550E-02	7.873943E-03
2.000E-02	7.862916E-03
2.580E-02	7.864578E-03
3.340E-02	7.888929E-03
4.310E-02	7.950411E-03
5.570E-02	8.072849E-03
7.190E-02	8.289114E-03
9.280E-02	8.648076E-03
1.200E-01	9.221811E-03
1.550E-01	1.009237E-02
2.000E-01	1.136006E-02
2.580E-01	1.313377E-02
3.340E-01	1.554007E-02
4.310E-01	1.854724E-02
5.570E-01	2.212534E-02
7.190E-01	2.600225E-02
9.280E-01	2.976357E-02
1.200E+00	3.280435E-02
1.550E+00	3.430622E-02
2.000E+00	3.352677E-02
2.580E+00	3.002950E-02
3.340E+00	2.393911E-02
4.310E+00	1.652964E-02
5.570E+00	9.425040E-03
7.190E+00	4.227876E-03
9.280E+00	1.390961E-03
1.200E+01	3.034921E-04
1.550E+01	3.986408E-05
2.000E+01	2.752115E-06
2.580E+01	8.332194E-08
3.340E+01	8.217604E-10
4.310E+01	2.234517E-12
5.570E+01	1.055883E-15
7.190E+01	4.901703E-20
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

