 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3984.43 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0138

 DETECTORS		DIRECTIONS
 D1         140		R          119
 D2         158		RL         102
 D3         166		FL          82
 D4         164		F          148
 D5         117		FR         163
 D6          67		RR         188

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;9534-0;1-0.93
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.104	uSv h^-1	(16.2%)
 H*(10)_i	:	0.115	uSv     	(16.2%)
 h*(10)		:	57.5	pSv cm^2	(7.4%)
 phi		:	0.501	cm^-2 s^-1 	(14.4%)
 thermal   	:	0.5002
 epithermal	:	0.3512
 fast      	:	0.1486
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.91%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.206030E-03
2.580E-09	1.961469E-03
3.340E-09	3.189987E-03
4.310E-09	5.112104E-03
5.570E-09	8.123190E-03
7.190E-09	1.269596E-02
9.280E-09	1.947274E-02
1.200E-08	2.924170E-02
1.550E-08	4.248380E-02
2.000E-08	5.920711E-02
2.580E-08	8.094681E-02
3.340E-08	1.013480E-01
4.310E-08	1.166494E-01
5.570E-08	1.212665E-01
7.190E-08	1.111174E-01
9.280E-08	8.776702E-02
1.200E-07	5.911210E-02
1.550E-07	3.597432E-02
2.000E-07	2.357022E-02
2.580E-07	1.933353E-02
3.340E-07	1.835601E-02
4.310E-07	1.806407E-02
5.570E-07	1.783863E-02
7.190E-07	1.762180E-02
9.280E-07	1.741020E-02
1.200E-06	1.720207E-02
1.550E-06	1.699975E-02
2.000E-06	1.680300E-02
2.580E-06	1.661106E-02
3.340E-06	1.642105E-02
4.310E-06	1.623785E-02
5.570E-06	1.605793E-02
7.190E-06	1.588306E-02
9.280E-06	1.571239E-02
1.200E-05	1.554453E-02
1.550E-05	1.538135E-02
2.000E-05	1.522265E-02
2.580E-05	1.506783E-02
3.340E-05	1.491456E-02
4.310E-05	1.476675E-02
5.570E-05	1.462154E-02
7.190E-05	1.448035E-02
9.280E-05	1.434246E-02
1.200E-04	1.420672E-02
1.550E-04	1.407460E-02
2.000E-04	1.394589E-02
2.580E-04	1.382004E-02
3.340E-04	1.369505E-02
4.310E-04	1.357402E-02
5.570E-04	1.345445E-02
7.190E-04	1.333733E-02
9.280E-04	1.322185E-02
1.200E-03	1.310841E-02
1.550E-03	1.299561E-02
2.000E-03	1.288411E-02
2.580E-03	1.277329E-02
3.340E-03	1.266135E-02
4.310E-03	1.255131E-02
5.570E-03	1.244171E-02
7.190E-03	1.233511E-02
9.280E-03	1.223393E-02
1.200E-02	1.214272E-02
1.550E-02	1.207147E-02
2.000E-02	1.203396E-02
2.580E-02	1.205075E-02
3.340E-02	1.215315E-02
4.310E-02	1.237653E-02
5.570E-02	1.276593E-02
7.190E-02	1.335262E-02
9.280E-02	1.414573E-02
1.200E-01	1.510792E-02
1.550E-01	1.610334E-02
2.000E-01	1.692633E-02
2.580E-01	1.732910E-02
3.340E-01	1.707124E-02
4.310E-01	1.600500E-02
5.570E-01	1.407552E-02
7.190E-01	1.138758E-02
9.280E-01	8.219275E-03
1.200E+00	5.076310E-03
1.550E+00	2.604542E-03
2.000E+00	1.111753E-03
2.580E+00	4.620889E-04
3.340E+00	3.177815E-04
4.310E+00	4.191246E-04
5.570E+00	6.636736E-04
7.190E+00	1.059793E-03
9.280E+00	1.673357E-03
1.200E+01	2.609713E-03
1.550E+01	3.980797E-03
2.000E+01	5.906771E-03
2.580E+01	8.474428E-03
3.340E+01	1.169587E-02
4.310E+01	1.520521E-02
5.570E+01	1.842168E-02
7.190E+01	2.033274E-02
9.280E+01	1.993794E-02
1.200E+02	1.676808E-02
1.550E+02	1.160202E-02
2.000E+02	6.273320E-03
2.580E+02	2.478982E-03
3.340E+02	6.445488E-04
4.310E+02	1.029596E-04
5.570E+02	8.659088E-06
7.190E+02	3.374653E-07
9.280E+02	4.991714E-09
1.200E+03	2.062177E-11
1.550E+03	1.746292E-14
2.000E+03	1.698255E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

