 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.22 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0151

 DETECTORS		DIRECTIONS
 D1         118		R          137
 D2         154		RL         223
 D3         204		FL         112
 D4         158		F          121
 D5         146		FR          93
 D6         100		RR         188

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.071	uSv h^-1	(11.6%)
 H*(10)_i	:	0.108	uSv     	(11.6%)
 h*(10)		:	56.6	pSv cm^2	(7.8%)
 phi		:	0.347	cm^-2 s^-1 	(8.7%)
 thermal   	:	0.2877
 epithermal	:	0.5485
 fast      	:	0.1638
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.42%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.003775E-04
2.580E-09	4.885294E-04
3.340E-09	7.945079E-04
4.310E-09	1.273236E-03
5.570E-09	2.023187E-03
7.190E-09	3.162094E-03
9.280E-09	4.849941E-03
1.200E-08	7.283029E-03
1.550E-08	1.058115E-02
2.000E-08	1.474631E-02
2.580E-08	2.255317E-02
3.340E-08	2.901699E-02
4.310E-08	3.481600E-02
5.570E-08	3.864925E-02
7.190E-08	3.925740E-02
9.280E-08	3.638437E-02
1.200E-07	3.114349E-02
1.550E-07	2.593766E-02
2.000E-07	2.271015E-02
2.580E-07	2.139349E-02
3.340E-07	2.088440E-02
4.310E-07	2.055431E-02
5.570E-07	2.024417E-02
7.190E-07	1.994210E-02
9.280E-07	1.964613E-02
1.200E-06	1.935388E-02
1.550E-06	1.906866E-02
2.000E-06	1.879021E-02
2.580E-06	1.851751E-02
3.340E-06	1.824649E-02
4.310E-06	1.798416E-02
5.570E-06	1.772552E-02
7.190E-06	1.747314E-02
9.280E-06	1.722587E-02
1.200E-05	1.698171E-02
1.550E-05	1.674342E-02
2.000E-05	1.651079E-02
2.580E-05	1.628294E-02
3.340E-05	1.605650E-02
4.310E-05	1.583727E-02
5.570E-05	1.562108E-02
7.190E-05	1.541006E-02
9.280E-05	1.520321E-02
1.200E-04	1.499883E-02
1.550E-04	1.479921E-02
2.000E-04	1.460408E-02
2.580E-04	1.441269E-02
3.340E-04	1.422206E-02
4.310E-04	1.403701E-02
5.570E-04	1.385386E-02
7.190E-04	1.367424E-02
9.280E-04	1.349709E-02
1.200E-03	1.332580E-02
1.550E-03	1.315506E-02
2.000E-03	1.298817E-02
2.580E-03	1.282529E-02
3.340E-03	1.266553E-02
4.310E-03	1.251574E-02
5.570E-03	1.237777E-02
7.190E-03	1.226090E-02
9.280E-03	1.217722E-02
1.200E-02	1.214666E-02
1.550E-02	1.220040E-02
2.000E-02	1.238123E-02
2.580E-02	1.274782E-02
3.340E-02	1.338409E-02
4.310E-02	1.435249E-02
5.570E-02	1.572735E-02
7.190E-02	1.749392E-02
9.280E-02	1.953827E-02
1.200E-01	2.159004E-02
1.550E-01	2.316063E-02
2.000E-01	2.370529E-02
2.580E-01	2.277630E-02
3.340E-01	2.018770E-02
4.310E-01	1.633869E-02
5.570E-01	1.192787E-02
7.190E-01	7.844706E-03
9.280E-01	4.627741E-03
1.200E+00	2.413164E-03
1.550E+00	1.108807E-03
2.000E+00	4.634761E-04
2.580E+00	2.198217E-04
3.340E+00	1.895596E-04
4.310E+00	2.692630E-04
5.570E+00	4.263841E-04
7.190E+00	6.730849E-04
9.280E+00	1.046594E-03
1.200E+01	1.600399E-03
1.550E+01	2.381177E-03
2.000E+01	3.424373E-03
2.580E+01	4.724196E-03
3.340E+01	6.205566E-03
4.310E+01	7.596794E-03
5.570E+01	8.551966E-03
7.190E+01	8.649281E-03
9.280E+01	7.656751E-03
1.200E+02	5.723782E-03
1.550E+02	3.476807E-03
2.000E+02	1.636459E-03
2.580E+02	5.613371E-04
3.340E+02	1.270376E-04
4.310E+02	1.786616E-05
5.570E+02	1.326443E-06
7.190E+02	4.457349E-08
9.280E+02	5.280990E-10
1.200E+03	1.527030E-12
1.550E+03	7.560766E-16
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

