 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.18 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0153

 DETECTORS		DIRECTIONS
 D1        1551		R          877
 D2        1737		RL        1153
 D3        1755		FL         872
 D4        1483		F         1930
 D5        1153		FR        1577
 D6         781		RR        1912

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.266	uSv h^-1	(7.3%)
 H*(10)_i	:	0.406	uSv     	(7.3%)
 h*(10)		:	22.8	pSv cm^2	(6.3%)
 phi		:	3.247	cm^-2 s^-1 	(3.6%)
 thermal   	:	0.4172
 epithermal	:	0.5442
 fast      	:	0.0386
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.74%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.681943E-03
2.580E-09	4.361870E-03
3.340E-09	7.093821E-03
4.310E-09	1.136818E-02
5.570E-09	1.806417E-02
7.190E-09	2.823299E-02
9.280E-09	4.330305E-02
1.200E-08	6.502705E-02
1.550E-08	9.447452E-02
2.000E-08	1.316635E-01
2.580E-08	2.424668E-01
3.340E-08	3.210592E-01
4.310E-08	4.012539E-01
5.570E-08	4.715021E-01
7.190E-08	5.157962E-01
9.280E-08	5.222738E-01
1.200E-07	4.902992E-01
1.550E-07	4.400277E-01
2.000E-07	3.989318E-01
2.580E-07	3.739812E-01
3.340E-07	3.566326E-01
4.310E-07	3.416459E-01
5.570E-07	3.273453E-01
7.190E-07	3.137190E-01
9.280E-07	3.006760E-01
1.200E-06	2.880949E-01
1.550E-06	2.761002E-01
2.000E-06	2.646592E-01
2.580E-06	2.537110E-01
3.340E-06	2.430809E-01
4.310E-06	2.330279E-01
5.570E-06	2.233427E-01
7.190E-06	2.141079E-01
9.280E-06	2.052658E-01
1.200E-05	1.967342E-01
1.550E-05	1.885976E-01
2.000E-05	1.808342E-01
2.580E-05	1.734026E-01
3.340E-05	1.661845E-01
4.310E-05	1.593556E-01
5.570E-05	1.527741E-01
7.190E-05	1.464960E-01
9.280E-05	1.404821E-01
1.200E-04	1.346764E-01
1.550E-04	1.291363E-01
2.000E-04	1.238469E-01
2.580E-04	1.187797E-01
3.340E-04	1.138535E-01
4.310E-04	1.091880E-01
5.570E-04	1.046856E-01
7.190E-04	1.003838E-01
9.280E-04	9.625492E-02
1.200E-03	9.226925E-02
1.550E-03	8.845108E-02
2.000E-03	8.479595E-02
2.580E-03	8.128468E-02
3.340E-03	7.786221E-02
4.310E-03	7.461497E-02
5.570E-03	7.148175E-02
7.190E-03	6.850055E-02
9.280E-03	6.567145E-02
1.200E-02	6.299830E-02
1.550E-02	6.055158E-02
2.000E-02	5.838149E-02
2.580E-02	5.654328E-02
3.340E-02	5.507632E-02
4.310E-02	5.403872E-02
5.570E-02	5.332591E-02
7.190E-02	5.269337E-02
9.280E-02	5.167163E-02
1.200E-01	4.962080E-02
1.550E-01	4.600485E-02
2.000E-01	4.069469E-02
2.580E-01	3.411919E-02
3.340E-01	2.698126E-02
4.310E-01	2.022127E-02
5.570E-01	1.419538E-02
7.190E-01	9.259290E-03
9.280E-01	5.533390E-03
1.200E+00	2.968901E-03
1.550E+00	1.422641E-03
2.000E+00	6.361491E-04
2.580E+00	3.482656E-04
3.340E+00	3.509160E-04
4.310E+00	5.231868E-04
5.570E+00	8.421526E-04
7.190E+00	1.351880E-03
9.280E+00	2.147362E-03
1.200E+01	3.375122E-03
1.550E+01	5.200232E-03
2.000E+01	7.816517E-03
2.580E+01	1.140303E-02
3.340E+01	1.608651E-02
4.310E+01	2.150821E-02
5.570E+01	2.702766E-02
7.190E+01	3.126947E-02
9.280E+01	3.258409E-02
1.200E+02	2.965548E-02
1.550E+02	2.269807E-02
2.000E+02	1.394653E-02
2.580E+02	6.468201E-03
3.340E+02	2.053342E-03
4.310E+02	4.147947E-04
5.570E+02	4.561664E-05
7.190E+02	2.363157E-06
9.280E+02	4.636856E-08
1.200E+03	2.513745E-10
1.550E+03	2.795583E-13
2.000E+03	3.488425E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

