 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.92 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0158

 DETECTORS		DIRECTIONS
 D1        1623		R        66583
 D2        1899		RL        1414
 D3        1885		FL         961
 D4        1559		F         1848
 D5        1094		FR        1453
 D6         794		RR        2000

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;80-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.310	uSv h^-1	(7.8%)
 H*(10)_i	:	0.472	uSv     	(7.8%)
 h*(10)		:	22.8	pSv cm^2	(7.0%)
 phi		:	3.768	cm^-2 s^-1 	(3.4%)
 thermal   	:	0.5240
 epithermal	:	0.4386
 fast      	:	0.0374
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.70%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.655298E-03
2.580E-09	9.197689E-03
3.340E-09	1.495844E-02
4.310E-09	2.397160E-02
5.570E-09	3.809114E-02
7.190E-09	5.953369E-02
9.280E-09	9.131129E-02
1.200E-08	1.371198E-01
1.550E-08	1.992144E-01
2.000E-08	2.776331E-01
2.580E-08	4.483383E-01
3.340E-08	5.791814E-01
4.310E-08	6.990270E-01
5.570E-08	7.820069E-01
7.190E-08	8.011606E-01
9.280E-08	7.477304E-01
1.200E-07	6.406289E-01
1.550E-07	5.279345E-01
2.000E-07	4.510757E-01
2.580E-07	4.109319E-01
3.340E-07	3.867665E-01
4.310E-07	3.670814E-01
5.570E-07	3.485718E-01
7.190E-07	3.310977E-01
9.280E-07	3.145216E-01
1.200E-06	2.986761E-01
1.550E-06	2.837049E-01
2.000E-06	2.695526E-01
2.580E-06	2.561304E-01
3.340E-06	2.432148E-01
4.310E-06	2.311097E-01
5.570E-06	2.195513E-01
7.190E-06	2.086288E-01
9.280E-06	1.982633E-01
1.200E-05	1.883507E-01
1.550E-05	1.789812E-01
2.000E-05	1.701205E-01
2.580E-05	1.617134E-01
3.340E-05	1.536201E-01
4.310E-05	1.460311E-01
5.570E-05	1.387816E-01
7.190E-05	1.319274E-01
9.280E-05	1.254194E-01
1.200E-04	1.191921E-01
1.550E-04	1.133025E-01
2.000E-04	1.077288E-01
2.580E-04	1.024363E-01
3.340E-04	9.733693E-02
4.310E-04	9.255039E-02
5.570E-04	8.797237E-02
7.190E-04	8.363775E-02
9.280E-04	7.951486E-02
1.200E-03	7.557370E-02
1.550E-03	7.183271E-02
2.000E-03	6.828641E-02
2.580E-03	6.491445E-02
3.340E-03	6.166394E-02
4.310E-03	5.861747E-02
5.570E-03	5.571934E-02
7.190E-03	5.300944E-02
9.280E-03	5.049595E-02
1.200E-02	4.819754E-02
1.550E-02	4.619871E-02
2.000E-02	4.457517E-02
2.580E-02	4.341969E-02
3.340E-02	4.283360E-02
4.310E-02	4.290986E-02
5.570E-02	4.361876E-02
7.190E-02	4.473457E-02
9.280E-02	4.576457E-02
1.200E-01	4.595391E-02
1.550E-01	4.447829E-02
2.000E-01	4.086987E-02
2.580E-01	3.528798E-02
3.340E-01	2.837753E-02
4.310E-01	2.126038E-02
5.570E-01	1.458931E-02
7.190E-01	9.020039E-03
9.280E-01	4.937781E-03
1.200E+00	2.405136E-03
1.550E+00	1.129515E-03
2.000E+00	6.220477E-04
2.580E+00	5.314558E-04
3.340E+00	6.809620E-04
4.310E+00	9.947420E-04
5.570E+00	1.481388E-03
7.190E+00	2.201688E-03
9.280E+00	3.280636E-03
1.200E+01	4.924563E-03
1.550E+01	7.376975E-03
2.000E+01	1.091039E-02
2.580E+01	1.573809E-02
3.340E+01	2.194709E-02
4.310E+01	2.893046E-02
5.570E+01	3.568489E-02
7.190E+01	4.029653E-02
9.280E+01	4.067987E-02
1.200E+02	3.551025E-02
1.550E+02	2.575238E-02
2.000E+02	1.477332E-02
2.580E+02	6.291059E-03
3.340E+02	1.802322E-03
4.310E+02	3.266155E-04
5.570E+02	3.279295E-05
7.190E+02	1.668637E-06
9.280E+02	3.763462E-08
1.200E+03	2.973838E-10
1.550E+03	6.217773E-13
2.000E+03	2.157997E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

