 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.91 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0159

 DETECTORS		DIRECTIONS
 D1        5402		R         2670
 D2        6215		RL        3321
 D3        6603		FL        2517
 D4        5874		F         9097
 D5        4724		FR        5971
 D6        3221		RR        8050

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.85
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.452	uSv h^-1	(6.3%)
 H*(10)_i	:	2.212	uSv     	(6.3%)
 h*(10)		:	29.6	pSv cm^2	(5.6%)
 phi		:	13.615	cm^-2 s^-1 	(3.0%)
 thermal   	:	0.4783
 epithermal	:	0.4507
 fast      	:	0.0710
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.40%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.954915E-02
2.580E-09	4.805828E-02
3.340E-09	7.815842E-02
4.310E-09	1.252525E-01
5.570E-09	1.990277E-01
7.190E-09	3.110658E-01
9.280E-09	4.771050E-01
1.200E-08	7.164561E-01
1.550E-08	1.040903E+00
2.000E-08	1.450644E+00
2.580E-08	2.005613E+00
3.340E-08	2.518833E+00
4.310E-08	2.913222E+00
5.570E-08	3.053040E+00
7.190E-08	2.836118E+00
9.280E-08	2.294527E+00
1.200E-07	1.613112E+00
1.550E-07	1.053667E+00
2.000E-07	7.501585E-01
2.580E-07	6.454149E-01
3.340E-07	6.204121E-01
4.310E-07	6.121805E-01
5.570E-07	6.055342E-01
7.190E-07	5.990683E-01
9.280E-07	5.926972E-01
1.200E-06	5.863698E-01
1.550E-06	5.801587E-01
2.000E-06	5.740597E-01
2.580E-06	5.680520E-01
3.340E-06	5.620464E-01
4.310E-06	5.561989E-01
5.570E-06	5.503995E-01
7.190E-06	5.447071E-01
9.280E-06	5.390965E-01
1.200E-05	5.335235E-01
1.550E-05	5.280516E-01
2.000E-05	5.226771E-01
2.580E-05	5.173814E-01
3.340E-05	5.120856E-01
4.310E-05	5.069268E-01
5.570E-05	5.018075E-01
7.190E-05	4.967790E-01
9.280E-05	4.918183E-01
1.200E-04	4.868850E-01
1.550E-04	4.820342E-01
2.000E-04	4.772608E-01
2.580E-04	4.725461E-01
3.340E-04	4.678166E-01
4.310E-04	4.631912E-01
5.570E-04	4.585777E-01
7.190E-04	4.540164E-01
9.280E-04	4.494788E-01
1.200E-03	4.451437E-01
1.550E-03	4.407457E-01
2.000E-03	4.364377E-01
2.580E-03	4.322427E-01
3.340E-03	4.281703E-01
4.310E-03	4.244476E-01
5.570E-03	4.212049E-01
7.190E-03	4.188010E-01
9.280E-03	4.177226E-01
1.200E-02	4.187326E-01
1.550E-02	4.228927E-01
2.000E-02	4.315316E-01
2.580E-02	4.461818E-01
3.340E-02	4.685263E-01
4.310E-02	4.982510E-01
5.570E-02	5.336300E-01
7.190E-02	5.681277E-01
9.280E-02	5.910359E-01
1.200E-01	5.886366E-01
1.550E-01	5.502142E-01
2.000E-01	4.765980E-01
2.580E-01	3.821775E-01
3.340E-01	2.865952E-01
4.310E-01	2.071820E-01
5.570E-01	1.453864E-01
7.190E-01	9.851078E-02
9.280E-01	6.269240E-02
1.200E+00	3.588211E-02
1.550E+00	1.779374E-02
2.000E+00	7.509185E-03
2.580E+00	3.053050E-03
3.340E+00	2.004250E-03
4.310E+00	2.595866E-03
5.570E+00	4.100583E-03
7.190E+00	6.543065E-03
9.280E+00	1.032290E-02
1.200E+01	1.608319E-02
1.550E+01	2.450288E-02
2.000E+01	3.630394E-02
2.580E+01	5.199386E-02
3.340E+01	7.161241E-02
4.310E+01	9.289641E-02
5.570E+01	1.123042E-01
7.190E+01	1.237431E-01
9.280E+01	1.212774E-01
1.200E+02	1.021952E-01
1.550E+02	7.116805E-02
2.000E+02	3.902406E-02
2.580E+02	1.582810E-02
3.340E+02	4.306785E-03
4.310E+02	7.406273E-04
5.570E+02	7.024484E-05
7.190E+02	3.328712E-06
9.280E+02	6.750083E-08
1.200E+03	4.511060E-10
1.550E+03	7.384357E-13
2.000E+03	1.799744E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

