 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5487.18 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0160

 DETECTORS		DIRECTIONS
 D1        1050		R          723
 D2         959		RL         946
 D3         961		FL         546
 D4         727		F          742
 D5         479		FR         601
 D6         337		RR         894

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;815-2;1-0.48
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.195	uSv h^-1	(21.0%)
 H*(10)_i	:	0.297	uSv     	(21.0%)
 h*(10)		:	25.9	pSv cm^2	(18.0%)
 phi		:	2.086	cm^-2 s^-1 	(10.9%)
 thermal   	:	0.6804
 epithermal	:	0.2735
 fast      	:	0.0461
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.88%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.653180E-03
2.580E-09	1.082063E-02
3.340E-09	1.759787E-02
4.310E-09	2.820141E-02
5.570E-09	4.481236E-02
7.190E-09	7.003846E-02
9.280E-09	1.074232E-01
1.200E-08	1.613147E-01
1.550E-08	2.343659E-01
2.000E-08	3.266217E-01
2.580E-08	4.523908E-01
3.340E-08	5.674605E-01
4.310E-08	6.550248E-01
5.570E-08	6.840547E-01
7.190E-08	6.312581E-01
9.280E-08	5.041366E-01
1.200E-07	3.453813E-01
1.550E-07	2.150871E-01
2.000E-07	1.433270E-01
2.580E-07	1.166705E-01
3.340E-07	1.081104E-01
4.310E-07	1.035287E-01
5.570E-07	9.944582E-02
7.190E-07	9.556486E-02
9.280E-07	9.184821E-02
1.200E-06	8.826091E-02
1.550E-06	8.483834E-02
2.000E-06	8.157107E-02
2.580E-06	7.844164E-02
3.340E-06	7.540001E-02
4.310E-06	7.252026E-02
5.570E-06	6.974248E-02
7.190E-06	6.709044E-02
9.280E-06	6.454756E-02
1.200E-05	6.209025E-02
1.550E-05	5.974298E-02
2.000E-05	5.749955E-02
2.580E-05	5.534821E-02
3.340E-05	5.325469E-02
4.310E-05	5.127016E-02
5.570E-05	4.935353E-02
7.190E-05	4.752133E-02
9.280E-05	4.576226E-02
1.200E-04	4.406009E-02
1.550E-04	4.243182E-02
2.000E-04	4.087323E-02
2.580E-04	3.937619E-02
3.340E-04	3.791679E-02
4.310E-04	3.653061E-02
5.570E-04	3.518886E-02
7.190E-04	3.390290E-02
9.280E-04	3.266454E-02
1.200E-03	3.146505E-02
1.550E-03	3.031173E-02
2.000E-03	2.920338E-02
2.580E-03	2.813426E-02
3.340E-03	2.708752E-02
4.310E-03	2.608958E-02
5.570E-03	2.512168E-02
7.190E-03	2.419563E-02
9.280E-03	2.331180E-02
1.200E-02	2.247224E-02
1.550E-02	2.170125E-02
2.000E-02	2.101949E-02
2.580E-02	2.045417E-02
3.340E-02	2.003717E-02
4.310E-02	1.981823E-02
5.570E-02	1.981648E-02
7.190E-02	2.001914E-02
9.280E-02	2.034343E-02
1.200E-01	2.061742E-02
1.550E-01	2.057668E-02
2.000E-01	1.994259E-02
2.580E-01	1.850876E-02
3.340E-01	1.619212E-02
4.310E-01	1.321855E-02
5.570E-01	9.902327E-03
7.190E-01	6.720565E-03
9.280E-01	4.033697E-03
1.200E+00	2.063428E-03
1.550E+00	9.052195E-04
2.000E+00	4.051825E-04
2.580E+00	2.956714E-04
3.340E+00	3.858493E-04
4.310E+00	6.073982E-04
5.570E+00	9.811175E-04
7.190E+00	1.571690E-03
9.280E+00	2.488980E-03
1.200E+01	3.896562E-03
1.550E+01	5.972776E-03
2.000E+01	8.917768E-03
2.580E+01	1.289612E-02
3.340E+01	1.798158E-02
4.310E+01	2.367865E-02
5.570E+01	2.915734E-02
7.190E+01	3.283830E-02
9.280E+01	3.301121E-02
1.200E+02	2.861744E-02
1.550E+02	2.051691E-02
2.000E+02	1.154352E-02
2.580E+02	4.752655E-03
3.340E+02	1.280725E-03
4.310E+02	2.077172E-04
5.570E+02	1.693259E-05
7.190E+02	5.854471E-07
9.280E+02	6.640930E-09
1.200E+03	1.703086E-11
1.550E+03	6.916041E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

