 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3583.92 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0163

 DETECTORS		DIRECTIONS
 D1         301		R          130
 D2         284		RL         263
 D3         235		FL         260
 D4         189		F          298
 D5         125		FR         123
 D6          86		RR         122

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;9312-0;1-0.87
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.068	uSv h^-1	(9.5%)
 H*(10)_i	:	0.067	uSv     	(9.5%)
 h*(10)		:	20.1	pSv cm^2	(5.4%)
 phi		:	0.937	cm^-2 s^-1 	(7.8%)
 thermal   	:	0.8060
 epithermal	:	0.1689
 fast      	:	0.0251
-------------------------------------------------------------
 Average experimental data uncertainty	:	7.54%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.959335E-03
2.580E-09	4.813018E-03
3.340E-09	7.827534E-03
4.310E-09	1.254399E-02
5.570E-09	1.993254E-02
7.190E-09	3.115312E-02
9.280E-09	4.778188E-02
1.200E-08	7.175279E-02
1.550E-08	1.042460E-01
2.000E-08	1.452814E-01
2.580E-08	2.215157E-01
3.340E-08	2.804045E-01
4.310E-08	3.286511E-01
5.570E-08	3.517178E-01
7.190E-08	3.370150E-01
9.280E-08	2.848194E-01
1.200E-07	2.119659E-01
1.550E-07	1.466337E-01
2.000E-07	1.060245E-01
2.580E-07	8.622744E-02
3.340E-07	7.537736E-02
4.310E-07	6.727736E-02
5.570E-07	6.015448E-02
7.190E-07	5.384112E-02
9.280E-07	4.821547E-02
1.200E-06	4.316433E-02
1.550E-06	3.868165E-02
2.000E-06	3.469978E-02
2.580E-06	3.115014E-02
3.340E-06	2.794041E-02
4.310E-06	2.511322E-02
5.570E-06	2.257532E-02
7.190E-06	2.032037E-02
9.280E-06	1.830770E-02
1.200E-05	1.649751E-02
1.550E-05	1.488825E-02
2.000E-05	1.345624E-02
2.580E-05	1.217737E-02
3.340E-05	1.101879E-02
4.310E-05	9.996313E-03
5.570E-05	9.076649E-03
7.190E-05	8.257835E-03
9.280E-05	7.525450E-03
1.200E-04	6.865284E-03
1.550E-04	6.277033E-03
2.000E-04	5.752308E-03
2.580E-04	5.282498E-03
3.340E-04	4.855718E-03
4.310E-04	4.477972E-03
5.570E-04	4.137133E-03
7.190E-04	3.832618E-03
9.280E-04	3.559200E-03
1.200E-03	3.313149E-03
1.550E-03	3.092457E-03
2.000E-03	2.895181E-03
2.580E-03	2.718517E-03
3.340E-03	2.558650E-03
4.310E-03	2.418821E-03
5.570E-03	2.296061E-03
7.190E-03	2.192520E-03
9.280E-03	2.109903E-03
1.200E-02	2.052001E-03
1.550E-02	2.026212E-03
2.000E-02	2.041279E-03
2.580E-02	2.108043E-03
3.340E-02	2.239672E-03
4.310E-02	2.438689E-03
5.570E-02	2.700225E-03
7.190E-02	2.989824E-03
9.280E-02	3.245907E-03
1.200E-01	3.383105E-03
1.550E-01	3.318195E-03
2.000E-01	3.023336E-03
2.580E-01	2.543036E-03
3.340E-01	1.962544E-03
4.310E-01	1.392490E-03
5.570E-01	8.963875E-04
7.190E-01	5.306764E-04
9.280E-01	3.070681E-04
1.200E+00	1.985568E-04
1.550E+00	1.690093E-04
2.000E+00	1.938189E-04
2.580E+00	2.632996E-04
3.340E+00	3.758796E-04
4.310E+00	5.268515E-04
5.570E+00	7.164442E-04
7.190E+00	9.402254E-04
9.280E+00	1.201768E-03
1.200E+01	1.526671E-03
1.550E+01	1.971080E-03
2.000E+01	2.628323E-03
2.580E+01	3.593992E-03
3.340E+01	4.925374E-03
4.310E+01	6.506932E-03
5.570E+01	8.122135E-03
7.190E+01	9.337829E-03
9.280E+01	9.648641E-03
1.200E+02	8.671395E-03
1.550E+02	6.513201E-03
2.000E+02	3.892053E-03
2.580E+02	1.733092E-03
3.340E+02	5.184052E-04
4.310E+02	9.638806E-05
5.570E+02	9.449504E-06
7.190E+02	4.200239E-07
9.280E+02	6.765924E-09
1.200E+03	2.873698E-11
1.550E+03	2.411726E-14
2.000E+03	1.118655E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

