 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4483.72 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0194

 DETECTORS		DIRECTIONS
 D1        2878		R         2262
 D2        2395		RL        1210
 D3        1971		FL        3405
 D4        1424		F         1031
 D5        1075		FR        1913
 D6         731		RR         545

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;82-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.667	uSv h^-1	(9.6%)
 H*(10)_i	:	0.831	uSv     	(9.6%)
 h*(10)		:	24.8	pSv cm^2	(7.1%)
 phi		:	7.473	cm^-2 s^-1 	(6.4%)
 thermal   	:	0.9263
 epithermal	:	0.0329
 fast      	:	0.0408
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.59%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.921346E-02
2.580E-09	6.377616E-02
3.340E-09	1.037208E-01
4.310E-09	1.662175E-01
5.570E-09	2.641214E-01
7.190E-09	4.128026E-01
9.280E-09	6.331464E-01
1.200E-08	9.507793E-01
1.550E-08	1.381339E+00
2.000E-08	1.925089E+00
2.580E-08	2.558958E+00
3.340E-08	3.178803E+00
4.310E-08	3.613089E+00
5.570E-08	3.676856E+00
7.190E-08	3.244549E+00
9.280E-08	2.387447E+00
1.200E-07	1.390159E+00
1.550E-07	6.150840E-01
2.000E-07	2.117386E-01
2.580E-07	7.823434E-02
3.340E-07	5.101345E-02
4.310E-07	4.607839E-02
5.570E-07	4.336803E-02
7.190E-07	4.093946E-02
9.280E-07	3.868972E-02
1.200E-06	3.658766E-02
1.550E-06	3.464528E-02
2.000E-06	3.284821E-02
2.580E-06	3.117902E-02
3.340E-06	2.960516E-02
4.310E-06	2.815885E-02
5.570E-06	2.680387E-02
7.190E-06	2.554675E-02
9.280E-06	2.437468E-02
1.200E-05	2.327283E-02
1.550E-05	2.224838E-02
2.000E-05	2.129473E-02
2.580E-05	2.040344E-02
3.340E-05	1.955780E-02
4.310E-05	1.877580E-02
5.570E-05	1.803856E-02
7.190E-05	1.735021E-02
9.280E-05	1.670432E-02
1.200E-04	1.609319E-02
1.550E-04	1.552125E-02
2.000E-04	1.498527E-02
2.580E-04	1.448093E-02
3.340E-04	1.399903E-02
4.310E-04	1.355012E-02
5.570E-04	1.312365E-02
7.190E-04	1.272218E-02
9.280E-04	1.234214E-02
1.200E-03	1.199383E-02
1.550E-03	1.166004E-02
2.000E-03	1.135014E-02
2.580E-03	1.106538E-02
3.340E-03	1.080700E-02
4.310E-03	1.059075E-02
5.570E-03	1.042747E-02
7.190E-03	1.034364E-02
9.280E-03	1.037718E-02
1.200E-02	1.058962E-02
1.550E-02	1.106722E-02
2.000E-02	1.192824E-02
2.580E-02	1.332855E-02
3.340E-02	1.548344E-02
4.310E-02	1.850568E-02
5.570E-02	2.251865E-02
7.190E-02	2.734848E-02
9.280E-02	3.253476E-02
1.200E-01	3.723808E-02
1.550E-01	4.023159E-02
2.000E-01	4.046080E-02
2.580E-01	3.742059E-02
3.340E-01	3.133353E-02
4.310E-01	2.351189E-02
5.570E-01	1.549424E-02
7.190E-01	8.926775E-03
9.280E-01	4.596721E-03
1.200E+00	2.360877E-03
1.550E+00	1.579986E-03
2.000E+00	1.598632E-03
2.580E+00	2.043397E-03
3.340E+00	2.786400E-03
4.310E+00	3.825416E-03
5.570E+00	5.332253E-03
7.190E+00	7.605602E-03
9.280E+00	1.113348E-02
1.200E+01	1.659980E-02
1.550E+01	2.469725E-02
2.000E+01	3.615014E-02
2.580E+01	5.149019E-02
3.340E+01	7.082015E-02
4.310E+01	9.204620E-02
5.570E+01	1.119376E-01
7.190E+01	1.247579E-01
9.280E+01	1.246055E-01
1.200E+02	1.080522E-01
1.550E+02	7.833195E-02
2.000E+02	4.532632E-02
2.580E+02	1.972217E-02
3.340E+02	5.881564E-03
4.310E+02	1.133839E-03
5.570E+02	1.235295E-04
7.190E+02	6.809339E-06
9.280E+02	1.590762E-07
1.200E+03	1.197723E-09
1.550E+03	2.216525E-12
2.000E+03	6.622182E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

