 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4484.44 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0195

 DETECTORS		DIRECTIONS
 D1         968		R          667
 D2         883		RL         547
 D3         818		FL         648
 D4         584		F          663
 D5         459		FR         782
 D6         304		RR         667

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;94-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.232	uSv h^-1	(13.3%)
 H*(10)_i	:	0.289	uSv     	(13.3%)
 h*(10)		:	27.0	pSv cm^2	(11.7%)
 phi		:	2.384	cm^-2 s^-1 	(6.2%)
 thermal   	:	0.7523
 epithermal	:	0.2006
 fast      	:	0.0471
-------------------------------------------------------------
 Average experimental data uncertainty	:	4.10%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	8.103029E-03
2.580E-09	1.317864E-02
3.340E-09	2.143276E-02
4.310E-09	3.434701E-02
5.570E-09	5.457778E-02
7.190E-09	8.530112E-02
9.280E-09	1.308327E-01
1.200E-08	1.964681E-01
1.550E-08	2.854385E-01
2.000E-08	3.977985E-01
2.580E-08	5.626531E-01
3.340E-08	7.073064E-01
4.310E-08	8.193480E-01
5.570E-08	8.604829E-01
7.190E-08	8.009460E-01
9.280E-08	6.480303E-01
1.200E-07	4.525375E-01
1.550E-07	2.886696E-01
2.000E-07	1.953412E-01
2.580E-07	1.573661E-01
3.340E-07	1.419247E-01
4.310E-07	1.319109E-01
5.570E-07	1.229535E-01
7.190E-07	1.146906E-01
9.280E-07	1.070205E-01
1.200E-06	9.984441E-02
1.550E-06	9.320728E-02
2.000E-06	8.706350E-02
2.580E-06	8.135622E-02
3.340E-06	7.597657E-02
4.310E-06	7.103653E-02
5.570E-06	6.641381E-02
7.190E-06	6.213179E-02
9.280E-06	5.814757E-02
1.200E-05	5.441136E-02
1.550E-05	5.094785E-02
2.000E-05	4.773458E-02
2.580E-05	4.474297E-02
3.340E-05	4.191683E-02
4.310E-05	3.931590E-02
5.570E-05	3.687670E-02
7.190E-05	3.461232E-02
9.280E-05	3.250078E-02
1.200E-04	3.051630E-02
1.550E-04	2.867251E-02
2.000E-04	2.695803E-02
2.580E-04	2.535808E-02
3.340E-04	2.384293E-02
4.310E-04	2.244495E-02
5.570E-04	2.113035E-02
7.190E-04	1.990640E-02
9.280E-04	1.876144E-02
1.200E-03	1.768515E-02
1.550E-03	1.668016E-02
2.000E-03	1.574304E-02
2.580E-03	1.486659E-02
3.340E-03	1.403585E-02
4.310E-03	1.327083E-02
5.570E-03	1.255665E-02
7.190E-03	1.190311E-02
9.280E-03	1.131303E-02
1.200E-02	1.079371E-02
1.550E-02	1.036992E-02
2.000E-02	1.006773E-02
2.580E-02	9.922453E-03
3.340E-02	9.981569E-03
4.310E-02	1.029118E-02
5.570E-02	1.088716E-02
7.190E-02	1.175605E-02
9.280E-02	1.282188E-02
1.200E-01	1.392914E-02
1.550E-01	1.482570E-02
2.000E-01	1.526233E-02
2.580E-01	1.504066E-02
3.340E-01	1.401944E-02
4.310E-01	1.220659E-02
5.570E-01	9.738355E-03
7.190E-01	7.020560E-03
9.280E-01	4.513387E-03
1.200E+00	2.544757E-03
1.550E+00	1.273832E-03
2.000E+00	6.528516E-04
2.580E+00	5.157697E-04
3.340E+00	6.782629E-04
4.310E+00	1.032770E-03
5.570E+00	1.592339E-03
7.190E+00	2.433996E-03
9.280E+00	3.695575E-03
1.200E+01	5.590802E-03
1.550E+01	8.360913E-03
2.000E+01	1.227714E-02
2.580E+01	1.754474E-02
3.340E+01	2.421743E-02
4.310E+01	3.159073E-02
5.570E+01	3.856570E-02
7.190E+01	4.316700E-02
9.280E+01	4.334545E-02
1.200E+02	3.787298E-02
1.550E+02	2.776439E-02
2.000E+02	1.632740E-02
2.580E+02	7.263817E-03
3.340E+02	2.231126E-03
4.310E+02	4.465172E-04
5.570E+02	5.109761E-05
7.190E+02	3.011195E-06
9.280E+02	7.728976E-08
1.200E+03	6.626409E-10
1.550E+03	1.437249E-12
2.000E+03	5.057246E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

