 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 1721.22 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0164

 DETECTORS		DIRECTIONS
 D1         123		R           47
 D2          97		RL         124
 D3         111		FL         105
 D4          81		F          122
 D5          71		FR          68
 D6          51		RR          67

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;813-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.151	uSv h^-1	(13.4%)
 H*(10)_i	:	0.072	uSv     	(13.4%)
 h*(10)		:	53.0	pSv cm^2	(7.1%)
 phi		:	0.792	cm^-2 s^-1 	(11.3%)
 thermal   	:	0.6067
 epithermal	:	0.2632
 fast      	:	0.1301
-------------------------------------------------------------
 Average experimental data uncertainty	:	10.94%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.360108E-03
2.580E-09	3.838443E-03
3.340E-09	6.242558E-03
4.310E-09	1.000399E-02
5.570E-09	1.589646E-02
7.190E-09	2.484501E-02
9.280E-09	3.810665E-02
1.200E-08	5.722376E-02
1.550E-08	8.313752E-02
2.000E-08	1.158638E-01
2.580E-08	1.583232E-01
3.340E-08	1.980785E-01
4.310E-08	2.277106E-01
5.570E-08	2.362226E-01
7.190E-08	2.156054E-01
9.280E-08	1.690042E-01
1.200E-07	1.120757E-01
1.550E-07	6.617049E-02
2.000E-07	4.143732E-02
2.580E-07	3.273768E-02
3.340E-07	3.042985E-02
4.310E-07	2.948553E-02
5.570E-07	2.868545E-02
7.190E-07	2.791934E-02
9.280E-07	2.717842E-02
1.200E-06	2.645619E-02
1.550E-06	2.576029E-02
2.000E-06	2.508943E-02
2.580E-06	2.444058E-02
3.340E-06	2.380372E-02
4.310E-06	2.319482E-02
5.570E-06	2.260175E-02
7.190E-06	2.202999E-02
9.280E-06	2.147643E-02
1.200E-05	2.093629E-02
1.550E-05	2.041532E-02
2.000E-05	1.991256E-02
2.580E-05	1.942579E-02
3.340E-05	1.894750E-02
4.310E-05	1.848970E-02
5.570E-05	1.804328E-02
7.190E-05	1.761238E-02
9.280E-05	1.719467E-02
1.200E-04	1.678652E-02
1.550E-04	1.639225E-02
2.000E-04	1.601113E-02
2.580E-04	1.564143E-02
3.340E-04	1.527738E-02
4.310E-04	1.492804E-02
5.570E-04	1.458635E-02
7.190E-04	1.425534E-02
9.280E-04	1.393304E-02
1.200E-03	1.361714E-02
1.550E-03	1.330967E-02
2.000E-03	1.301026E-02
2.580E-03	1.271729E-02
3.340E-03	1.242584E-02
4.310E-03	1.214293E-02
5.570E-03	1.186280E-02
7.190E-03	1.158822E-02
9.280E-03	1.131847E-02
1.200E-02	1.105301E-02
1.550E-02	1.079830E-02
2.000E-02	1.056034E-02
2.580E-02	1.034873E-02
3.340E-02	1.017786E-02
4.310E-02	1.007731E-02
5.570E-02	1.007905E-02
7.190E-02	1.022564E-02
9.280E-02	1.056062E-02
1.200E-01	1.112072E-02
1.550E-01	1.189406E-02
2.000E-01	1.280510E-02
2.580E-01	1.369074E-02
3.340E-01	1.429972E-02
4.310E-01	1.429895E-02
5.570E-01	1.340188E-02
7.190E-01	1.147822E-02
9.280E-01	8.701760E-03
1.200E+00	5.609473E-03
1.550E+00	2.983641E-03
2.000E+00	1.305914E-03
2.580E+00	5.565015E-04
3.340E+00	4.110572E-04
4.310E+00	5.693876E-04
5.570E+00	9.132066E-04
7.190E+00	1.468460E-03
9.280E+00	2.337994E-03
1.200E+01	3.685865E-03
1.550E+01	5.700962E-03
2.000E+01	8.611386E-03
2.580E+01	1.264152E-02
3.340E+01	1.797841E-02
4.310E+01	2.428250E-02
5.570E+01	3.090907E-02
7.190E+01	3.634066E-02
9.280E+01	3.863877E-02
1.200E+02	3.606677E-02
1.550E+02	2.848381E-02
2.000E+02	1.819375E-02
2.580E+02	8.855873E-03
3.340E+02	2.990135E-03
4.310E+02	6.525799E-04
5.570E+02	7.925416E-05
7.190E+02	4.657953E-06
9.280E+02	1.072871E-07
1.200E+03	7.134672E-10
1.550E+03	1.025829E-12
2.000E+03	2.088579E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

