 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4985.27 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0197

 DETECTORS		DIRECTIONS
 D1         171		R          116
 D2         180		RL         189
 D3         167		FL         140
 D4         137		F          127
 D5          89		FR          95
 D6          72		RR         132

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.059	uSv h^-1	(13.0%)
 H*(10)_i	:	0.081	uSv     	(13.0%)
 h*(10)		:	37.2	pSv cm^2	(9.3%)
 phi		:	0.439	cm^-2 s^-1 	(9.1%)
 thermal   	:	0.6678
 epithermal	:	0.2527
 fast      	:	0.0795
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.96%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.378778E-03
2.580E-09	2.242423E-03
3.340E-09	3.646910E-03
4.310E-09	5.844345E-03
5.570E-09	9.286730E-03
7.190E-09	1.451449E-02
9.280E-09	2.226196E-02
1.200E-08	3.343019E-02
1.550E-08	4.856904E-02
2.000E-08	6.768775E-02
2.580E-08	9.391081E-02
3.340E-08	1.177797E-01
4.310E-08	1.359253E-01
5.570E-08	1.418950E-01
7.190E-08	1.308408E-01
9.280E-08	1.043163E-01
1.200E-07	7.120346E-02
1.550E-07	4.401016E-02
2.000E-07	2.898409E-02
2.580E-07	2.333048E-02
3.340E-07	2.144515E-02
4.310E-07	2.040335E-02
5.570E-07	1.948054E-02
7.190E-07	1.861455E-02
9.280E-07	1.779591E-02
1.200E-06	1.701587E-02
1.550E-06	1.628112E-02
2.000E-06	1.558850E-02
2.580E-06	1.493332E-02
3.340E-06	1.430439E-02
4.310E-06	1.371622E-02
5.570E-06	1.315572E-02
7.190E-06	1.262699E-02
9.280E-06	1.212599E-02
1.200E-05	1.164751E-02
1.550E-05	1.119575E-02
2.000E-05	1.076889E-02
2.580E-05	1.036414E-02
3.340E-05	9.974649E-03
4.310E-05	9.609497E-03
5.570E-05	9.260648E-03
7.190E-05	8.930716E-03
9.280E-05	8.617265E-03
1.200E-04	8.317079E-03
1.550E-04	8.032841E-03
2.000E-04	7.763465E-03
2.580E-04	7.507233E-03
3.340E-04	7.259821E-03
4.310E-04	7.027004E-03
5.570E-04	6.803672E-03
7.190E-04	6.591480E-03
9.280E-04	6.388833E-03
1.200E-03	6.194183E-03
1.550E-03	6.008373E-03
2.000E-03	5.831044E-03
2.580E-03	5.661069E-03
3.340E-03	5.495594E-03
4.310E-03	5.338622E-03
5.570E-03	5.187045E-03
7.190E-03	5.042623E-03
9.280E-03	4.905424E-03
1.200E-02	4.775976E-03
1.550E-02	4.658564E-03
2.000E-02	4.557408E-03
2.580E-02	4.478584E-03
3.340E-02	4.430468E-03
4.310E-02	4.425462E-03
5.570E-02	4.474721E-03
7.190E-02	4.586665E-03
9.280E-02	4.762102E-03
1.200E-01	4.989415E-03
1.550E-01	5.231068E-03
2.000E-01	5.427274E-03
2.580E-01	5.494208E-03
3.340E-01	5.328007E-03
4.310E-01	4.848636E-03
5.570E-01	4.039514E-03
7.190E-01	3.016282E-03
9.280E-01	1.985539E-03
1.200E+00	1.155580E-03
1.550E+00	6.406469E-04
2.000E+00	3.974610E-04
2.580E+00	3.183734E-04
3.340E+00	3.220010E-04
4.310E+00	3.810278E-04
5.570E+00	5.051941E-04
7.190E+00	7.155924E-04
9.280E+00	1.047415E-03
1.200E+01	1.563910E-03
1.550E+01	2.341603E-03
2.000E+01	3.461989E-03
2.580E+01	4.983591E-03
3.340E+01	6.923959E-03
4.310E+01	9.083444E-03
5.570E+01	1.113973E-02
7.190E+01	1.249635E-02
9.280E+01	1.252283E-02
1.200E+02	1.084607E-02
1.550E+02	7.804962E-03
2.000E+02	4.445924E-03
2.580E+02	1.881997E-03
3.340E+02	5.364219E-04
4.310E+02	9.665281E-05
5.570E+02	9.603029E-06
7.190E+02	4.778266E-07
9.280E+02	1.029232E-08
1.200E+03	7.452833E-11
1.550E+03	1.345989E-13
2.000E+03	3.783362E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

