 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4985.37 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0198

 DETECTORS		DIRECTIONS
 D1        1959		R         1374
 D2        1867		RL        2065
 D3        1729		FL        1382
 D4        1333		F         1450
 D5        1027		FR         906
 D6         659		RR        1286

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.398	uSv h^-1	(12.9%)
 H*(10)_i	:	0.552	uSv     	(12.9%)
 h*(10)		:	23.0	pSv cm^2	(11.2%)
 phi		:	4.802	cm^-2 s^-1 	(6.3%)
 thermal   	:	0.7643
 epithermal	:	0.1974
 fast      	:	0.0383
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.79%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.938425E-02
2.580E-09	3.152625E-02
3.340E-09	5.127195E-02
4.310E-09	8.216571E-02
5.570E-09	1.305622E-01
7.190E-09	2.040593E-01
9.280E-09	3.129810E-01
1.200E-08	4.699954E-01
1.550E-08	6.828326E-01
2.000E-08	9.516227E-01
2.580E-08	1.280857E+00
3.340E-08	1.596512E+00
4.310E-08	1.824494E+00
5.570E-08	1.873963E+00
7.190E-08	1.681207E+00
9.280E-08	1.277116E+00
1.200E-07	7.966623E-01
1.550E-07	4.170504E-01
2.000E-07	2.165136E-01
2.580E-07	1.485080E-01
3.340E-07	1.329783E-01
4.310E-07	1.284988E-01
5.570E-07	1.251201E-01
7.190E-07	1.219068E-01
9.280E-07	1.188033E-01
1.200E-06	1.157819E-01
1.550E-06	1.128742E-01
2.000E-06	1.100745E-01
2.580E-06	1.073697E-01
3.340E-06	1.047179E-01
4.310E-06	1.021854E-01
5.570E-06	9.972129E-02
7.190E-06	9.734823E-02
9.280E-06	9.505305E-02
1.200E-05	9.281570E-02
1.550E-05	9.065977E-02
2.000E-05	8.858115E-02
2.580E-05	8.657038E-02
3.340E-05	8.459633E-02
4.310E-05	8.270840E-02
5.570E-05	8.086884E-02
7.190E-05	7.909454E-02
9.280E-05	7.737574E-02
1.200E-04	7.569738E-02
1.550E-04	7.407708E-02
2.000E-04	7.251170E-02
2.580E-04	7.099395E-02
3.340E-04	6.950001E-02
4.310E-04	6.806689E-02
5.570E-04	6.666547E-02
7.190E-04	6.530795E-02
9.280E-04	6.398602E-02
1.200E-03	6.269829E-02
1.550E-03	6.144157E-02
2.000E-03	6.022038E-02
2.580E-03	5.902974E-02
3.340E-03	5.785281E-02
4.310E-03	5.672285E-02
5.570E-03	5.562476E-02
7.190E-03	5.458173E-02
9.280E-03	5.360958E-02
1.200E-02	5.273466E-02
1.550E-02	5.201728E-02
2.000E-02	5.152305E-02
2.580E-02	5.133115E-02
3.340E-02	5.152861E-02
4.310E-02	5.215702E-02
5.570E-02	5.316814E-02
7.190E-02	5.431256E-02
9.280E-02	5.510844E-02
1.200E-01	5.485561E-02
1.550E-01	5.285142E-02
2.000E-01	4.877664E-02
2.580E-01	4.288757E-02
3.340E-01	3.578690E-02
4.310E-01	2.841076E-02
5.570E-01	2.117807E-02
7.190E-01	1.462229E-02
9.280E-01	9.181562E-03
1.200E+00	5.182684E-03
1.550E+00	2.742041E-03
2.000E+00	1.583102E-03
2.580E+00	1.264140E-03
3.340E+00	1.393262E-03
4.310E+00	1.741268E-03
5.570E+00	2.282540E-03
7.190E+00	3.145244E-03
9.280E+00	4.579530E-03
1.200E+01	6.917487E-03
1.550E+01	1.046260E-02
2.000E+01	1.550141E-02
2.580E+01	2.223737E-02
3.340E+01	3.069995E-02
4.310E+01	3.994556E-02
5.570E+01	4.848502E-02
7.190E+01	5.370437E-02
9.280E+01	5.299736E-02
1.200E+02	4.506491E-02
1.550E+02	3.175104E-02
2.000E+02	1.766644E-02
2.580E+02	7.290154E-03
3.340E+02	2.018990E-03
4.310E+02	3.504887E-04
5.570E+02	3.259432E-05
7.190E+02	1.408720E-06
9.280E+02	2.270176E-08
1.200E+03	9.877584E-11
1.550E+03	8.544539E-14
2.000E+03	7.930660E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

