 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5967.45 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0204

 DETECTORS		DIRECTIONS
 D1        1770		R         1194
 D2        2252		RL        1238
 D3        2682		FL         984
 D4        2445		F         2973
 D5        2219		FR        2590
 D6        1591		RR        3768

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.064	uSv h^-1	(7.0%)
 H*(10)_i	:	1.764	uSv     	(7.0%)
 h*(10)		:	61.0	pSv cm^2	(6.3%)
 phi		:	4.845	cm^-2 s^-1 	(2.9%)
 thermal   	:	0.3267
 epithermal	:	0.4955
 fast      	:	0.1778
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.18%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.021501E-03
2.580E-09	9.793277E-03
3.340E-09	1.592706E-02
4.310E-09	2.552386E-02
5.570E-09	4.055770E-02
7.190E-09	6.338874E-02
9.280E-09	9.722407E-02
1.200E-08	1.459988E-01
1.550E-08	2.121143E-01
2.000E-08	2.956110E-01
2.580E-08	4.246536E-01
3.340E-08	5.385378E-01
4.310E-08	6.323329E-01
5.570E-08	6.790319E-01
7.190E-08	6.562293E-01
9.280E-08	5.661217E-01
1.200E-07	4.405616E-01
1.550E-07	3.308160E-01
2.000E-07	2.684988E-01
2.580E-07	2.458438E-01
3.340E-07	2.394180E-01
4.310E-07	2.364614E-01
5.570E-07	2.338549E-01
7.190E-07	2.313244E-01
9.280E-07	2.288465E-01
1.200E-06	2.264010E-01
1.550E-06	2.240155E-01
2.000E-06	2.216876E-01
2.580E-06	2.194090E-01
3.340E-06	2.171454E-01
4.310E-06	2.149553E-01
5.570E-06	2.127969E-01
7.190E-06	2.106915E-01
9.280E-06	2.086295E-01
1.200E-05	2.065942E-01
1.550E-05	2.046084E-01
2.000E-05	2.026703E-01
2.580E-05	2.007726E-01
3.340E-05	1.988869E-01
4.310E-05	1.970617E-01
5.570E-05	1.952619E-01
7.190E-05	1.935051E-01
9.280E-05	1.917830E-01
1.200E-04	1.900812E-01
1.550E-04	1.884182E-01
2.000E-04	1.867919E-01
2.580E-04	1.851952E-01
3.340E-04	1.836031E-01
4.310E-04	1.820549E-01
5.570E-04	1.805191E-01
7.190E-04	1.790083E-01
9.280E-04	1.775122E-01
1.200E-03	1.760650E-01
1.550E-03	1.746099E-01
2.000E-03	1.731775E-01
2.580E-03	1.717679E-01
3.340E-03	1.703714E-01
4.310E-03	1.690474E-01
5.570E-03	1.678128E-01
7.190E-03	1.667541E-01
9.280E-03	1.659896E-01
1.200E-02	1.657205E-01
1.550E-02	1.662725E-01
2.000E-02	1.681159E-01
2.580E-02	1.719338E-01
3.340E-02	1.787721E-01
4.310E-02	1.896128E-01
5.570E-02	2.058365E-01
7.190E-02	2.281845E-01
9.280E-02	2.566213E-01
1.200E-01	2.894272E-01
1.550E-01	3.213518E-01
2.000E-01	3.443843E-01
2.580E-01	3.486771E-01
3.340E-01	3.252562E-01
4.310E-01	2.731065E-01
5.570E-01	2.010796E-01
7.190E-01	1.277902E-01
9.280E-01	6.952470E-02
1.200E+00	3.251332E-02
1.550E+00	1.369895E-02
2.000E+00	5.811603E-03
2.580E+00	3.364310E-03
3.340E+00	3.558648E-03
4.310E+00	5.244619E-03
5.570E+00	8.203334E-03
7.190E+00	1.269414E-02
9.280E+00	1.926613E-02
1.200E+01	2.862322E-02
1.550E+01	4.120509E-02
2.000E+01	5.714335E-02
2.580E+01	7.588959E-02
3.340E+01	9.600470E-02
4.310E+01	1.137685E-01
5.570E+01	1.250643E-01
7.190E+01	1.251493E-01
9.280E+01	1.114332E-01
1.200E+02	8.540091E-02
1.550E+02	5.424935E-02
2.000E+02	2.720270E-02
2.580E+02	1.009107E-02
3.340E+02	2.496556E-03
4.310E+02	3.855520E-04
5.570E+02	3.178450E-05
7.190E+02	1.225605E-06
9.280E+02	1.802712E-08
1.200E+03	7.486959E-11
1.550E+03	6.554890E-14
2.000E+03	6.995844E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

