 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 59.28 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0204

 DETECTORS		DIRECTIONS
 D1          82		R           59
 D2         103		RL          76
 D3         132		FL          37
 D4         113		F          114
 D5          96		FR         127
 D6          64		RR         176

------------------ INTERNAL DATA REF ------------------------
1-1
0.82;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	5.692	uSv h^-1	(14.6%)
 H*(10)_i	:	0.094	uSv     	(14.6%)
 h*(10)		:	71.5	pSv cm^2	(6.0%)
 phi		:	22.110	cm^-2 s^-1 	(13.4%)
 thermal   	:	0.4024
 epithermal	:	0.4220
 fast      	:	0.1756
-------------------------------------------------------------
 Average experimental data uncertainty	:	10.29%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.729357E-02
2.580E-09	6.065368E-02
3.340E-09	9.864264E-02
4.310E-09	1.580795E-01
5.570E-09	2.511901E-01
7.190E-09	3.925918E-01
9.280E-09	6.021475E-01
1.200E-08	9.042292E-01
1.550E-08	1.313709E+00
2.000E-08	1.830837E+00
2.580E-08	2.580242E+00
3.340E-08	3.254837E+00
4.310E-08	3.790432E+00
5.570E-08	4.016837E+00
7.190E-08	3.799876E+00
9.280E-08	3.167594E+00
1.200E-07	2.337847E+00
1.550E-07	1.636869E+00
2.000E-07	1.246441E+00
2.580E-07	1.105001E+00
3.340E-07	1.064417E+00
4.310E-07	1.045535E+00
5.570E-07	1.029014E+00
7.190E-07	1.013151E+00
9.280E-07	9.977893E-01
1.200E-06	9.827969E-01
1.550E-06	9.683353E-01
2.000E-06	9.543801E-01
2.580E-06	9.408706E-01
3.340E-06	9.276001E-01
4.310E-06	9.149033E-01
5.570E-06	9.025283E-01
7.190E-06	8.905911E-01
9.280E-06	8.790274E-01
1.200E-05	8.677378E-01
1.550E-05	8.568419E-01
2.000E-05	8.463197E-01
2.580E-05	8.361227E-01
3.340E-05	8.260914E-01
4.310E-05	8.164740E-01
5.570E-05	8.070744E-01
7.190E-05	7.979730E-01
9.280E-05	7.891119E-01
1.200E-04	7.804020E-01
1.550E-04	7.719200E-01
2.000E-04	7.636315E-01
2.580E-04	7.554743E-01
3.340E-04	7.472862E-01
4.310E-04	7.392291E-01
5.570E-04	7.310895E-01
7.190E-04	7.228727E-01
9.280E-04	7.144485E-01
1.200E-03	7.082896E-01
1.550E-03	6.998619E-01
2.000E-03	6.910658E-01
2.580E-03	6.817337E-01
3.340E-03	6.715452E-01
4.310E-03	6.605734E-01
5.570E-03	6.484138E-01
7.190E-03	6.349743E-01
9.280E-03	6.200126E-01
1.200E-02	6.032538E-01
1.550E-02	5.848669E-01
2.000E-02	5.650684E-01
2.580E-02	5.443541E-01
3.340E-02	5.234802E-01
4.310E-02	5.047611E-01
5.570E-02	4.904713E-01
7.190E-02	4.843180E-01
9.280E-02	4.906062E-01
1.200E-01	5.145296E-01
1.550E-01	5.609453E-01
2.000E-01	6.338819E-01
2.580E-01	7.358909E-01
3.340E-01	8.684500E-01
4.310E-01	1.022670E+00
5.570E-01	1.188891E+00
7.190E-01	1.345169E+00
9.280E-01	1.464250E+00
1.200E+00	1.513920E+00
1.550E+00	1.463992E+00
2.000E+00	1.302213E+00
2.580E+00	1.043465E+00
3.340E+00	7.297021E-01
4.310E+00	4.352154E-01
5.570E+00	2.109619E-01
7.190E+00	7.949039E-02
9.280E+00	2.170421E-02
1.200E+01	3.861538E-03
1.550E+01	4.028419E-04
2.000E+01	2.110208E-05
2.580E+01	4.494607E-07
3.340E+01	2.751302E-09
4.310E+01	3.905495E-12
5.570E+01	7.388868E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

