 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5483.42 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0209

 DETECTORS		DIRECTIONS
 D1        5655		R         2802
 D2        6059		RL        3554
 D3        6225		FL        2798
 D4        5115		F         7245
 D5        4029		FR        5971
 D6        2652		RR        6954

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.32
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.810	uSv h^-1	(6.7%)
 H*(10)_i	:	1.234	uSv     	(6.7%)
 h*(10)		:	18.9	pSv cm^2	(5.6%)
 phi		:	11.922	cm^-2 s^-1 	(3.7%)
 thermal   	:	0.4792
 epithermal	:	0.4938
 fast      	:	0.0270
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.47%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.805729E-02
2.580E-09	2.936811E-02
3.340E-09	4.776211E-02
4.310E-09	7.654102E-02
5.570E-09	1.216245E-01
7.190E-09	1.900903E-01
9.280E-09	2.915558E-01
1.200E-08	4.378217E-01
1.550E-08	6.360891E-01
2.000E-08	8.864790E-01
2.580E-08	1.362443E+00
3.340E-08	1.748816E+00
4.310E-08	2.090805E+00
5.570E-08	2.307233E+00
7.190E-08	2.320330E+00
9.280E-08	2.116023E+00
1.200E-07	1.767555E+00
1.550E-07	1.426635E+00
2.000E-07	1.209957E+00
2.580E-07	1.110246E+00
3.340E-07	1.059911E+00
4.310E-07	1.021587E+00
5.570E-07	9.853185E-01
7.190E-07	9.505355E-01
9.280E-07	9.170061E-01
1.200E-06	8.844347E-01
1.550E-06	8.531621E-01
2.000E-06	8.231237E-01
2.580E-06	7.941784E-01
3.340E-06	7.658772E-01
4.310E-06	7.389252E-01
5.570E-06	7.127789E-01
7.190E-06	6.876762E-01
9.280E-06	6.634750E-01
1.200E-05	6.399624E-01
1.550E-05	6.173844E-01
2.000E-05	5.956945E-01
2.580E-05	5.747907E-01
3.340E-05	5.543486E-01
4.310E-05	5.348772E-01
5.570E-05	5.159840E-01
7.190E-05	4.978401E-01
9.280E-05	4.803427E-01
1.200E-04	4.633371E-01
1.550E-04	4.470003E-01
2.000E-04	4.312978E-01
2.580E-04	4.161544E-01
3.340E-04	4.013332E-01
4.310E-04	3.872012E-01
5.570E-04	3.734707E-01
7.190E-04	3.602630E-01
9.280E-04	3.474989E-01
1.200E-03	3.350940E-01
1.550E-03	3.231255E-01
2.000E-03	3.115861E-01
2.580E-03	3.004200E-01
3.340E-03	2.894538E-01
4.310E-03	2.789665E-01
5.570E-03	2.687626E-01
7.190E-03	2.589646E-01
9.280E-03	2.495691E-01
1.200E-02	2.405767E-01
1.550E-02	2.322015E-01
2.000E-02	2.245738E-01
2.580E-02	2.178125E-01
3.340E-02	2.119240E-01
4.310E-02	2.069617E-01
5.570E-02	2.023300E-01
7.190E-02	1.969978E-01
9.280E-02	1.892656E-01
1.200E-01	1.771552E-01
1.550E-01	1.596905E-01
2.000E-01	1.376927E-01
2.580E-01	1.137488E-01
3.340E-01	9.044653E-02
4.310E-01	6.982499E-02
5.570E-01	5.145782E-02
7.190E-01	3.549960E-02
9.280E-01	2.234857E-02
1.200E+00	1.244068E-02
1.550E+00	6.000816E-03
2.000E+00	2.529122E-03
2.580E+00	1.119102E-03
3.340E+00	8.601518E-04
4.310E+00	1.158520E-03
5.570E+00	1.787720E-03
7.190E+00	2.756878E-03
9.280E+00	4.188663E-03
1.200E+01	6.276549E-03
1.550E+01	9.222590E-03
2.000E+01	1.327713E-02
2.580E+01	1.870001E-02
3.340E+01	2.572270E-02
4.310E+01	3.387398E-02
5.570E+01	4.221009E-02
7.190E+01	4.858826E-02
9.280E+01	5.042127E-02
1.200E+02	4.570410E-02
1.550E+02	3.486780E-02
2.000E+02	2.141925E-02
2.580E+02	1.001439E-02
3.340E+02	3.271995E-03
4.310E+02	7.125591E-04
5.570E+02	9.348445E-05
7.190E+02	6.989643E-06
9.280E+02	2.649808E-07
1.200E+03	3.940286E-09
1.550E+03	1.689573E-11
2.000E+03	1.370979E-14
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

