 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5685.90 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0210

 DETECTORS		DIRECTIONS
 D1        1082		R          754
 D2        1431		RL         760
 D3        1662		FL         483
 D4        1510		F         1852
 D5        1359		FR        1610
 D6        1098		RR        2543

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.154	uSv h^-1	(6.7%)
 H*(10)_i	:	1.823	uSv     	(6.7%)
 h*(10)		:	95.7	pSv cm^2	(5.8%)
 phi		:	3.351	cm^-2 s^-1 	(3.3%)
 thermal   	:	0.3391
 epithermal	:	0.3929
 fast      	:	0.2681
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.74%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.488693E-03
2.580E-09	7.300341E-03
3.340E-09	1.187273E-02
4.310E-09	1.902661E-02
5.570E-09	3.023350E-02
7.190E-09	4.725276E-02
9.280E-09	7.247511E-02
1.200E-08	1.088340E-01
1.550E-08	1.581194E-01
2.000E-08	2.203615E-01
2.580E-08	3.150258E-01
3.340E-08	3.987449E-01
4.310E-08	4.668015E-01
5.570E-08	4.988419E-01
7.190E-08	4.782409E-01
9.280E-08	4.071919E-01
1.200E-07	3.104095E-01
1.550E-07	2.267046E-01
2.000E-07	1.791447E-01
2.580E-07	1.613373E-01
3.340E-07	1.556570E-01
4.310E-07	1.526073E-01
5.570E-07	1.498458E-01
7.190E-07	1.471757E-01
9.280E-07	1.445749E-01
1.200E-06	1.420218E-01
1.550E-06	1.395446E-01
2.000E-06	1.371398E-01
2.580E-06	1.347980E-01
3.340E-06	1.324838E-01
4.310E-06	1.302562E-01
5.570E-06	1.280719E-01
7.190E-06	1.259520E-01
9.280E-06	1.238862E-01
1.200E-05	1.218572E-01
1.550E-05	1.198875E-01
2.000E-05	1.179744E-01
2.580E-05	1.161103E-01
3.340E-05	1.142670E-01
4.310E-05	1.124915E-01
5.570E-05	1.107492E-01
7.190E-05	1.090569E-01
9.280E-05	1.074061E-01
1.200E-04	1.057829E-01
1.550E-04	1.042049E-01
2.000E-04	1.026698E-01
2.580E-04	1.011710E-01
3.340E-04	9.968521E-02
4.310E-04	9.824959E-02
5.570E-04	9.683530E-02
7.190E-04	9.545475E-02
9.280E-04	9.409953E-02
1.200E-03	9.276778E-02
1.550E-03	9.145607E-02
2.000E-03	9.016835E-02
2.580E-03	8.889854E-02
3.340E-03	8.762706E-02
4.310E-03	8.638829E-02
5.570E-03	8.516428E-02
7.190E-03	8.397997E-02
9.280E-03	8.285486E-02
1.200E-02	8.182673E-02
1.550E-02	8.098847E-02
2.000E-02	8.047181E-02
2.580E-02	8.048956E-02
3.340E-02	8.140105E-02
4.310E-02	8.370449E-02
5.570E-02	8.818077E-02
7.190E-02	9.579463E-02
9.280E-02	1.077801E-01
1.200E-01	1.255616E-01
1.550E-01	1.498313E-01
2.000E-01	1.802070E-01
2.580E-01	2.141903E-01
3.340E-01	2.464441E-01
4.310E-01	2.669830E-01
5.570E-01	2.659892E-01
7.190E-01	2.369935E-01
9.280E-01	1.831689E-01
1.200E+00	1.182098E-01
1.550E+00	6.171758E-02
2.000E+00	2.549390E-02
2.580E+00	8.820515E-03
3.340E+00	3.973591E-03
4.310E+00	4.232859E-03
5.570E+00	6.528612E-03
7.190E+00	1.039649E-02
9.280E+00	1.638382E-02
1.200E+01	2.549043E-02
1.550E+01	3.876733E-02
2.000E+01	5.731571E-02
2.580E+01	8.187357E-02
3.340E+01	1.124121E-01
4.310E+01	1.452954E-01
5.570E+01	1.749349E-01
7.190E+01	1.919273E-01
9.280E+01	1.873431E-01
1.200E+02	1.574235E-01
1.550E+02	1.097087E-01
2.000E+02	6.072804E-02
2.580E+02	2.539793E-02
3.340E+02	7.511672E-03
4.310E+02	1.575467E-03
5.570E+02	2.265963E-04
7.190E+02	2.157921E-05
9.280E+02	1.125726E-06
1.200E+03	2.362264E-08
1.550E+03	1.514122E-10
2.000E+03	2.073728E-13
2.580E+03	3.736796E-17
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

