 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5566.38 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0214

 DETECTORS		DIRECTIONS
 D1         876		R          379
 D2        1017		RL         737
 D3        1242		FL         949
 D4        1082		F         1504
 D5         807		FR        1064
 D6         553		RR         859

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.173	uSv h^-1	(7.7%)
 H*(10)_i	:	0.267	uSv     	(7.7%)
 h*(10)		:	22.1	pSv cm^2	(6.0%)
 phi		:	2.171	cm^-2 s^-1 	(4.9%)
 thermal   	:	0.3777
 epithermal	:	0.5806
 fast      	:	0.0418
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.36%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.490671E-03
2.580E-09	4.050789E-03
3.340E-09	6.587902E-03
4.310E-09	1.055742E-02
5.570E-09	1.677586E-02
7.190E-09	2.621946E-02
9.280E-09	4.021475E-02
1.200E-08	6.038943E-02
1.550E-08	8.773675E-02
2.000E-08	1.222734E-01
2.580E-08	1.876024E-01
3.340E-08	2.413077E-01
4.310E-08	2.894073E-01
5.570E-08	3.210020E-01
7.190E-08	3.255241E-01
9.280E-08	3.008037E-01
1.200E-07	2.562049E-01
1.550E-07	2.119120E-01
2.000E-07	1.841289E-01
2.580E-07	1.722449E-01
3.340E-07	1.670754E-01
4.310E-07	1.634308E-01
5.570E-07	1.599744E-01
7.190E-07	1.566161E-01
9.280E-07	1.533350E-01
1.200E-06	1.501042E-01
1.550E-06	1.469600E-01
2.000E-06	1.438988E-01
2.580E-06	1.409089E-01
3.340E-06	1.379455E-01
4.310E-06	1.350847E-01
5.570E-06	1.322715E-01
7.190E-06	1.295335E-01
9.280E-06	1.268577E-01
1.200E-05	1.242222E-01
1.550E-05	1.216565E-01
2.000E-05	1.191578E-01
2.580E-05	1.167166E-01
3.340E-05	1.142960E-01
4.310E-05	1.119583E-01
5.570E-05	1.096584E-01
7.190E-05	1.074188E-01
9.280E-05	1.052287E-01
1.200E-04	1.030700E-01
1.550E-04	1.009667E-01
2.000E-04	9.891613E-02
2.580E-04	9.691003E-02
3.340E-04	9.491776E-02
4.310E-04	9.298975E-02
5.570E-04	9.108809E-02
7.190E-04	8.923035E-02
9.280E-04	8.740632E-02
1.200E-03	8.561199E-02
1.550E-03	8.384800E-02
2.000E-03	8.211943E-02
2.580E-03	8.041947E-02
3.340E-03	7.872329E-02
4.310E-03	7.707725E-02
5.570E-03	7.545617E-02
7.190E-03	7.388776E-02
9.280E-03	7.238424E-02
1.200E-02	7.096462E-02
1.550E-02	6.968859E-02
2.000E-02	6.860708E-02
2.580E-02	6.776750E-02
3.340E-02	6.718678E-02
4.310E-02	6.682432E-02
5.570E-02	6.645695E-02
7.190E-02	6.564672E-02
9.280E-02	6.372875E-02
1.200E-01	5.996110E-02
1.550E-01	5.402390E-02
2.000E-01	4.635607E-02
2.580E-01	3.808511E-02
3.340E-01	3.027439E-02
4.310E-01	2.358751E-02
5.570E-01	1.769476E-02
7.190E-01	1.248130E-02
9.280E-01	8.044959E-03
1.200E+00	4.583622E-03
1.550E+00	2.246975E-03
2.000E+00	9.222874E-04
2.580E+00	3.294520E-04
3.340E+00	1.512006E-04
4.310E+00	1.586757E-04
5.570E+00	2.438665E-04
7.190E+00	3.887775E-04
9.280E+00	6.137894E-04
1.200E+01	9.571764E-04
1.550E+01	1.459972E-03
2.000E+01	2.166299E-03
2.580E+01	3.108222E-03
3.340E+01	4.290884E-03
4.310E+01	5.581619E-03
5.570E+01	6.770203E-03
7.190E+01	7.488421E-03
9.280E+01	7.370217E-03
1.200E+02	6.237274E-03
1.550E+02	4.359166E-03
2.000E+02	2.393744E-03
2.580E+02	9.676179E-04
3.340E+02	2.596875E-04
4.310E+02	4.313986E-05
5.570E+02	3.784713E-06
7.190E+02	1.525020E-07
9.280E+02	2.273447E-09
1.200E+03	9.091654E-12
1.550E+03	7.145331E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

