 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4984.04 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0225

 DETECTORS		DIRECTIONS
 D1        1933		R         1259
 D2        2150		RL        1420
 D3        2222		FL         955
 D4        1773		F         2160
 D5        1364		FR        1879
 D6         912		RR        2526

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.97
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.384	uSv h^-1	(6.6%)
 H*(10)_i	:	0.532	uSv     	(6.6%)
 h*(10)		:	21.7	pSv cm^2	(5.7%)
 phi		:	4.910	cm^-2 s^-1 	(3.3%)
 thermal   	:	0.5347
 epithermal	:	0.4300
 fast      	:	0.0353
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.49%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	9.619042E-03
2.580E-09	1.564426E-02
3.340E-09	2.544267E-02
4.310E-09	4.077307E-02
5.570E-09	6.478886E-02
7.190E-09	1.012603E-01
9.280E-09	1.553105E-01
1.200E-08	2.332257E-01
1.550E-08	3.388419E-01
2.000E-08	4.722235E-01
2.580E-08	6.967969E-01
3.340E-08	8.863434E-01
4.310E-08	1.045422E+00
5.570E-08	1.129995E+00
7.190E-08	1.101733E+00
9.280E-08	9.607458E-01
1.200E-07	7.556718E-01
1.550E-07	5.701467E-01
2.000E-07	4.586577E-01
2.580E-07	4.108093E-01
3.340E-07	3.892916E-01
4.310E-07	3.740000E-01
5.570E-07	3.597257E-01
7.190E-07	3.461120E-01
9.280E-07	3.330559E-01
1.200E-06	3.204367E-01
1.550E-06	3.083804E-01
2.000E-06	2.968558E-01
2.580E-06	2.858029E-01
3.340E-06	2.750461E-01
4.310E-06	2.648489E-01
5.570E-06	2.550004E-01
7.190E-06	2.455862E-01
9.280E-06	2.365486E-01
1.200E-05	2.278047E-01
1.550E-05	2.194426E-01
2.000E-05	2.114412E-01
2.580E-05	2.037595E-01
3.340E-05	1.962759E-01
4.310E-05	1.891740E-01
5.570E-05	1.823076E-01
7.190E-05	1.757367E-01
9.280E-05	1.694212E-01
1.200E-04	1.633036E-01
1.550E-04	1.574454E-01
2.000E-04	1.518321E-01
2.580E-04	1.464349E-01
3.340E-04	1.411679E-01
4.310E-04	1.361600E-01
5.570E-04	1.313077E-01
7.190E-04	1.266522E-01
9.280E-04	1.221644E-01
1.200E-03	1.178236E-01
1.550E-03	1.136419E-01
2.000E-03	1.096234E-01
2.580E-03	1.057503E-01
3.340E-03	1.019661E-01
4.310E-03	9.837333E-02
5.570E-03	9.491509E-02
7.190E-03	9.164969E-02
9.280E-03	8.860148E-02
1.200E-02	8.581121E-02
1.550E-02	8.340300E-02
2.000E-02	8.148870E-02
2.580E-02	8.018832E-02
3.340E-02	7.959828E-02
4.310E-02	7.972529E-02
5.570E-02	8.030930E-02
7.190E-02	8.070695E-02
9.280E-02	7.985838E-02
1.200E-01	7.646791E-02
1.550E-01	6.969324E-02
2.000E-01	5.983845E-02
2.580E-01	4.843383E-02
3.340E-01	3.725608E-02
4.310E-01	2.772025E-02
5.570E-01	1.972416E-02
7.190E-01	1.319064E-02
9.280E-01	8.109495E-03
1.200E+00	4.489486E-03
1.550E+00	2.249702E-03
2.000E+00	1.105747E-03
2.580E+00	7.203196E-04
3.340E+00	8.000070E-04
4.310E+00	1.158798E-03
5.570E+00	1.750954E-03
7.190E+00	2.617583E-03
9.280E+00	3.863673E-03
1.200E+01	5.659571E-03
1.550E+01	8.205851E-03
2.000E+01	1.176430E-02
2.580E+01	1.658462E-02
3.340E+01	2.280334E-02
4.310E+01	2.981116E-02
5.570E+01	3.653150E-02
7.190E+01	4.096404E-02
9.280E+01	4.100682E-02
1.200E+02	3.543393E-02
1.550E+02	2.540104E-02
2.000E+02	1.439854E-02
2.580E+02	6.075908E-03
3.340E+02	1.746506E-03
4.310E+02	3.302081E-04
5.570E+02	3.847031E-05
7.190E+02	2.820451E-06
9.280E+02	1.198641E-07
1.200E+03	2.153708E-09
1.550E+03	1.148737E-11
2.000E+03	1.207049E-14
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

