 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8526.47 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0227

 DETECTORS		DIRECTIONS
 D1        6628		R         4270
 D2        8227		RL        4461
 D3        9295		FL        2964
 D4        8531		F        10554
 D5        7298		FR        8427
 D6        5355		RR       14054

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	2.845	uSv h^-1	(6.6%)
 H*(10)_i	:	6.738	uSv     	(6.6%)
 h*(10)		:	64.1	pSv cm^2	(6.1%)
 phi		:	12.336	cm^-2 s^-1 	(2.3%)
 thermal   	:	0.3770
 epithermal	:	0.4432
 fast      	:	0.1799
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.16%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.962269E-02
2.580E-09	3.191405E-02
3.340E-09	5.190263E-02
4.310E-09	8.317641E-02
5.570E-09	1.321683E-01
7.190E-09	2.065694E-01
9.280E-09	3.168310E-01
1.200E-08	4.757768E-01
1.550E-08	6.912320E-01
2.000E-08	9.633285E-01
2.580E-08	1.352128E+00
3.340E-08	1.704779E+00
4.310E-08	1.983782E+00
5.570E-08	2.099839E+00
7.190E-08	1.983093E+00
9.280E-08	1.649318E+00
1.200E-07	1.213843E+00
1.550E-07	8.478434E-01
2.000E-07	6.457720E-01
2.580E-07	5.746138E-01
3.340E-07	5.563776E-01
4.310E-07	5.493377E-01
5.570E-07	5.433795E-01
7.190E-07	5.375852E-01
9.280E-07	5.318906E-01
1.200E-06	5.262499E-01
1.550E-06	5.207272E-01
2.000E-06	5.153182E-01
2.580E-06	5.100036E-01
3.340E-06	5.047046E-01
4.310E-06	4.995583E-01
5.570E-06	4.944672E-01
7.190E-06	4.894825E-01
9.280E-06	4.845819E-01
1.200E-05	4.797261E-01
1.550E-05	4.749704E-01
2.000E-05	4.703109E-01
2.580E-05	4.657311E-01
3.340E-05	4.611624E-01
4.310E-05	4.567229E-01
5.570E-05	4.523281E-01
7.190E-05	4.480217E-01
9.280E-05	4.437837E-01
1.200E-04	4.395791E-01
1.550E-04	4.354546E-01
2.000E-04	4.314053E-01
2.580E-04	4.274148E-01
3.340E-04	4.234207E-01
4.310E-04	4.195228E-01
5.570E-04	4.156427E-01
7.190E-04	4.118133E-01
9.280E-04	4.080102E-01
1.200E-03	4.042697E-01
1.550E-03	4.005191E-01
2.000E-03	3.967992E-01
2.580E-03	3.930984E-01
3.340E-03	3.893705E-01
4.310E-03	3.857368E-01
5.570E-03	3.821820E-01
7.190E-03	3.788418E-01
9.280E-03	3.758772E-01
1.200E-02	3.735720E-01
1.550E-02	3.724508E-01
2.000E-02	3.732686E-01
2.580E-02	3.771622E-01
3.340E-02	3.859215E-01
4.310E-02	4.015038E-01
5.570E-02	4.266931E-01
7.190E-02	4.636534E-01
9.280E-02	5.136073E-01
1.200E-01	5.752157E-01
1.550E-01	6.407511E-01
2.000E-01	6.967294E-01
2.580E-01	7.249187E-01
3.340E-01	7.066756E-01
4.310E-01	6.332722E-01
5.570E-01	5.114125E-01
7.190E-01	3.661385E-01
9.280E-01	2.278628E-01
1.200E+00	1.202230E-01
1.550E+00	5.340328E-02
2.000E+00	2.059131E-02
2.580E+00	8.820400E-03
3.340E+00	7.418734E-03
4.310E+00	1.069980E-02
5.570E+00	1.709302E-02
7.190E+00	2.721265E-02
9.280E+00	4.276680E-02
1.200E+01	6.629645E-02
1.550E+01	1.003569E-01
2.000E+01	1.474831E-01
2.580E+01	2.090468E-01
3.340E+01	2.841157E-01
4.310E+01	3.624833E-01
5.570E+01	4.290981E-01
7.190E+01	4.605735E-01
9.280E+01	4.368709E-01
1.200E+02	3.532857E-01
1.550E+02	2.336906E-01
2.000E+02	1.200953E-01
2.580E+02	4.482414E-02
3.340E+02	1.092331E-02
4.310E+02	1.625177E-03
5.570E+02	1.266077E-04
7.190E+02	4.590350E-06
9.280E+02	6.487774E-08
1.200E+03	2.732496E-10
1.550E+03	2.621639E-13
2.000E+03	3.220987E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

