 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9148.01 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0229

 DETECTORS		DIRECTIONS
 D1        1527		R          895
 D2        1653		RL        1121
 D3        1708		FL         943
 D4        1474		F         1878
 D5        1185		FR        1603
 D6         847		RR        1823

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.19
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.311	uSv h^-1	(7.9%)
 H*(10)_i	:	0.789	uSv     	(7.9%)
 h*(10)		:	41.6	pSv cm^2	(7.1%)
 phi		:	2.072	cm^-2 s^-1 	(3.4%)
 thermal   	:	0.4449
 epithermal	:	0.4569
 fast      	:	0.0981
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.73%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.228934E-03
2.580E-09	5.251489E-03
3.340E-09	8.540631E-03
4.310E-09	1.368676E-02
5.570E-09	2.174842E-02
7.190E-09	3.399120E-02
9.280E-09	5.213486E-02
1.200E-08	7.828955E-02
1.550E-08	1.137429E-01
2.000E-08	1.585167E-01
2.580E-08	2.356305E-01
3.340E-08	3.004897E-01
4.310E-08	3.557849E-01
5.570E-08	3.869097E-01
7.190E-08	3.808613E-01
9.280E-08	3.370813E-01
1.200E-07	2.709560E-01
1.550E-07	2.100647E-01
2.000E-07	1.732441E-01
2.580E-07	1.575949E-01
3.340E-07	1.507360E-01
4.310E-07	1.459187E-01
5.570E-07	1.414037E-01
7.190E-07	1.370713E-01
9.280E-07	1.328908E-01
1.200E-06	1.288254E-01
1.550E-06	1.249175E-01
2.000E-06	1.211594E-01
2.580E-06	1.175336E-01
3.340E-06	1.139837E-01
4.310E-06	1.105983E-01
5.570E-06	1.073095E-01
7.190E-06	1.041472E-01
9.280E-06	1.010937E-01
1.200E-05	9.812226E-02
1.550E-05	9.526411E-02
2.000E-05	9.251357E-02
2.580E-05	8.985792E-02
3.340E-05	8.725600E-02
4.310E-05	8.477278E-02
5.570E-05	8.235839E-02
7.190E-05	8.003487E-02
9.280E-05	7.778922E-02
1.200E-04	7.560171E-02
1.550E-04	7.349523E-02
2.000E-04	7.146549E-02
2.580E-04	6.950294E-02
3.340E-04	6.757686E-02
4.310E-04	6.573499E-02
5.570E-04	6.393989E-02
7.190E-04	6.220737E-02
9.280E-04	6.052698E-02
1.200E-03	5.888533E-02
1.550E-03	5.729505E-02
2.000E-03	5.575327E-02
2.580E-03	5.425148E-02
3.340E-03	5.276447E-02
4.310E-03	5.132768E-02
5.570E-03	4.991109E-02
7.190E-03	4.852699E-02
9.280E-03	4.716890E-02
1.200E-02	4.582885E-02
1.550E-02	4.453028E-02
2.000E-02	4.328857E-02
2.580E-02	4.212828E-02
3.340E-02	4.108160E-02
4.310E-02	4.024649E-02
5.570E-02	3.970100E-02
7.190E-02	3.956308E-02
9.280E-02	3.993180E-02
1.200E-01	4.085581E-02
1.550E-01	4.221180E-02
2.000E-01	4.362351E-02
2.580E-01	4.440160E-02
3.340E-01	4.358011E-02
4.310E-01	4.028613E-02
5.570E-01	3.416557E-02
7.190E-01	2.594933E-02
9.280E-01	1.719624E-02
1.200E+00	9.647623E-03
1.550E+00	4.531416E-03
2.000E+00	1.843698E-03
2.580E+00	8.338238E-04
3.340E+00	7.116015E-04
4.310E+00	1.021138E-03
5.570E+00	1.637382E-03
7.190E+00	2.626734E-03
9.280E+00	4.169645E-03
1.200E+01	6.547964E-03
1.550E+01	1.007721E-02
2.000E+01	1.512399E-02
2.580E+01	2.201813E-02
3.340E+01	3.097366E-02
4.310E+01	4.125472E-02
5.570E+01	5.156753E-02
7.190E+01	5.922631E-02
9.280E+01	6.109331E-02
1.200E+02	5.481810E-02
1.550E+02	4.114495E-02
2.000E+02	2.461881E-02
2.580E+02	1.102147E-02
3.340E+02	3.340802E-03
4.310E+02	6.382831E-04
5.570E+02	6.595609E-05
7.190E+02	3.232053E-06
9.280E+02	6.234599E-08
1.200E+03	3.715373E-10
1.550E+03	5.749450E-13
2.000E+03	1.635448E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

