 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 7425.42 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0230

 DETECTORS		DIRECTIONS
 D1         788		R          543
 D2         981		RL         881
 D3        1065		FL         643
 D4         815		F         1051
 D5         707		FR         661
 D6         442		RR         951

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;9315-0;1-0.78
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.113	uSv h^-1	(7.2%)
 H*(10)_i	:	0.233	uSv     	(7.2%)
 h*(10)		:	22.7	pSv cm^2	(5.4%)
 phi		:	1.382	cm^-2 s^-1 	(4.7%)
 thermal   	:	0.3875
 epithermal	:	0.5719
 fast      	:	0.0407
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.64%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	9.341858E-04
2.580E-09	1.519345E-03
3.340E-09	2.470950E-03
4.310E-09	3.959814E-03
5.570E-09	6.292189E-03
7.190E-09	9.834235E-03
9.280E-09	1.508350E-02
1.200E-08	2.265050E-02
1.550E-08	3.290777E-02
2.000E-08	4.586158E-02
2.580E-08	8.886099E-02
3.340E-08	1.187130E-01
4.310E-08	1.501638E-01
5.570E-08	1.793139E-01
7.190E-08	2.001179E-01
9.280E-08	2.072866E-01
1.200E-07	1.991312E-01
1.550E-07	1.822386E-01
2.000E-07	1.673449E-01
2.580E-07	1.578719E-01
3.340E-07	1.510429E-01
4.310E-07	1.450625E-01
5.570E-07	1.393330E-01
7.190E-07	1.338581E-01
9.280E-07	1.286030E-01
1.200E-06	1.235198E-01
1.550E-06	1.186602E-01
2.000E-06	1.140122E-01
2.580E-06	1.095523E-01
3.340E-06	1.052102E-01
4.310E-06	1.010927E-01
5.570E-06	9.711517E-02
7.190E-06	9.331257E-02
9.280E-06	8.966198E-02
1.200E-05	8.613026E-02
1.550E-05	8.275326E-02
2.000E-05	7.952272E-02
2.580E-05	7.642231E-02
3.340E-05	7.340316E-02
4.310E-05	7.053950E-02
5.570E-05	6.777252E-02
7.190E-05	6.512645E-02
9.280E-05	6.258534E-02
1.200E-04	6.012604E-02
1.550E-04	5.777342E-02
2.000E-04	5.552163E-02
2.580E-04	5.335916E-02
3.340E-04	5.125168E-02
4.310E-04	4.925078E-02
5.570E-04	4.731506E-02
7.190E-04	4.546107E-02
9.280E-04	4.367719E-02
1.200E-03	4.196089E-02
1.550E-03	4.030955E-02
2.000E-03	3.872918E-02
2.580E-03	3.721433E-02
3.340E-03	3.574584E-02
4.310E-03	3.436779E-02
5.570E-03	3.306492E-02
7.190E-03	3.186966E-02
9.280E-03	3.080656E-02
1.200E-02	2.991471E-02
1.550E-02	2.926995E-02
2.000E-02	2.895109E-02
2.580E-02	2.904412E-02
3.340E-02	2.962935E-02
4.310E-02	3.068604E-02
5.570E-02	3.205962E-02
7.190E-02	3.331747E-02
9.280E-02	3.377815E-02
1.200E-01	3.263347E-02
1.550E-01	2.938592E-02
2.000E-01	2.432151E-02
2.580E-01	1.851604E-02
3.340E-01	1.317257E-02
4.310E-01	9.099517E-03
5.570E-01	6.129102E-03
7.190E-01	3.979575E-03
9.280E-01	2.424950E-03
1.200E+00	1.339434E-03
1.550E+00	6.557036E-04
2.000E+00	2.908827E-04
2.580E+00	1.487262E-04
3.340E+00	1.385263E-04
4.310E+00	2.020521E-04
5.570E+00	3.237354E-04
7.190E+00	5.178763E-04
9.280E+00	8.190255E-04
1.200E+01	1.280012E-03
1.550E+01	1.957807E-03
2.000E+01	2.915227E-03
2.580E+01	4.201522E-03
3.340E+01	5.833587E-03
4.310E+01	7.642885E-03
5.570E+01	9.354462E-03
7.190E+01	1.046336E-02
9.280E+01	1.044199E-02
1.200E+02	8.990580E-03
1.550E+02	6.418219E-03
2.000E+02	3.618595E-03
2.580E+02	1.512721E-03
3.340E+02	4.247185E-04
4.310E+02	7.501277E-05
5.570E+02	7.174402E-06
7.190E+02	3.257219E-07
9.280E+02	5.704971E-09
1.200E+03	2.834987E-11
1.550E+03	2.993454E-14
2.000E+03	3.314540E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

