 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6268.42 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0231

 DETECTORS		DIRECTIONS
 D1         460		R          279
 D2         538		RL         490
 D3         580		FL         349
 D4         467		F          619
 D5         379		FR         393
 D6         252		RR         506

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.146	uSv h^-1	(9.8%)
 H*(10)_i	:	0.254	uSv     	(9.8%)
 h*(10)		:	39.5	pSv cm^2	(8.3%)
 phi		:	1.024	cm^-2 s^-1 	(5.3%)
 thermal   	:	0.5039
 epithermal	:	0.3999
 fast      	:	0.0961
-------------------------------------------------------------
 Average experimental data uncertainty	:	4.86%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.069832E-03
2.580E-09	3.366342E-03
3.340E-09	5.474769E-03
4.310E-09	8.773575E-03
5.570E-09	1.394131E-02
7.190E-09	2.178925E-02
9.280E-09	3.341981E-02
1.200E-08	5.018566E-02
1.550E-08	7.291221E-02
2.000E-08	1.016134E-01
2.580E-08	1.459095E-01
3.340E-08	1.845930E-01
4.310E-08	2.159249E-01
5.570E-08	2.303936E-01
7.190E-08	2.202070E-01
9.280E-08	1.863582E-01
1.200E-07	1.404308E-01
1.550E-07	1.006225E-01
2.000E-07	7.764681E-02
2.580E-07	6.848051E-02
3.340E-07	6.495274E-02
4.310E-07	6.270381E-02
5.570E-07	6.063476E-02
7.190E-07	5.866049E-02
9.280E-07	5.676501E-02
1.200E-06	5.493095E-02
1.550E-06	5.317686E-02
2.000E-06	5.149839E-02
2.580E-06	4.988701E-02
3.340E-06	4.831726E-02
4.310E-06	4.682772E-02
5.570E-06	4.538778E-02
7.190E-06	4.401005E-02
9.280E-06	4.268625E-02
1.200E-05	4.140433E-02
1.550E-05	4.017731E-02
2.000E-05	3.900222E-02
2.580E-05	3.787312E-02
3.340E-05	3.677221E-02
4.310E-05	3.572658E-02
5.570E-05	3.471477E-02
7.190E-05	3.374567E-02
9.280E-05	3.281346E-02
1.200E-04	3.190964E-02
1.550E-04	3.104337E-02
2.000E-04	3.021251E-02
2.580E-04	2.941282E-02
3.340E-04	2.863154E-02
4.310E-04	2.788777E-02
5.570E-04	2.716607E-02
7.190E-04	2.647252E-02
9.280E-04	2.580265E-02
1.200E-03	2.515394E-02
1.550E-03	2.452700E-02
2.000E-03	2.392274E-02
2.580E-03	2.333833E-02
3.340E-03	2.276510E-02
4.310E-03	2.221862E-02
5.570E-03	2.169062E-02
7.190E-03	2.119100E-02
9.280E-03	2.072582E-02
1.200E-02	2.030618E-02
1.550E-02	1.996051E-02
2.000E-02	1.972331E-02
2.580E-02	1.964421E-02
3.340E-02	1.979586E-02
4.310E-02	2.026034E-02
5.570E-02	2.113271E-02
7.190E-02	2.246984E-02
9.280E-02	2.426800E-02
1.200E-01	2.640608E-02
1.550E-01	2.852570E-02
2.000E-01	3.008411E-02
2.580E-01	3.040984E-02
3.340E-01	2.884947E-02
4.310E-01	2.518524E-02
5.570E-01	1.975416E-02
7.190E-01	1.361638E-02
9.280E-01	8.019412E-03
1.200E+00	3.902867E-03
1.550E+00	1.565313E-03
2.000E+00	5.640398E-04
2.580E+00	2.789619E-04
3.340E+00	2.970502E-04
4.310E+00	4.530827E-04
5.570E+00	7.285135E-04
7.190E+00	1.163695E-03
9.280E+00	1.836437E-03
1.200E+01	2.862220E-03
1.550E+01	4.362908E-03
2.000E+01	6.469209E-03
2.580E+01	9.275965E-03
3.340E+01	1.279928E-02
4.310E+01	1.664947E-02
5.570E+01	2.021516E-02
7.190E+01	2.242404E-02
9.280E+01	2.220714E-02
1.200E+02	1.901893E-02
1.550E+02	1.357611E-02
2.000E+02	7.725024E-03
2.580E+02	3.308580E-03
3.340E+02	9.749700E-04
4.310E+02	1.874550E-04
5.570E+02	2.079235E-05
7.190E+02	1.218375E-06
9.280E+02	3.245675E-08
1.200E+03	3.002696E-10
1.550E+03	7.088540E-13
2.000E+03	2.704806E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

