 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8045.74 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0234

 DETECTORS		DIRECTIONS
 D1          87		R           81
 D2         121		RL         109
 D3         130		FL          74
 D4         126		F          140
 D5          95		FR         101
 D6          67		RR         113

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.044	uSv h^-1	(12.6%)
 H*(10)_i	:	0.099	uSv     	(12.6%)
 h*(10)		:	69.2	pSv cm^2	(7.5%)
 phi		:	0.178	cm^-2 s^-1 	(10.1%)
 thermal   	:	0.3519
 epithermal	:	0.4625
 fast      	:	0.1855
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.99%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.153466E-04
2.580E-09	3.502364E-04
3.340E-09	5.695985E-04
4.310E-09	9.128084E-04
5.570E-09	1.450463E-03
7.190E-09	2.266968E-03
9.280E-09	3.477019E-03
1.200E-08	5.221348E-03
1.550E-08	7.585833E-03
2.000E-08	1.057192E-02
2.580E-08	1.572160E-02
3.340E-08	2.006745E-02
4.310E-08	2.379385E-02
5.570E-08	2.593595E-02
7.190E-08	2.563001E-02
9.280E-08	2.282887E-02
1.200E-07	1.853259E-02
1.550E-07	1.455724E-02
2.000E-07	1.216588E-02
2.580E-07	1.117997E-02
3.340E-07	1.077858E-02
4.310E-07	1.051046E-02
5.570E-07	1.026069E-02
7.190E-07	1.002084E-02
9.280E-07	9.789150E-03
1.200E-06	9.563603E-03
1.550E-06	9.346573E-03
2.000E-06	9.137640E-03
2.580E-06	8.935846E-03
3.340E-06	8.738077E-03
4.310E-06	8.549278E-03
5.570E-06	8.365673E-03
7.190E-06	8.188950E-03
9.280E-06	8.018137E-03
1.200E-05	7.851748E-03
1.550E-05	7.691543E-03
2.000E-05	7.537219E-03
2.580E-05	7.388075E-03
3.340E-05	7.241807E-03
4.310E-05	7.102079E-03
5.570E-05	6.966092E-03
7.190E-05	6.835098E-03
9.280E-05	6.708371E-03
1.200E-04	6.584800E-03
1.550E-04	6.465681E-03
2.000E-04	6.350772E-03
2.580E-04	6.239531E-03
3.340E-04	6.130206E-03
4.310E-04	6.025492E-03
5.570E-04	5.923245E-03
7.190E-04	5.824333E-03
9.280E-04	5.728126E-03
1.200E-03	5.634186E-03
1.550E-03	5.542649E-03
2.000E-03	5.453558E-03
2.580E-03	5.366413E-03
3.340E-03	5.279762E-03
4.310E-03	5.195761E-03
5.570E-03	5.112868E-03
7.190E-03	5.032237E-03
9.280E-03	4.954287E-03
1.200E-02	4.879996E-03
1.550E-02	4.813084E-03
2.000E-02	4.758212E-03
2.580E-02	4.722713E-03
3.340E-02	4.718272E-03
4.310E-02	4.761898E-03
5.570E-02	4.876665E-03
7.190E-02	5.089240E-03
9.280E-02	5.429094E-03
1.200E-01	5.923584E-03
1.550E-01	6.569022E-03
2.000E-01	7.320866E-03
2.580E-01	8.066881E-03
3.340E-01	8.612945E-03
4.310E-01	8.681224E-03
5.570E-01	8.050872E-03
7.190E-01	6.686950E-03
9.280E-01	4.832992E-03
1.200E+00	2.935757E-03
1.550E+00	1.462872E-03
2.000E+00	5.956708E-04
2.580E+00	2.266074E-04
3.340E+00	1.389319E-04
4.310E+00	1.758209E-04
5.570E+00	2.765269E-04
7.190E+00	4.404720E-04
9.280E+00	6.936433E-04
1.200E+01	1.078212E-03
1.550E+01	1.638008E-03
2.000E+01	2.418554E-03
2.580E+01	3.449536E-03
3.340E+01	4.727744E-03
4.310E+01	6.098504E-03
5.570E+01	7.325676E-03
7.190E+01	8.014819E-03
9.280E+01	7.792464E-03
1.200E+02	6.502787E-03
1.550E+02	4.468827E-03
2.000E+02	2.399854E-03
2.580E+02	9.387648E-04
3.340E+02	2.389993E-04
4.310E+02	3.647869E-05
5.570E+02	2.788613E-06
7.190E+02	9.047045E-08
9.280E+02	9.694565E-10
1.200E+03	2.388419E-12
1.550E+03	9.618337E-16
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

