 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5283.74 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0235

 DETECTORS		DIRECTIONS
 D1          36		R           18
 D2          28		RL          28
 D3          37		FL          38
 D4          33		F           35
 D5          36		FR          44
 D6          19		RR          23

------------------ INTERNAL DATA REF ------------------------
4-0
0.82;0-0;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.045	uSv h^-1	(29.6%)
 H*(10)_i	:	0.066	uSv     	(29.6%)
 h*(10)		:	141.0	pSv cm^2	(6.4%)
 phi		:	0.088	cm^-2 s^-1 	(28.9%)
 thermal   	:	0.3018
 epithermal	:	0.3110
 fast      	:	0.3872
-------------------------------------------------------------
 Average experimental data uncertainty	:	18.17%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.218925E-04
2.580E-09	1.982440E-04
3.340E-09	3.224093E-04
4.310E-09	5.166761E-04
5.570E-09	8.210041E-04
7.190E-09	1.283170E-03
9.280E-09	1.968094E-03
1.200E-08	2.955435E-03
1.550E-08	4.293802E-03
2.000E-08	5.984014E-03
2.580E-08	8.245059E-03
3.340E-08	1.034832E-02
4.310E-08	1.195694E-02
5.570E-08	1.251152E-02
7.190E-08	1.159435E-02
9.280E-08	9.344274E-03
1.200E-07	6.530092E-03
1.550E-07	4.231314E-03
2.000E-07	2.993625E-03
2.580E-07	2.576604E-03
3.340E-07	2.488641E-03
4.310E-07	2.469552E-03
5.570E-07	2.456970E-03
7.190E-07	2.444946E-03
9.280E-07	2.433188E-03
1.200E-06	2.421597E-03
1.550E-06	2.410304E-03
2.000E-06	2.399297E-03
2.580E-06	2.388536E-03
3.340E-06	2.377860E-03
4.310E-06	2.367544E-03
5.570E-06	2.357390E-03
7.190E-06	2.347497E-03
9.280E-06	2.337821E-03
1.200E-05	2.328282E-03
1.550E-05	2.318986E-03
2.000E-05	2.309924E-03
2.580E-05	2.301060E-03
3.340E-05	2.292261E-03
4.310E-05	2.283750E-03
5.570E-05	2.275363E-03
7.190E-05	2.267179E-03
9.280E-05	2.259154E-03
1.200E-04	2.251219E-03
1.550E-04	2.243455E-03
2.000E-04	2.235844E-03
2.580E-04	2.228346E-03
3.340E-04	2.220832E-03
4.310E-04	2.213473E-03
5.570E-04	2.206103E-03
7.190E-04	2.198760E-03
9.280E-04	2.191365E-03
1.200E-03	2.183846E-03
1.550E-03	2.176149E-03
2.000E-03	2.168212E-03
2.580E-03	2.159902E-03
3.340E-03	2.150947E-03
4.310E-03	2.141413E-03
5.570E-03	2.130931E-03
7.190E-03	2.119381E-03
9.280E-03	2.106475E-03
1.200E-02	2.091847E-03
1.550E-02	2.075455E-03
2.000E-02	2.057244E-03
2.580E-02	2.037375E-03
3.340E-02	2.016266E-03
4.310E-02	1.996143E-03
5.570E-02	1.979896E-03
7.190E-02	1.973450E-03
9.280E-02	1.986199E-03
1.200E-01	2.033547E-03
1.550E-01	2.136766E-03
2.000E-01	2.324281E-03
2.580E-01	2.630023E-03
3.340E-01	3.092889E-03
4.310E-01	3.712761E-03
5.570E-01	4.462600E-03
7.190E-01	5.216914E-03
9.280E-01	5.764106E-03
1.200E+00	5.831804E-03
1.550E+00	5.214668E-03
2.000E+00	3.968302E-03
2.580E+00	2.462659E-03
3.340E+00	1.193302E-03
4.310E+00	5.012856E-04
5.570E+00	3.062030E-04
7.190E+00	3.854694E-04
9.280E+00	6.032409E-04
1.200E+01	9.544212E-04
1.550E+01	1.484323E-03
2.000E+01	2.257957E-03
2.580E+01	3.344916E-03
3.340E+01	4.813920E-03
4.310E+01	6.601145E-03
5.570E+01	8.569227E-03
7.190E+01	1.033215E-02
9.280E+01	1.134748E-02
1.200E+02	1.104706E-02
1.550E+02	9.207873E-03
2.000E+02	6.302544E-03
2.580E+02	3.353711E-03
3.340E+02	1.273551E-03
4.310E+02	3.239090E-04
5.570E+02	4.844251E-05
7.190E+02	3.811995E-06
9.280E+02	1.349765E-07
1.200E+03	1.731343E-09
1.550E+03	6.576713E-12
2.000E+03	5.177085E-15
2.580E+03	4.824584E-19
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

