 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4063.31 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0236

 DETECTORS		DIRECTIONS
 D1         282		R          142
 D2         258		RL         230
 D3         229		FL         156
 D4         192		F          258
 D5         138		FR         154
 D6          81		RR         222

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;9315-0;1-0.83
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.091	uSv h^-1	(16.0%)
 H*(10)_i	:	0.103	uSv     	(16.0%)
 h*(10)		:	31.3	pSv cm^2	(10.5%)
 phi		:	0.811	cm^-2 s^-1 	(12.0%)
 thermal   	:	0.7609
 epithermal	:	0.1780
 fast      	:	0.0611
-------------------------------------------------------------
 Average experimental data uncertainty	:	7.60%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.172446E-03
2.580E-09	5.159618E-03
3.340E-09	8.391219E-03
4.310E-09	1.344732E-02
5.570E-09	2.136795E-02
7.190E-09	3.339655E-02
9.280E-09	5.122279E-02
1.200E-08	7.691993E-02
1.550E-08	1.117531E-01
2.000E-08	1.557435E-01
2.580E-08	2.113958E-01
3.340E-08	2.638897E-01
4.310E-08	3.023005E-01
5.570E-08	3.117387E-01
7.190E-08	2.815684E-01
9.280E-08	2.164724E-01
1.200E-07	1.381699E-01
1.550E-07	7.567355E-02
2.000E-07	4.219657E-02
2.580E-07	3.040154E-02
3.340E-07	2.722866E-02
4.310E-07	2.591401E-02
5.570E-07	2.481528E-02
7.190E-07	2.378255E-02
9.280E-07	2.280195E-02
1.200E-06	2.186332E-02
1.550E-06	2.097505E-02
2.000E-06	2.013373E-02
2.580E-06	1.933405E-02
3.340E-06	1.856261E-02
4.310E-06	1.783754E-02
5.570E-06	1.714306E-02
7.190E-06	1.648455E-02
9.280E-06	1.585733E-02
1.200E-05	1.525512E-02
1.550E-05	1.468349E-02
2.000E-05	1.414045E-02
2.580E-05	1.362274E-02
3.340E-05	1.312181E-02
4.310E-05	1.264957E-02
5.570E-05	1.219590E-02
7.190E-05	1.176444E-02
9.280E-05	1.135223E-02
1.200E-04	1.095524E-02
1.550E-04	1.057723E-02
2.000E-04	1.021696E-02
2.580E-04	9.872359E-03
3.340E-04	9.537755E-03
4.310E-04	9.221136E-03
5.570E-04	8.915746E-03
7.190E-04	8.624017E-03
9.280E-04	8.343934E-03
1.200E-03	8.074179E-03
1.550E-03	7.815182E-03
2.000E-03	7.567130E-03
2.580E-03	7.328792E-03
3.340E-03	7.096616E-03
4.310E-03	6.876842E-03
5.570E-03	6.666001E-03
7.190E-03	6.467802E-03
9.280E-03	6.284100E-03
1.200E-02	6.118179E-03
1.550E-02	5.979005E-03
2.000E-02	5.875907E-03
2.580E-02	5.820583E-03
3.340E-02	5.827015E-03
4.310E-02	5.906617E-03
5.570E-02	6.063280E-03
7.190E-02	6.283184E-03
9.280E-02	6.535306E-03
1.200E-01	6.777643E-03
1.550E-01	6.968121E-03
2.000E-01	7.088930E-03
2.580E-01	7.122372E-03
3.340E-01	6.992457E-03
4.310E-01	6.555954E-03
5.570E-01	5.685325E-03
7.190E-01	4.438852E-03
9.280E-01	3.068858E-03
1.200E+00	1.887845E-03
1.550E+00	1.105473E-03
2.000E+00	7.045231E-04
2.580E+00	5.482230E-04
3.340E+00	5.108900E-04
4.310E+00	5.393910E-04
5.570E+00	6.518125E-04
7.190E+00	9.073480E-04
9.280E+00	1.375417E-03
1.200E+01	2.134944E-03
1.550E+01	3.268835E-03
2.000E+01	4.879242E-03
2.580E+01	7.054696E-03
3.340E+01	9.836386E-03
4.310E+01	1.295671E-02
5.570E+01	1.596960E-02
7.190E+01	1.802370E-02
9.280E+01	1.819479E-02
1.200E+02	1.589781E-02
1.550E+02	1.155850E-02
2.000E+02	6.661748E-03
2.580E+02	2.855880E-03
3.340E+02	8.232531E-04
4.310E+02	1.485603E-04
5.570E+02	1.431627E-05
7.190E+02	6.371195E-07
9.280E+02	1.047446E-08
1.200E+03	4.589197E-11
1.550E+03	3.924542E-14
2.000E+03	3.321122E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

