 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6685.91 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0238

 DETECTORS		DIRECTIONS
 D1        2016		R          962
 D2        2341		RL        1536
 D3        2464		FL        1590
 D4        1921		F         2773
 D5        1579		FR        2108
 D6         972		RR        2177

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.278	uSv h^-1	(8.6%)
 H*(10)_i	:	0.516	uSv     	(8.6%)
 h*(10)		:	19.7	pSv cm^2	(7.1%)
 phi		:	3.915	cm^-2 s^-1 	(4.9%)
 thermal   	:	0.5088
 epithermal	:	0.4606
 fast      	:	0.0307
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.39%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.315056E-03
2.580E-09	1.189709E-02
3.340E-09	1.934855E-02
4.310E-09	3.100696E-02
5.570E-09	4.927041E-02
7.190E-09	7.700607E-02
9.280E-09	1.181100E-01
1.200E-08	1.773627E-01
1.550E-08	2.576813E-01
2.000E-08	3.591149E-01
2.580E-08	5.272668E-01
3.340E-08	6.705294E-01
4.310E-08	7.905725E-01
5.570E-08	8.541090E-01
7.190E-08	8.323587E-01
9.280E-08	7.257599E-01
1.200E-07	5.713549E-01
1.550E-07	4.322970E-01
2.000E-07	3.495379E-01
2.580E-07	3.150256E-01
3.340E-07	3.004102E-01
4.310E-07	2.903662E-01
5.570E-07	2.809720E-01
7.190E-07	2.719491E-01
9.280E-07	2.632335E-01
1.200E-06	2.547490E-01
1.550E-06	2.465850E-01
2.000E-06	2.387259E-01
2.580E-06	2.311357E-01
3.340E-06	2.236973E-01
4.310E-06	2.165968E-01
5.570E-06	2.096920E-01
7.190E-06	2.030467E-01
9.280E-06	1.966241E-01
1.200E-05	1.903685E-01
1.550E-05	1.843459E-01
2.000E-05	1.785452E-01
2.580E-05	1.729398E-01
3.340E-05	1.674433E-01
4.310E-05	1.621933E-01
5.570E-05	1.570849E-01
7.190E-05	1.521652E-01
9.280E-05	1.474069E-01
1.200E-04	1.427688E-01
1.550E-04	1.382995E-01
2.000E-04	1.339906E-01
2.580E-04	1.298222E-01
3.340E-04	1.257293E-01
4.310E-04	1.218139E-01
5.570E-04	1.179969E-01
7.190E-04	1.143125E-01
9.280E-04	1.107389E-01
1.200E-03	1.072640E-01
1.550E-03	1.038946E-01
2.000E-03	1.006374E-01
2.580E-03	9.747948E-02
3.340E-03	9.437629E-02
4.310E-03	9.141387E-02
5.570E-03	8.854807E-02
7.190E-03	8.583059E-02
9.280E-03	8.328629E-02
1.200E-02	8.095510E-02
1.550E-02	7.894809E-02
2.000E-02	7.736655E-02
2.580E-02	7.631621E-02
3.340E-02	7.587516E-02
4.310E-02	7.602399E-02
5.570E-02	7.648598E-02
7.190E-02	7.661400E-02
9.280E-02	7.537069E-02
1.200E-01	7.152215E-02
1.550E-01	6.435587E-02
2.000E-01	5.435606E-02
2.580E-01	4.324962E-02
3.340E-01	3.293976E-02
4.310E-01	2.470404E-02
5.570E-01	1.809362E-02
7.190E-01	1.260487E-02
9.280E-01	8.041360E-03
1.200E+00	4.516014E-03
1.550E+00	2.181121E-03
2.000E+00	9.074972E-04
2.580E+00	3.799824E-04
3.340E+00	2.691123E-04
4.310E+00	3.595527E-04
5.570E+00	5.701326E-04
7.190E+00	9.102470E-04
9.280E+00	1.436810E-03
1.200E+01	2.240056E-03
1.550E+01	3.415743E-03
2.000E+01	5.066738E-03
2.580E+01	7.267881E-03
3.340E+01	1.003195E-02
4.310E+01	1.305214E-02
5.570E+01	1.584517E-02
7.190E+01	1.756379E-02
9.280E+01	1.736546E-02
1.200E+02	1.482956E-02
1.550E+02	1.054221E-02
2.000E+02	5.972377E-03
2.580E+02	2.553741E-03
3.340E+02	7.585948E-04
4.310E+02	1.500518E-04
5.570E+02	1.766056E-05
7.190E+02	1.128456E-06
9.280E+02	3.295654E-08
1.200E+03	3.310538E-10
1.550E+03	8.532378E-13
2.000E+03	3.650040E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

