 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6626.13 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0239

 DETECTORS		DIRECTIONS
 D1         136		R           86
 D2         192		RL         133
 D3         174		FL         124
 D4         161		F          196
 D5         109		FR         123
 D6          82		RR         176

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.80
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.031	uSv h^-1	(11.6%)
 H*(10)_i	:	0.057	uSv     	(11.6%)
 h*(10)		:	30.2	pSv cm^2	(7.3%)
 phi		:	0.286	cm^-2 s^-1 	(9.0%)
 thermal   	:	0.4481
 epithermal	:	0.4889
 fast      	:	0.0630
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.65%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.027462E-04
2.580E-09	3.297434E-04
3.340E-09	5.362701E-04
4.310E-09	8.593981E-04
5.570E-09	1.365593E-03
7.190E-09	2.134323E-03
9.280E-09	3.273571E-03
1.200E-08	4.915836E-03
1.550E-08	7.141970E-03
2.000E-08	9.953334E-03
2.580E-08	2.118003E-02
3.340E-08	2.842576E-02
4.310E-08	3.619120E-02
5.570E-08	4.355842E-02
7.190E-08	4.898673E-02
9.280E-08	5.100650E-02
1.200E-07	4.901653E-02
1.550E-07	4.458275E-02
2.000E-07	4.042269E-02
2.580E-07	3.749164E-02
3.340E-07	3.520563E-02
4.310E-07	3.319082E-02
5.570E-07	3.129719E-02
7.190E-07	2.952664E-02
9.280E-07	2.786345E-02
1.200E-06	2.628883E-02
1.550E-06	2.481512E-02
2.000E-06	2.343482E-02
2.580E-06	2.213749E-02
3.340E-06	2.090019E-02
4.310E-06	1.975057E-02
5.570E-06	1.866216E-02
7.190E-06	1.764213E-02
9.280E-06	1.668193E-02
1.200E-05	1.577093E-02
1.550E-05	1.491651E-02
2.000E-05	1.411456E-02
2.580E-05	1.335922E-02
3.340E-05	1.263729E-02
4.310E-05	1.196509E-02
5.570E-05	1.132731E-02
7.190E-05	1.072830E-02
9.280E-05	1.016321E-02
1.200E-04	9.625882E-03
1.550E-04	9.120787E-03
2.000E-04	8.645613E-03
2.580E-04	8.197001E-03
3.340E-04	7.767166E-03
4.310E-04	7.365895E-03
5.570E-04	6.984118E-03
7.190E-04	6.624480E-03
9.280E-04	6.284091E-03
1.200E-03	5.961070E-03
1.550E-03	5.655651E-03
2.000E-03	5.367804E-03
2.580E-03	5.095920E-03
3.340E-03	4.835991E-03
4.310E-03	4.595092E-03
5.570E-03	4.369652E-03
7.190E-03	4.164248E-03
9.280E-03	3.981868E-03
1.200E-02	3.827885E-03
1.550E-02	3.714229E-03
2.000E-02	3.654512E-03
2.580E-02	3.666539E-03
3.340E-02	3.773596E-03
4.310E-02	3.992459E-03
5.570E-02	4.333320E-03
7.190E-02	4.772342E-03
9.280E-02	5.245052E-03
1.200E-01	5.635699E-03
1.550E-01	5.784897E-03
2.000E-01	5.562854E-03
2.580E-01	4.930281E-03
3.340E-01	3.958836E-03
4.310E-01	2.859456E-03
5.570E-01	1.821423E-03
7.190E-01	1.012388E-03
9.280E-01	4.894802E-04
1.200E+00	2.117285E-04
1.550E+00	9.109360E-05
2.000E+00	4.814403E-05
2.580E+00	4.226889E-05
3.340E+00	5.835298E-05
4.310E+00	9.253728E-05
5.570E+00	1.496098E-04
7.190E+00	2.397643E-04
9.280E+00	3.798879E-04
1.200E+01	5.951177E-04
1.550E+01	9.130135E-04
2.000E+01	1.364777E-03
2.580E+01	1.976706E-03
3.340E+01	2.762137E-03
4.310E+01	3.647901E-03
5.570E+01	4.510338E-03
7.190E+01	5.108987E-03
9.280E+01	5.178237E-03
1.200E+02	4.543444E-03
1.550E+02	3.315873E-03
2.000E+02	1.916256E-03
2.580E+02	8.221933E-04
3.340E+02	2.368059E-04
4.310E+02	4.279288E-05
5.570E+02	4.202337E-06
7.190E+02	2.020033E-07
9.280E+02	4.127346E-09
1.200E+03	2.880618E-11
1.550E+03	5.278854E-14
2.000E+03	1.561133E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

