 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4285.67 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0241

 DETECTORS		DIRECTIONS
 D1        5175		R         3029
 D2        6532		RL        3285
 D3        7739		FL        2836
 D4        7499		F        11984
 D5        6321		FR        7433
 D6        4846		RR        8965

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	5.245	uSv h^-1	(6.5%)
 H*(10)_i	:	6.244	uSv     	(6.5%)
 h*(10)		:	72.6	pSv cm^2	(6.1%)
 phi		:	20.079	cm^-2 s^-1 	(2.4%)
 thermal   	:	0.3283
 epithermal	:	0.4559
 fast      	:	0.2158
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.27%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.619708E-02
2.580E-09	4.260653E-02
3.340E-09	6.929209E-02
4.310E-09	1.110438E-01
5.570E-09	1.764499E-01
7.190E-09	2.757784E-01
9.280E-09	4.229820E-01
1.200E-08	6.351810E-01
1.550E-08	9.228224E-01
2.000E-08	1.286082E+00
2.580E-08	1.828198E+00
3.340E-08	2.312672E+00
4.310E-08	2.705013E+00
5.570E-08	2.887067E+00
7.190E-08	2.763324E+00
9.280E-08	2.348450E+00
1.200E-07	1.787682E+00
1.550E-07	1.306247E+00
2.000E-07	1.036551E+00
2.580E-07	9.403089E-01
3.340E-07	9.146448E-01
4.310E-07	9.039450E-01
5.570E-07	8.946829E-01
7.190E-07	8.856469E-01
9.280E-07	8.767466E-01
1.200E-06	8.679107E-01
1.550E-06	8.592404E-01
2.000E-06	8.507299E-01
2.580E-06	8.423498E-01
3.340E-06	8.339757E-01
4.310E-06	8.258251E-01
5.570E-06	8.177443E-01
7.190E-06	8.098153E-01
9.280E-06	8.020029E-01
1.200E-05	7.942454E-01
1.550E-05	7.866311E-01
2.000E-05	7.791548E-01
2.580E-05	7.717903E-01
3.340E-05	7.644278E-01
4.310E-05	7.572579E-01
5.570E-05	7.501448E-01
7.190E-05	7.431595E-01
9.280E-05	7.362700E-01
1.200E-04	7.294200E-01
1.550E-04	7.226856E-01
2.000E-04	7.160594E-01
2.580E-04	7.095150E-01
3.340E-04	7.029501E-01
4.310E-04	6.965289E-01
5.570E-04	6.901229E-01
7.190E-04	6.837868E-01
9.280E-04	6.774801E-01
1.200E-03	6.712974E-01
1.550E-03	6.650732E-01
2.000E-03	6.589019E-01
2.580E-03	6.527742E-01
3.340E-03	6.466303E-01
4.310E-03	6.406983E-01
5.570E-03	6.349988E-01
7.190E-03	6.298288E-01
9.280E-03	6.255755E-01
1.200E-02	6.229160E-01
1.550E-02	6.230281E-01
2.000E-02	6.276595E-01
2.580E-02	6.394833E-01
3.340E-02	6.628233E-01
4.310E-02	7.025026E-01
5.570E-02	7.658663E-01
7.190E-02	8.594756E-01
9.280E-02	9.887810E-01
1.200E-01	1.154343E+00
1.550E-01	1.341204E+00
2.000E-01	1.518070E+00
2.580E-01	1.636360E+00
3.340E-01	1.639438E+00
4.310E-01	1.489733E+00
5.570E-01	1.197727E+00
7.190E-01	8.347695E-01
9.280E-01	4.944870E-01
1.200E+00	2.440272E-01
1.550E+00	1.007574E-01
2.000E+00	3.637089E-02
2.580E+00	1.480441E-02
3.340E+00	1.195834E-02
4.310E+00	1.698688E-02
5.570E+00	2.707390E-02
7.190E+00	4.308370E-02
9.280E+00	6.767962E-02
1.200E+01	1.048529E-01
1.550E+01	1.585914E-01
2.000E+01	2.327980E-01
2.580E+01	3.294469E-01
3.340E+01	4.467207E-01
4.310E+01	5.680842E-01
5.570E+01	6.693179E-01
7.190E+01	7.135680E-01
9.280E+01	6.703020E-01
1.200E+02	5.345339E-01
1.550E+02	3.466957E-01
2.000E+02	1.733558E-01
2.580E+02	6.227986E-02
3.340E+02	1.436379E-02
4.310E+02	1.970846E-03
5.570E+02	1.349424E-04
7.190E+02	3.946038E-06
9.280E+02	3.878348E-08
1.200E+03	9.016137E-11
1.550E+03	3.546221E-14
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

