 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 10408.83 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0243

 DETECTORS		DIRECTIONS
 D1        1495		R          721
 D2        1840		RL        1074
 D3        2141		FL         670
 D4        1924		F         3027
 D5        1564		FR        1880
 D6        1070		RR        2507

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.264	uSv h^-1	(7.0%)
 H*(10)_i	:	0.763	uSv     	(7.0%)
 h*(10)		:	34.1	pSv cm^2	(6.2%)
 phi		:	2.149	cm^-2 s^-1 	(3.2%)
 thermal   	:	0.3731
 epithermal	:	0.5405
 fast      	:	0.0864
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.49%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.308231E-03
2.580E-09	5.380456E-03
3.340E-09	8.750374E-03
4.310E-09	1.402289E-02
5.570E-09	2.228252E-02
7.190E-09	3.482597E-02
9.280E-09	5.341520E-02
1.200E-08	8.021220E-02
1.550E-08	1.165363E-01
2.000E-08	1.624096E-01
2.580E-08	2.284229E-01
3.340E-08	2.882918E-01
4.310E-08	3.360153E-01
5.570E-08	3.566424E-01
7.190E-08	3.383934E-01
9.280E-08	2.837339E-01
1.200E-07	2.117258E-01
1.550E-07	1.509581E-01
2.000E-07	1.175212E-01
2.580E-07	1.060822E-01
3.340E-07	1.035583E-01
4.310E-07	1.029035E-01
5.570E-07	1.024227E-01
7.190E-07	1.019560E-01
9.280E-07	1.014951E-01
1.200E-06	1.010361E-01
1.550E-06	1.005844E-01
2.000E-06	1.001397E-01
2.580E-06	9.970059E-02
3.340E-06	9.926046E-02
4.310E-06	9.883081E-02
5.570E-06	9.840357E-02
7.190E-06	9.798311E-02
9.280E-06	9.756759E-02
1.200E-05	9.715373E-02
1.550E-05	9.674627E-02
2.000E-05	9.634493E-02
2.580E-05	9.594833E-02
3.340E-05	9.555053E-02
4.310E-05	9.516178E-02
5.570E-05	9.477472E-02
7.190E-05	9.439314E-02
9.280E-05	9.401522E-02
1.200E-04	9.363774E-02
1.550E-04	9.326473E-02
2.000E-04	9.289559E-02
2.580E-04	9.252859E-02
3.340E-04	9.215756E-02
4.310E-04	9.179129E-02
5.570E-04	9.142184E-02
7.190E-04	9.105155E-02
9.280E-04	9.067704E-02
1.200E-03	9.031695E-02
1.550E-03	8.994029E-02
2.000E-03	8.956152E-02
2.580E-03	8.918094E-02
3.340E-03	8.879700E-02
4.310E-03	8.842835E-02
5.570E-03	8.808433E-02
7.190E-03	8.779648E-02
9.280E-03	8.760874E-02
1.200E-02	8.759171E-02
1.550E-02	8.784883E-02
2.000E-02	8.851127E-02
2.580E-02	8.973242E-02
3.340E-02	9.167947E-02
4.310E-02	9.433226E-02
5.570E-02	9.750909E-02
7.190E-02	1.005310E-01
9.280E-02	1.022409E-01
1.200E-01	1.010797E-01
1.550E-01	9.569002E-02
2.000E-01	8.580455E-02
2.580E-01	7.258824E-02
3.340E-01	5.793376E-02
4.310E-01	4.410557E-02
5.570E-01	3.183853E-02
7.190E-01	2.164224E-02
9.280E-01	1.361016E-02
1.200E+00	7.694625E-03
1.550E+00	3.813118E-03
2.000E+00	1.629483E-03
2.580E+00	6.676406E-04
3.340E+00	4.251660E-04
4.310E+00	5.382333E-04
5.570E+00	8.475080E-04
7.190E+00	1.352471E-03
9.280E+00	2.134573E-03
1.200E+01	3.327195E-03
1.550E+01	5.071599E-03
2.000E+01	7.518231E-03
2.580E+01	1.077288E-02
3.340E+01	1.484267E-02
4.310E+01	1.925200E-02
5.570E+01	2.325056E-02
7.190E+01	2.554922E-02
9.280E+01	2.489550E-02
1.200E+02	2.074372E-02
1.550E+02	1.415470E-02
2.000E+02	7.492015E-03
2.580E+02	2.862321E-03
3.340E+02	7.038732E-04
4.310E+02	1.026272E-04
5.570E+02	7.408314E-06
7.190E+02	2.251248E-07
9.280E+02	2.259356E-09
1.200E+03	5.301989E-12
1.550E+03	2.130410E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

