 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6124.41 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0244

 DETECTORS		DIRECTIONS
 D1        1317		R          507
 D2        1555		RL         806
 D3        1767		FL        1770
 D4        1527		F         2616
 D5        1228		FR        1660
 D6         941		RR         829

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.609	uSv h^-1	(7.0%)
 H*(10)_i	:	1.037	uSv     	(7.0%)
 h*(10)		:	52.7	pSv cm^2	(6.1%)
 phi		:	3.209	cm^-2 s^-1 	(3.4%)
 thermal   	:	0.4285
 epithermal	:	0.4320
 fast      	:	0.1395
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.72%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.751665E-03
2.580E-09	9.354420E-03
3.340E-09	1.521333E-02
4.310E-09	2.438008E-02
5.570E-09	3.874023E-02
7.190E-09	6.054816E-02
9.280E-09	9.286726E-02
1.200E-08	1.394563E-01
1.550E-08	2.026091E-01
2.000E-08	2.823640E-01
2.580E-08	3.984266E-01
3.340E-08	5.026889E-01
4.310E-08	5.855707E-01
5.570E-08	6.208024E-01
7.190E-08	5.876156E-01
9.280E-08	4.902270E-01
1.200E-07	3.621535E-01
1.550E-07	2.537473E-01
2.000E-07	1.931606E-01
2.580E-07	1.709622E-01
3.340E-07	1.643103E-01
4.310E-07	1.610084E-01
5.570E-07	1.580665E-01
7.190E-07	1.552265E-01
9.280E-07	1.524629E-01
1.200E-06	1.497525E-01
1.550E-06	1.471252E-01
2.000E-06	1.445773E-01
2.580E-06	1.420985E-01
3.340E-06	1.396513E-01
4.310E-06	1.372981E-01
5.570E-06	1.349930E-01
7.190E-06	1.327582E-01
9.280E-06	1.305826E-01
1.200E-05	1.284481E-01
1.550E-05	1.263781E-01
2.000E-05	1.243697E-01
2.580E-05	1.224150E-01
3.340E-05	1.204842E-01
4.310E-05	1.186264E-01
5.570E-05	1.168055E-01
7.190E-05	1.150389E-01
9.280E-05	1.133176E-01
1.200E-04	1.116271E-01
1.550E-04	1.099856E-01
2.000E-04	1.083907E-01
2.580E-04	1.068354E-01
3.340E-04	1.052955E-01
4.310E-04	1.038094E-01
5.570E-04	1.023472E-01
7.190E-04	1.009216E-01
9.280E-04	9.952381E-02
1.200E-03	9.815344E-02
1.550E-03	9.680455E-02
2.000E-03	9.548230E-02
2.580E-03	9.418057E-02
3.340E-03	9.287968E-02
4.310E-03	9.161537E-02
5.570E-03	9.037013E-02
7.190E-03	8.917039E-02
9.280E-03	8.803687E-02
1.200E-02	8.700772E-02
1.550E-02	8.617238E-02
2.000E-02	8.564873E-02
2.580E-02	8.561177E-02
3.340E-02	8.632728E-02
4.310E-02	8.810440E-02
5.570E-02	9.133482E-02
7.190E-02	9.630928E-02
9.280E-02	1.031452E-01
1.200E-01	1.115726E-01
1.550E-01	1.204412E-01
2.000E-01	1.278585E-01
2.580E-01	1.313015E-01
3.340E-01	1.280142E-01
4.310E-01	1.162351E-01
5.570E-01	9.602817E-02
7.190E-01	7.058291E-02
9.280E-01	4.505123E-02
1.200E+00	2.440014E-02
1.550E+00	1.126281E-02
2.000E+00	4.621224E-03
2.580E+00	2.051005E-03
3.340E+00	1.568867E-03
4.310E+00	2.116594E-03
5.570E+00	3.349053E-03
7.190E+00	5.345961E-03
9.280E+00	8.440210E-03
1.200E+01	1.316204E-02
1.550E+01	2.007573E-02
2.000E+01	2.978773E-02
2.580E+01	4.273839E-02
3.340E+01	5.899710E-02
4.310E+01	7.673755E-02
5.570E+01	9.306584E-02
7.190E+01	1.029168E-01
9.280E+01	1.012606E-01
1.200E+02	8.565975E-02
1.550E+02	5.984447E-02
2.000E+02	3.286768E-02
2.580E+02	1.331424E-02
3.340E+02	3.601147E-03
4.310E+02	6.109422E-04
5.570E+02	5.629610E-05
7.190E+02	2.503593E-06
9.280E+02	4.438044E-08
1.200E+03	2.325822E-10
1.550E+03	2.671185E-13
2.000E+03	4.126601E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

